workload,source,family,role,assignment,transformation,machine,model,tiles,ccz_share,regime,makespan,depth,t_count,ccz_count,teq_demand,t_stalls,ccz_stalls,total_stalls,t_waste,ccz_waste,peak_stage_demand,mean_stage_demand,burstiness,stages,parallelism,space_time,factory_tiles,utilisation,baseline_makespan,improvement
qt_aliassamp16,qualtran,state_preparation,target,ccz,conventional,A_400_0.5,A,400,0.5,constrained,298,297,0,39,78.0,0,1,1,441,76,12.0,3.55,0.7593,22,1.593,123372,414,0.0993,298,0.0
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting,A_400_0.5,A,400,0.5,constrained,183,182,0,39,78.0,0,1,1,253,19,18.0,4.33,0.9881,18,2.599,75762,414,0.1617,298,0.3859
qt_aliassamp16,qualtran,state_preparation,target,ccz,conventional_pace4,A_400_0.5,A,400,0.5,constrained,305,304,0,39,78.0,0,1,1,453,80,8.0,3.25,0.5565,24,1.556,126270,414,0.097,298,-0.0235
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting_pace1,A_400_0.5,A,400,0.5,constrained,272,271,0,39,78.0,0,1,1,399,63,2.0,2.0,0.0,39,1.745,112608,414,0.1088,298,0.0872
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting_pace2,A_400_0.5,A,400,0.5,constrained,210,209,0,39,78.0,0,1,1,297,32,4.0,3.0,0.3333,26,2.263,86940,414,0.1409,298,0.2953
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting_pace4,A_400_0.5,A,400,0.5,constrained,196,195,0,39,78.0,0,1,1,274,25,8.0,3.9,0.6379,20,2.426,81144,414,0.151,298,0.3423
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting_pace8,A_400_0.5,A,400,0.5,constrained,188,187,0,39,78.0,0,1,1,261,21,14.0,4.11,0.8581,19,2.529,77832,414,0.1574,298,0.3691
qt_aliassamp16,qualtran,state_preparation,target,ccz,conventional,A_3200_0.5,A,3200,0.5,abundant,298,297,0,39,78.0,0,1,1,3778,1007,12.0,3.55,0.7593,22,1.593,947342,3179,0.0128,298,0.0
qt_aliassamp16,qualtran,state_preparation,target,ccz,commuting,A_3200_0.5,A,3200,0.5,abundant,183,182,0,39,78.0,0,1,1,2262,586,18.0,4.33,0.9881,18,2.599,581757,3179,0.0208,298,0.3859
qt_aliassamp16,qualtran,state_preparation,target,ccz,conventional_pace4,A_3200_0.5,A,3200,0.5,abundant,305,304,0,39,78.0,0,1,1,3870,1033,8.0,3.25,0.5565,24,1.556,969595,3179,0.0125,298,-0.0235
