toffoli_scale,lanes,capacity_target,ccz_share,cheaper_route,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand
1.0,2,1.0,0.25,equal,231,207,two_term_descent,205,1,0.1126,0.0097,0.25,0.25
1.0,2,1.0,0.5,equal,246,175,proportional_split,175,1,0.2886,0.0,0.5,0.5
1.0,2,1.0,0.75,equal,246,220,two_term_descent,210,1,0.1463,0.0455,0.25,0.75
1.0,3,0.25,0.25,equal,723,483,proportional_split,483,1,0.332,0.0,0.3333,0.6667
1.0,3,0.25,0.5,equal,723,615,two_term_descent,603,1,0.166,0.0195,0.1667,0.8333
1.0,3,0.25,0.75,equal,723,615,two_term_descent,603,1,0.166,0.0195,0.1667,0.8333
1.0,3,0.5,0.25,equal,670,450,proportional_split,363,1,0.4582,0.1933,0.5,0.5
1.0,3,0.5,0.5,equal,723,483,proportional_split,449,1,0.379,0.0704,0.5,0.5
1.0,3,0.5,0.75,equal,723,615,two_term_descent,603,1,0.166,0.0195,0.1667,0.8333
1.0,3,1.0,0.25,equal,341,243,proportional_split,243,1,0.2874,0.0,0.3333,0.3333
1.0,3,1.0,0.5,equal,366,246,proportional_split,231,1,0.3689,0.061,0.5,0.5
1.0,3,1.0,0.75,equal,366,302,two_term_descent,302,1,0.1749,0.0,0.3333,0.6667
1.0,4,0.25,0.25,equal,963,723,proportional_split,667,1,0.3074,0.0775,0.375,0.625
1.0,4,0.25,0.5,equal,963,843,two_term_descent,843,1,0.1246,0.0,0.125,0.875
1.0,4,0.25,0.75,equal,963,843,two_term_descent,843,1,0.1246,0.0,0.125,0.875
1.0,4,0.5,0.25,equal,890,483,proportional_split,483,1,0.4573,0.0,0.5,0.5
1.0,4,0.5,0.5,equal,963,596,proportional_split,596,1,0.3811,0.0,0.5,0.5
1.0,4,0.5,0.75,equal,963,843,two_term_descent,843,1,0.1246,0.0,0.125,0.875
1.0,4,1.0,0.25,equal,451,341,two_term_descent,341,1,0.2439,0.0,0.25,0.25
1.0,4,1.0,0.5,equal,486,304,proportional_split,304,1,0.3745,0.0,0.5,0.5
1.0,4,1.0,0.75,equal,486,366,proportional_split,366,1,0.2469,0.0,0.25,0.75
1.25,2,0.25,0.25,t,603,447,proportional_split,447,1,0.2587,0.0,0.5,0.5556
1.25,2,0.25,0.5,t,603,453,two_term_descent,453,1,0.2488,0.0,0.25,0.7895
1.25,2,0.25,0.75,t,603,453,two_term_descent,453,1,0.2488,0.0,0.25,0.7895
1.25,2,0.5,0.25,t,450,303,proportional_split,303,1,0.3267,0.0,0.5,0.5556
1.25,2,0.5,0.5,t,596,303,two_term_descent,303,1,0.4916,0.0,0.5,0.5556
1.25,2,0.5,0.75,t,603,453,two_term_descent,453,1,0.2488,0.0,0.25,0.7895
1.25,2,1.0,0.25,t,231,231,uniform_min_teq,205,1,0.1126,0.1126,0.25,0.2941
1.25,2,1.0,0.5,t,304,175,proportional_split,175,1,0.4243,0.0,0.5,0.5556
1.25,2,1.0,0.75,t,306,235,two_term_descent,235,1,0.232,0.0,0.25,0.7895
1.25,3,0.25,0.25,t,903,603,proportional_split,603,1,0.3322,0.0,0.3333,0.7143
1.25,3,0.25,0.5,t,903,753,two_term_descent,753,1,0.1661,0.0,0.1667,0.8621
1.25,3,0.25,0.75,t,903,753,two_term_descent,753,1,0.1661,0.0,0.1667,0.8621
1.25,3,0.5,0.25,t,670,450,proportional_split,450,1,0.3284,0.0,0.3333,0.3846
1.25,3,0.5,0.5,t,889,603,proportional_split,453,1,0.4904,0.2488,0.5,0.5556
1.25,3,0.5,0.75,t,903,753,two_term_descent,753,1,0.1661,0.0,0.1667,0.8621
1.25,3,1.0,0.25,t,341,286,two_term_descent,286,1,0.1613,0.0,0.1667,0.2
1.25,3,1.0,0.5,t,451,306,proportional_split,241,1,0.4656,0.2124,0.5,0.5556
1.25,3,1.0,0.75,t,456,306,proportional_split,306,1,0.3289,0.0,0.3333,0.7143
1.25,4,0.25,0.25,t,1203,903,proportional_split,753,1,0.3741,0.1661,0.375,0.6757
1.25,4,0.25,0.5,t,1203,903,proportional_split,903,1,0.2494,0.0,0.25,0.7895
1.25,4,0.25,0.75,t,1203,903,proportional_split,903,1,0.2494,0.0,0.25,0.7895
1.25,4,0.5,0.25,t,890,603,proportional_split,560,1,0.3708,0.0713,0.375,0.4286
1.25,4,0.5,0.5,t,1182,603,proportional_split,603,1,0.4898,0.0,0.5,0.5556
1.25,4,0.5,0.75,t,1203,903,proportional_split,903,1,0.2494,0.0,0.25,0.7895
1.25,4,1.0,0.25,t,451,341,proportional_split,341,1,0.2439,0.0,0.25,0.2941
1.25,4,1.0,0.5,t,597,306,proportional_split,306,1,0.4874,0.0,0.5,0.5556
1.25,4,1.0,0.75,t,606,456,proportional_split,449,1,0.2591,0.0154,0.375,0.6757
1.5,2,0.25,0.25,t,723,447,proportional_split,447,1,0.3817,0.0,0.5,0.6
1.5,2,0.25,0.5,t,723,615,two_term_descent,543,1,0.249,0.1171,0.25,0.8182
1.5,2,0.25,0.75,t,723,615,two_term_descent,543,1,0.249,0.1171,0.25,0.8182
1.5,2,0.5,0.25,t,450,340,two_term_descent,340,1,0.2444,0.0,0.25,0.3333
1.5,2,0.5,0.5,t,596,363,two_term_descent,363,1,0.3909,0.0,0.5,0.6
1.5,2,0.5,0.75,t,723,615,two_term_descent,543,1,0.249,0.1171,0.25,0.8182
1.5,2,1.0,0.25,t,231,231,uniform_min_teq,215,1,0.0693,0.0693,0.25,0.3333
1.5,2,1.0,0.5,t,304,190,proportional_split,190,1,0.375,0.0,0.5,0.6
1.5,2,1.0,0.75,t,366,276,two_term_descent,276,1,0.2459,0.0,0.25,0.8182
1.5,3,0.25,0.25,t,1083,723,proportional_split,667,1,0.3841,0.0775,0.5,0.6
1.5,3,0.25,0.5,t,1083,882,proportional_split,882,1,0.1856,0.0,0.3333,0.75
1.5,3,0.25,0.75,t,1083,882,proportional_split,882,1,0.1856,0.0,0.3333,0.75
1.5,3,0.5,0.25,t,670,450,proportional_split,450,1,0.3284,0.0,0.3333,0.4286
1.5,3,0.5,0.5,t,889,723,proportional_split,543,1,0.3892,0.249,0.5,0.6
1.5,3,0.5,0.75,t,1083,882,proportional_split,882,1,0.1856,0.0,0.3333,0.75
1.5,3,1.0,0.25,t,341,310,two_term_descent,286,1,0.1613,0.0774,0.1667,0.2308
1.5,3,1.0,0.5,t,451,366,proportional_split,276,1,0.388,0.2459,0.5,0.6
1.5,3,1.0,0.75,t,546,366,proportional_split,366,1,0.3297,0.0,0.3333,0.75
1.5,4,0.25,0.25,t,1443,1083,proportional_split,887,1,0.3853,0.181,0.5,0.6
1.5,4,0.25,0.5,t,1443,1083,proportional_split,1083,1,0.2495,0.0,0.25,0.8182
1.5,4,0.25,0.75,t,1443,1083,proportional_split,1083,1,0.2495,0.0,0.25,0.8182
1.5,4,0.5,0.25,t,890,723,proportional_split,560,1,0.3708,0.2254,0.375,0.4737
1.5,4,0.5,0.5,t,1182,723,proportional_split,723,1,0.3883,0.0,0.5,0.6
1.5,4,0.5,0.75,t,1443,1083,proportional_split,1083,1,0.2495,0.0,0.25,0.8182
1.5,4,1.0,0.25,t,451,363,proportional_split,363,1,0.1951,0.0,0.25,0.3333
