kernel,family,capacity_target,ccz_share,oracle_exhaustive,makespan_global_oracle,makespan_uniform_oracle,makespan_best_simple,makespan_sim_descent,seconds_sim_descent,makespan_stage_dp_analytic,seconds_stage_dp_analytic,makespan_stage_dp_analytic_r5,seconds_stage_dp_analytic_r5,makespan_stage_dp_sim,seconds_stage_dp_sim,regret_stage_dp_analytic,regret_stage_dp_analytic_r5,regret_stage_dp_sim,regret_sim_descent,regret_best_simple
trotter_t2_l2_b10,trotter,0.25,0.9,1,442,483,442,442,1.0443,442,0.1204,442,0.131,442,0.4534,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,0.5,0.1,1,243,362,243,243,0.6712,243,0.0707,243,0.0834,243,0.3645,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,0.5,0.25,1,243,450,243,243,0.705,243,0.059,243,0.0715,243,0.3323,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,0.5,0.5,1,302,483,302,302,0.8632,302,0.0874,302,0.1043,302,0.2889,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,0.5,0.75,1,442,483,442,442,1.1027,442,0.0754,442,0.114,442,0.3546,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,0.5,0.9,1,442,483,442,442,1.0645,442,0.0736,442,0.0933,442,0.3699,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,1.0,0.1,1,183,187,187,183,0.5714,183,0.0852,183,0.1003,183,0.2938,1.0,1.0,1.0,1.0,1.0219
trotter_t2_l2_b10,trotter,1.0,0.25,1,205,231,207,205,0.605,205,0.1114,205,0.1006,207,0.1832,1.0,1.0,1.0098,1.0,1.0098
trotter_t2_l2_b10,trotter,1.0,0.5,1,175,246,175,175,0.6102,175,0.0569,175,0.1018,175,0.2733,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,1.0,0.75,1,210,246,220,210,0.6374,210,0.1312,210,0.1626,210,0.3528,1.0,1.0,1.0,1.0,1.0476
trotter_t2_l2_b10,trotter,1.0,0.9,1,167,167,167,167,0.769,167,0.1463,167,0.1595,167,0.4719,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,2.0,0.1,1,175,175,175,175,0.5095,175,0.0873,175,0.1196,175,0.27,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,2.0,0.25,1,155,175,175,155,0.5268,155,0.0947,155,0.1178,155,0.1324,1.0,1.0,1.0,1.0,1.129
trotter_t2_l2_b10,trotter,2.0,0.5,1,155,167,167,155,0.5676,155,0.0567,155,0.0821,155,0.2058,1.0,1.0,1.0,1.0,1.0774
trotter_t2_l2_b10,trotter,2.0,0.75,1,131,131,131,131,0.6082,131,0.1101,131,0.1237,131,0.2102,1.0,1.0,1.0,1.0,1.0
trotter_t2_l2_b10,trotter,2.0,0.9,1,131,131,131,131,0.7193,131,0.0879,131,0.1083,131,0.4356,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,0.25,0.1,1,483,723,483,483,1.8746,483,0.2992,483,0.4788,483,1.279,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,0.25,0.25,1,483,723,483,483,1.7987,483,0.3817,483,0.5056,483,1.0414,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,0.25,0.5,1,603,723,615,615,2.2306,603,0.2881,603,0.2898,603,1.2309,1.0,1.0,1.0,1.0199,1.0199
trotter_t3_l2_b10,trotter,0.25,0.75,1,603,723,615,615,2.1817,603,0.3025,603,0.2408,603,1.0767,1.0,1.0,1.0,1.0199,1.0199
trotter_t3_l2_b10,trotter,0.25,0.9,1,603,723,615,615,2.2245,603,0.2591,603,0.274,603,1.2364,1.0,1.0,1.0,1.0199,1.0199
trotter_t3_l2_b10,trotter,0.5,0.1,1,362,538,362,362,1.6761,363,0.2307,362,0.2293,363,0.961,1.0028,1.0,1.0028,1.0,1.0
trotter_t3_l2_b10,trotter,0.5,0.25,1,363,670,450,363,1.5197,363,0.2829,363,0.3201,363,1.2557,1.0,1.0,1.0,1.0,1.2397
trotter_t3_l2_b10,trotter,0.5,0.5,1,449,723,483,449,1.3798,449,0.4223,449,0.5416,449,1.5093,1.0,1.0,1.0,1.0,1.0757
trotter_t3_l2_b10,trotter,0.5,0.75,1,603,723,615,615,2.1543,603,0.2212,603,0.3403,603,0.9797,1.0,1.0,1.0,1.0199,1.0199
trotter_t3_l2_b10,trotter,0.5,0.9,1,603,723,615,615,2.0164,603,0.2033,603,0.3025,603,1.3174,1.0,1.0,1.0,1.0199,1.0199
trotter_t3_l2_b10,trotter,1.0,0.1,1,231,275,231,231,1.2737,231,0.5214,231,0.5321,231,2.0502,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,1.0,0.25,1,243,341,243,243,1.2755,243,0.4218,243,0.4455,243,1.4967,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,1.0,0.5,1,231,366,246,231,1.3939,241,0.5221,231,0.5213,231,1.4543,1.0433,1.0,1.0,1.0,1.0649
trotter_t3_l2_b10,trotter,1.0,0.75,1,302,366,302,302,1.3477,306,0.4821,302,0.4767,306,1.3298,1.0132,1.0,1.0132,1.0,1.0
trotter_t3_l2_b10,trotter,1.0,0.9,1,247,247,247,247,1.9655,247,0.5487,247,0.6786,247,2.3316,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,2.0,0.1,1,176,176,176,176,1.013,176,0.77,176,0.6162,176,1.4398,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,2.0,0.25,1,175,178,175,175,1.0143,175,0.341,175,0.3683,175,0.9528,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,2.0,0.5,1,167,247,175,167,1.3614,175,0.3067,167,0.3208,167,0.9442,1.0479,1.0,1.0,1.0,1.0479
trotter_t3_l2_b10,trotter,2.0,0.75,1,157,187,157,157,1.3461,157,0.3474,157,0.3525,157,0.7553,1.0,1.0,1.0,1.0,1.0
trotter_t3_l2_b10,trotter,2.0,0.9,1,151,151,151,151,1.5152,151,0.4161,151,0.4244,151,1.3494,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,0.25,0.1,0,667,963,723,667,3.4778,667,0.6751,667,0.6738,667,2.2454,1.0,1.0,1.0,1.0,1.084
trotter_t4_l2_b10,trotter,0.25,0.25,0,667,963,723,667,3.6418,667,0.658,667,0.6861,667,2.4383,1.0,1.0,1.0,1.0,1.084
trotter_t4_l2_b10,trotter,0.25,0.5,0,843,963,843,843,3.5186,843,1.3103,843,1.8,843,5.2543,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,0.25,0.75,0,843,963,843,843,3.4209,843,1.7672,843,1.8859,843,4.9867,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,0.25,0.9,0,843,963,843,843,3.6092,843,1.7473,843,1.8671,843,4.2917,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,0.5,0.1,0,450,714,483,450,2.6146,450,1.2501,450,1.3932,450,3.7517,1.0,1.0,1.0,1.0,1.0733
trotter_t4_l2_b10,trotter,0.5,0.25,0,483,890,483,483,2.9957,483,0.7831,483,0.957,483,3.6065,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,0.5,0.5,0,596,963,596,596,3.1959,596,1.0465,596,1.2095,596,4.3058,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,0.5,0.75,0,843,963,843,843,3.6866,843,1.1559,843,1.4106,843,4.7913,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,0.5,0.9,0,843,963,843,843,3.0859,843,1.6572,843,1.5278,843,4.8634,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,1.0,0.1,0,275,363,275,275,2.1361,275,1.0772,275,1.2706,275,6.6987,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,1.0,0.25,0,341,451,341,341,2.2791,341,1.0124,341,1.0201,341,3.3126,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,1.0,0.5,0,304,486,304,304,2.3559,306,1.0713,304,1.2141,306,3.8723,1.0066,1.0,1.0066,1.0,1.0
trotter_t4_l2_b10,trotter,1.0,0.75,0,366,486,366,366,2.7352,366,1.3064,366,1.1391,366,4.8152,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,1.0,0.9,0,327,327,327,327,3.8171,327,1.6622,327,1.9256,327,8.2508,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,2.0,0.1,0,184,188,188,184,2.5777,184,2.1993,184,1.9376,184,5.7212,1.0,1.0,1.0,1.0,1.0217
trotter_t4_l2_b10,trotter,2.0,0.25,0,178,232,178,178,2.758,178,0.9553,178,0.977,178,3.4023,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,2.0,0.5,0,176,327,176,176,2.6759,176,1.1168,176,0.9356,176,3.4744,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,2.0,0.75,0,187,247,187,187,2.5796,187,0.9665,187,1.0868,187,3.3032,1.0,1.0,1.0,1.0,1.0
trotter_t4_l2_b10,trotter,2.0,0.9,0,199,199,199,199,2.4103,199,1.1359,199,1.3874,199,5.9617,1.0,1.0,1.0,1.0,1.0
