kernel,family,concurrency,decision_sites,assignment_space,capacity_target,ccz_share,t_rate,ccz_rate,capacity_achieved,imbalance,factory_tiles,supply_pressure,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_global_oracle,oracle_exhaustive,regret_uniform_min_teq,regret_min_weighted_count,regret_uniform_oracle,regret_two_term_descent,regret_local_sim_greedy,regret_share_aware_greedy,regret_proportional_split,regret_sim_descent,best_simple_baseline,makespan_best_simple,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand,uniform_ccz_share_of_demand,oracle_space_time,uniform_space_time,space_time_ratio,seconds_uniform_min_teq,seconds_min_weighted_count,seconds_uniform_oracle,seconds_two_term_descent,seconds_local_sim_greedy,seconds_share_aware_greedy,seconds_proportional_split,seconds_sim_descent,seconds_global_oracle
trotter_t4_l2_b10,trotter,4,8,390625,0.25,0.25,0.1818,0.1667,0.5152,1.8333,94,3.6975,963,963,963,957,963,963,723,667,667,0,1.4438,1.4438,1.4438,1.4348,1.4438,1.4438,1.084,1.0,proportional_split,723,0.3074,0.0775,0.375,0.625,1.0,101384,175266,0.5785,0.0724,0.0216,0.107,1.2854,0.068,0.0854,0.0126,3.6418,7.3652
trotter_t4_l2_b10,trotter,4,8,390625,0.25,0.5,0.0909,0.1667,0.4242,3.6667,83,5.0965,963,963,963,843,963,963,882,843,843,0,1.1423,1.1423,1.1423,1.0,1.1423,1.1423,1.0463,1.0,two_term_descent,843,0.1246,0.0,0.125,0.875,1.0,135723,164673,0.8242,0.0671,0.0231,0.1234,1.1659,0.0776,0.079,0.0121,3.5186,7.3304
trotter_t4_l2_b10,trotter,4,8,390625,0.25,0.75,0.0909,0.1667,0.4242,3.6667,83,5.0965,963,963,963,843,963,963,882,843,843,0,1.1423,1.1423,1.1423,1.0,1.1423,1.1423,1.0463,1.0,two_term_descent,843,0.1246,0.0,0.125,0.875,1.0,135723,164673,0.8242,0.0615,0.0194,0.1109,1.0435,0.0785,0.0793,0.0112,3.4209,7.1781
trotter_t4_l2_b10,trotter,4,8,390625,0.25,0.9,0.0909,0.1667,0.4242,3.6667,83,5.0965,963,963,963,843,963,963,882,843,843,0,1.1423,1.1423,1.1423,1.0,1.1423,1.1423,1.0463,1.0,two_term_descent,843,0.1246,0.0,0.125,0.875,1.0,135723,164673,0.8242,0.0564,0.0215,0.1052,1.0436,0.0776,0.0773,0.0153,3.6092,7.2088
trotter_t4_l2_b10,trotter,4,8,390625,0.5,0.1,0.4545,0.1667,0.7879,1.3636,127,2.4176,963,714,714,651,714,963,483,450,450,0,2.14,1.5867,1.5867,1.4467,1.5867,2.14,1.0733,1.0,proportional_split,483,0.3697,0.0683,0.375,0.375,0.0,74250,96390,0.7703,0.0615,0.0205,0.0854,1.4027,0.05,0.0777,0.0117,2.6146,6.3264
trotter_t4_l2_b10,trotter,4,8,390625,0.5,0.25,0.3636,0.1667,0.697,1.0909,116,2.7329,963,890,890,741,890,963,483,483,483,0,1.9938,1.8427,1.8427,1.5342,1.8427,1.9938,1.0,1.0,proportional_split,483,0.4573,0.0,0.5,0.5,0.0,79212,110360,0.7178,0.0567,0.0219,0.0835,1.2337,0.058,0.0834,0.0123,2.9957,7.1766
trotter_t4_l2_b10,trotter,4,8,390625,0.5,0.5,0.2727,0.1667,0.6061,1.2222,105,3.1429,963,963,963,891,963,963,596,596,596,0,1.6158,1.6158,1.6158,1.495,1.6158,1.6158,1.0,1.0,proportional_split,596,0.3811,0.0,0.5,0.5,1.0,91188,185859,0.4906,0.0623,0.0208,0.0895,1.2336,0.058,0.0844,0.0171,3.1959,6.6037
trotter_t4_l2_b10,trotter,4,8,390625,0.5,0.75,0.0909,0.1667,0.4242,3.6667,83,5.0965,963,963,963,843,963,963,882,843,843,0,1.1423,1.1423,1.1423,1.0,1.1423,1.1423,1.0463,1.0,two_term_descent,843,0.1246,0.0,0.125,0.875,1.0,135723,164673,0.8242,0.0489,0.0154,0.0923,0.9577,0.0674,0.0713,0.0106,3.6866,7.5242
trotter_t4_l2_b10,trotter,4,8,390625,0.5,0.9,0.0909,0.1667,0.4242,3.6667,83,5.0965,963,963,963,843,963,963,882,843,843,0,1.1423,1.1423,1.1423,1.0,1.1423,1.1423,1.0463,1.0,two_term_descent,843,0.1246,0.0,0.125,0.875,1.0,135723,164673,0.8242,0.0541,0.0204,0.0996,0.9883,0.0691,0.0673,0.0147,3.0859,6.2802
trotter_t4_l2_b10,trotter,4,8,390625,1.0,0.1,0.9091,0.1667,1.2424,2.7273,182,1.5331,963,363,363,275,363,963,275,275,275,0,3.5018,1.32,1.32,1.0,1.32,3.5018,1.0,1.0,two_term_descent,275,0.2424,0.0,0.25,0.25,0.0,57750,68970,0.8373,0.0477,0.0154,0.0635,1.0431,0.0479,0.063,0.0107,2.1361,4.5299
trotter_t4_l2_b10,trotter,4,8,390625,1.0,0.25,0.7273,0.1667,1.0606,2.1818,160,1.7959,963,451,451,341,451,963,341,341,341,0,2.824,1.3226,1.3226,1.0,1.3226,2.824,1.0,1.0,two_term_descent,341,0.2439,0.0,0.25,0.25,0.0,64108,75768,0.8461,0.0499,0.0204,0.0714,1.0149,0.0489,0.0524,0.0097,2.2791,4.8806
trotter_t4_l2_b10,trotter,4,8,390625,1.0,0.5,0.5455,0.3333,1.2121,1.2222,210,1.5714,486,486,486,453,486,486,304,304,304,0,1.5987,1.5987,1.5987,1.4901,1.5987,1.5987,1.0,1.0,proportional_split,304,0.3745,0.0,0.5,0.5,1.0,78432,144828,0.5416,0.0565,0.018,0.0757,1.1385,0.0455,0.0562,0.0106,2.3559,5.1531
trotter_t4_l2_b10,trotter,4,8,390625,1.0,0.75,0.2727,0.3333,0.9394,2.4444,177,2.0276,486,486,486,453,486,486,366,366,366,0,1.3279,1.3279,1.3279,1.2377,1.3279,1.3279,1.0,1.0,proportional_split,366,0.2469,0.0,0.25,0.75,1.0,89670,128790,0.6962,0.0587,0.0163,0.0757,1.1093,0.0502,0.0648,0.0098,2.7352,5.9114
trotter_t4_l2_b10,trotter,4,8,390625,1.0,0.9,0.0909,0.5,1.0909,11.0,227,2.2917,327,327,327,327,327,327,327,327,327,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,uniform_min_teq,327,0.0,0.0,0.0,1.0,1.0,103005,103005,1.0,0.0588,0.0195,0.1154,1.0568,0.0808,0.0873,0.0111,3.8171,5.8325
trotter_t4_l2_b10,trotter,4,8,390625,2.0,0.1,1.8182,0.1667,2.1515,5.4545,292,0.8853,963,188,188,207,188,188,243,184,184,0,5.2337,1.0217,1.0217,1.125,1.0217,1.0217,1.3207,1.0,min_weighted_count,188,0.0213,0.0213,0.125,0.125,0.0,57040,56400,1.0113,0.0596,0.0195,0.079,1.2239,0.053,0.0601,0.0117,2.5777,5.6793
trotter_t4_l2_b10,trotter,4,8,390625,2.0,0.25,1.4545,0.3333,2.1212,2.1818,320,0.898,486,232,232,220,486,232,178,178,178,0,2.7303,1.3034,1.3034,1.236,2.7303,1.3034,1.0,1.0,proportional_split,178,0.2328,0.0,0.25,0.25,0.0,61944,76096,0.814,0.0626,0.0204,0.077,1.3291,0.0505,0.0555,0.0117,2.758,5.2589
trotter_t4_l2_b10,trotter,4,8,390625,2.0,0.5,1.0,0.5,2.0,1.0,337,0.9524,327,327,327,275,327,327,176,176,176,0,1.858,1.858,1.858,1.5625,1.858,1.858,1.0,1.0,proportional_split,176,0.4618,0.0,0.5,0.5,1.0,67760,138975,0.4876,0.0561,0.0207,0.0732,1.3497,0.0564,0.0629,0.0125,2.6759,6.4151
trotter_t4_l2_b10,trotter,4,8,390625,2.0,0.75,0.5455,0.6667,1.8788,2.4444,354,1.0138,247,247,247,235,247,247,187,187,187,0,1.3209,1.3209,1.3209,1.2567,1.3209,1.3209,1.0,1.0,proportional_split,187,0.2429,0.0,0.25,0.75,1.0,78914,109174,0.7228,0.0628,0.0238,0.0905,1.1266,0.0522,0.0634,0.0106,2.5796,5.4191
trotter_t4_l2_b10,trotter,4,8,390625,2.0,0.9,0.1818,0.8333,1.8485,9.1667,382,1.3525,199,199,199,199,449,199,199,199,199,0,1.0,1.0,1.0,1.0,2.2563,1.0,1.0,1.0,uniform_min_teq,199,0.0,0.0,0.0,1.0,1.0,93530,93530,1.0,0.0727,0.0206,0.0946,1.0423,0.0709,0.0856,0.0127,2.4103,4.8424
