kernel,control,setting,capacity_target,ccz_share,t_rate,ccz_rate,buffer,latency,p_success,seed,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand
and_ladder_s2_l2,failures,p=0.9 seed=1,0.5,0.5,0.2455,0.15,32,0,0.9,1,33,32,two_term_descent,30,1,0.0909,0.0625,0.25,0.6
and_ladder_s2_l2,failures,p=0.9 seed=2,0.5,0.5,0.2455,0.15,32,0,0.9,2,33,33,uniform_min_teq,28,1,0.1515,0.1515,0.25,0.6
and_ladder_s2_l2,failures,p=1 seed=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,27,27,uniform_min_teq,25,1,0.0741,0.0741,0.25,0.6
and_ladder_s2_l2,latency,L=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,27,27,uniform_min_teq,25,1,0.0741,0.0741,0.25,0.6
and_ladder_s2_l2,latency,L=10,0.5,0.5,0.2727,0.1667,32,10,1.0,0,37,37,uniform_min_teq,35,1,0.0541,0.0541,0.25,0.6
and_ladder_s2_l2,latency,L=200,0.5,0.5,0.2727,0.1667,32,200,1.0,0,227,227,uniform_min_teq,225,1,0.0088,0.0088,0.25,0.6
and_ladder_s2_l2,latency,L=50,0.5,0.5,0.2727,0.1667,32,50,1.0,0,77,77,uniform_min_teq,75,1,0.026,0.026,0.25,0.6
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,27,27,uniform_min_teq,27,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,19,19,uniform_min_teq,19,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,19,19,uniform_min_teq,19,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,19,19,uniform_min_teq,19,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,18,18,uniform_min_teq,18,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,18,18,uniform_min_teq,18,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,18,18,uniform_min_teq,18,1,0.0,0.0,0.0,1.0
and_ladder_s2_l2_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,69,69,uniform_min_teq,69,1,0.0,0.0,0.0,0.0
and_ladder_s2_l2_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,69,69,uniform_min_teq,69,1,0.0,0.0,0.0,0.0
and_ladder_s2_l2_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,69,69,uniform_min_teq,69,1,0.0,0.0,0.0,0.0
and_ladder_s2_l2_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,41,41,uniform_min_teq,41,1,0.0,0.0,0.0,0.0
and_ladder_s2_l2_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,41,41,uniform_min_teq,41,1,0.0,0.0,0.0,0.0
and_ladder_s2_l2_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,41,41,uniform_min_teq,41,1,0.0,0.0,0.0,0.0
and_ladder_s2_l2_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,30,30,uniform_min_teq,30,1,0.0,0.0,0.0,0.0
and_ladder_s2_l2_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,30,30,uniform_min_teq,30,1,0.0,0.0,0.0,0.0
and_ladder_s2_l2_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,30,30,uniform_min_teq,30,1,0.0,0.0,0.0,0.0
heterostage_l3,baseline,two banks,0.25,0.25,0.1818,0.1667,32,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,baseline,two banks,0.25,0.5,0.0909,0.1667,32,0,1.0,0,399,399,min_weighted_count,399,1,0.0,0.0,0.0,1.0
heterostage_l3,baseline,two banks,0.25,0.75,0.0909,0.1667,32,0,1.0,0,399,399,min_weighted_count,399,1,0.0,0.0,0.0,1.0
heterostage_l3,baseline,two banks,0.5,0.25,0.3636,0.1667,32,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,baseline,two banks,0.5,0.5,0.2727,0.1667,32,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,baseline,two banks,0.5,0.75,0.0909,0.1667,32,0,1.0,0,399,399,min_weighted_count,399,1,0.0,0.0,0.0,1.0
heterostage_l3,baseline,two banks,1.0,0.25,0.7273,0.1667,32,0,1.0,0,189,189,uniform_oracle,189,1,0.0,0.0,0.0,0.3827
heterostage_l3,baseline,two banks,1.0,0.5,0.5455,0.3333,32,0,1.0,0,144,144,uniform_min_teq,144,1,0.0,0.0,0.0,0.697
heterostage_l3,baseline,two banks,1.0,0.75,0.2727,0.3333,32,0,1.0,0,156,156,uniform_min_teq,156,1,0.0,0.0,0.0,0.697
heterostage_l3,buffer,B=-1,0.5,0.5,0.2727,0.1667,-1,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,buffer,B=128,0.5,0.5,0.2727,0.1667,128,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,buffer,B=2,0.5,0.5,0.2727,0.1667,2,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,buffer,B=32,0.5,0.5,0.2727,0.1667,32,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,buffer,B=8,0.5,0.5,0.2727,0.1667,8,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,CCZ->2T only,0.25,0.25,0.1818,0.1667,32,0,1.0,0,279,279,uniform_min_teq,279,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,CCZ->2T only,0.25,0.5,0.0909,0.1667,32,0,1.0,0,321,321,uniform_min_teq,321,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,CCZ->2T only,0.25,0.75,0.0909,0.1667,32,0,1.0,0,321,321,uniform_min_teq,321,1,0.0,0.0,0.0,0.697
heterostage_l3,conversion,CCZ->2T only,0.5,0.25,0.3636,0.1667,32,0,1.0,0,241,241,uniform_oracle,241,1,0.0,0.0,0.0,0.3827
heterostage_l3,conversion,CCZ->2T only,0.5,0.5,0.2727,0.1667,32,0,1.0,0,273,273,uniform_oracle,273,1,0.0,0.0,0.0,0.3827
