kernel,control,setting,capacity_target,ccz_share,t_rate,ccz_rate,buffer,latency,p_success,seed,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand
mixed_w32_c16_l1,conversion,both directions,1.0,0.25,0.7273,0.1667,32,0,1.0,0,237,237,uniform_oracle,237,1,0.0,0.0,0.0,0.375
mixed_w32_c16_l1,conversion,both directions,1.0,0.5,0.5455,0.3333,32,0,1.0,0,201,201,uniform_min_teq,201,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,conversion,both directions,1.0,0.75,0.2727,0.3333,32,0,1.0,0,201,201,uniform_min_teq,201,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1,failures,p=0.7 seed=0,0.5,0.5,0.1909,0.1167,32,0,0.7,0,401,401,uniform_oracle,401,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,failures,p=0.7 seed=1,0.5,0.5,0.1909,0.1167,32,0,0.7,1,459,459,uniform_oracle,459,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,failures,p=0.7 seed=2,0.5,0.5,0.1909,0.1167,32,0,0.7,2,465,465,uniform_oracle,465,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,failures,p=0.9 seed=0,0.5,0.5,0.2455,0.15,32,0,0.9,0,357,357,uniform_oracle,357,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,failures,p=0.9 seed=1,0.5,0.5,0.2455,0.15,32,0,0.9,1,357,357,uniform_oracle,357,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,failures,p=0.9 seed=2,0.5,0.5,0.2455,0.15,32,0,0.9,2,351,351,uniform_oracle,351,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,failures,p=1 seed=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,317,317,uniform_oracle,317,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,latency,L=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,317,317,uniform_oracle,317,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,latency,L=10,0.5,0.5,0.2727,0.1667,32,10,1.0,0,327,327,uniform_oracle,327,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,latency,L=200,0.5,0.5,0.2727,0.1667,32,200,1.0,0,517,517,uniform_oracle,517,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1,latency,L=50,0.5,0.5,0.2727,0.1667,32,50,1.0,0,367,367,uniform_oracle,367,1,0.0,0.0,0.0,0.6296
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,399,399,uniform_min_teq,399,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,209,209,uniform_min_teq,209,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,209,209,uniform_min_teq,209,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,209,209,uniform_min_teq,209,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,183,183,uniform_min_teq,183,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,183,183,uniform_min_teq,183,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,183,183,uniform_min_teq,183,1,0.0,0.0,0.0,1.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,830,830,uniform_min_teq,830,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,830,830,uniform_min_teq,830,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,830,830,uniform_min_teq,830,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,433,433,uniform_min_teq,433,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,433,433,uniform_min_teq,433,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,433,433,uniform_min_teq,433,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,0.0
mixed_w32_c16_l1_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,0.0
multiplier_w32_r4,baseline,two banks,0.25,0.25,0.1818,0.1667,32,0,1.0,0,561,471,two_term_descent,471,1,0.1604,0.0,0.3333,0.7222
multiplier_w32_r4,baseline,two banks,0.25,0.5,0.0909,0.1667,32,0,1.0,0,561,561,uniform_min_teq,561,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,baseline,two banks,0.25,0.75,0.0909,0.1667,32,0,1.0,0,561,561,uniform_min_teq,561,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,baseline,two banks,0.5,0.25,0.3636,0.1667,32,0,1.0,0,509,449,two_term_descent,412,1,0.1906,0.0824,0.3333,0.5122
multiplier_w32_r4,baseline,two banks,0.5,0.5,0.2727,0.1667,32,0,1.0,0,561,453,two_term_descent,453,1,0.1925,0.0,0.3333,0.5122
multiplier_w32_r4,baseline,two banks,0.5,0.75,0.0909,0.1667,32,0,1.0,0,561,561,uniform_min_teq,561,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,baseline,two banks,1.0,0.25,0.7273,0.1667,32,0,1.0,0,322,322,uniform_oracle,316,1,0.0186,0.0186,0.6667,0.3381
multiplier_w32_r4,baseline,two banks,1.0,0.5,0.5455,0.3333,32,0,1.0,0,289,289,uniform_min_teq,246,1,0.1488,0.1488,0.3333,0.7222
multiplier_w32_r4,baseline,two banks,1.0,0.75,0.2727,0.3333,32,0,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,buffer,B=-1,0.5,0.5,0.2727,0.1667,-1,0,1.0,0,561,453,two_term_descent,453,1,0.1925,0.0,0.3333,0.5122
multiplier_w32_r4,buffer,B=128,0.5,0.5,0.2727,0.1667,128,0,1.0,0,561,453,two_term_descent,453,1,0.1925,0.0,0.3333,0.5122
multiplier_w32_r4,buffer,B=2,0.5,0.5,0.2727,0.1667,2,0,1.0,0,561,508,two_term_descent,471,1,0.1604,0.0728,0.3333,0.7222
multiplier_w32_r4,buffer,B=32,0.5,0.5,0.2727,0.1667,32,0,1.0,0,561,453,two_term_descent,453,1,0.1925,0.0,0.3333,0.5122
multiplier_w32_r4,buffer,B=8,0.5,0.5,0.2727,0.1667,8,0,1.0,0,561,486,two_term_descent,471,1,0.1604,0.0309,0.3333,0.7222
multiplier_w32_r4,conversion,CCZ->2T only,0.25,0.25,0.1818,0.1667,32,0,1.0,0,543,495,two_term_descent,484,1,0.1087,0.0222,0.3333,0.5122
multiplier_w32_r4,conversion,CCZ->2T only,0.25,0.5,0.0909,0.1667,32,0,1.0,0,561,561,uniform_min_teq,519,1,0.0749,0.0749,0.3333,0.7222
multiplier_w32_r4,conversion,CCZ->2T only,0.25,0.75,0.0909,0.1667,32,0,1.0,0,561,561,uniform_min_teq,519,1,0.0749,0.0749,0.3333,0.7222
multiplier_w32_r4,conversion,CCZ->2T only,0.5,0.25,0.3636,0.1667,32,0,1.0,0,409,409,uniform_oracle,409,1,0.0,0.0,0.0,0.3478
multiplier_w32_r4,conversion,CCZ->2T only,0.5,0.5,0.2727,0.1667,32,0,1.0,0,465,420,two_term_descent,420,1,0.0968,0.0,0.3333,0.5122
multiplier_w32_r4,conversion,CCZ->2T only,0.5,0.75,0.0909,0.1667,32,0,1.0,0,561,561,uniform_min_teq,519,1,0.0749,0.0749,0.3333,0.7222
multiplier_w32_r4,conversion,CCZ->2T only,1.0,0.25,0.7273,0.1667,32,0,1.0,0,328,328,uniform_oracle,316,1,0.0366,0.0366,0.6667,0.3381
multiplier_w32_r4,conversion,CCZ->2T only,1.0,0.5,0.5455,0.3333,32,0,1.0,0,289,262,two_term_descent,246,1,0.1488,0.0611,0.3333,0.7222
multiplier_w32_r4,conversion,CCZ->2T only,1.0,0.75,0.2727,0.3333,32,0,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,conversion,both directions,0.25,0.25,0.1818,0.1667,32,0,1.0,0,498,476,two_term_descent,476,1,0.0442,0.0,0.3333,0.7222
multiplier_w32_r4,conversion,both directions,0.25,0.5,0.0909,0.1667,32,0,1.0,0,531,531,uniform_min_teq,531,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,conversion,both directions,0.25,0.75,0.0909,0.1667,32,0,1.0,0,531,531,uniform_min_teq,531,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,conversion,both directions,0.5,0.25,0.3636,0.1667,32,0,1.0,0,409,409,uniform_oracle,407,1,0.0049,0.0049,0.3333,0.5122
multiplier_w32_r4,conversion,both directions,0.5,0.5,0.2727,0.1667,32,0,1.0,0,465,425,two_term_descent,425,1,0.086,0.0,0.3333,0.5122
multiplier_w32_r4,conversion,both directions,0.5,0.75,0.0909,0.1667,32,0,1.0,0,531,531,uniform_min_teq,531,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,conversion,both directions,1.0,0.25,0.7273,0.1667,32,0,1.0,0,328,328,uniform_oracle,316,1,0.0366,0.0366,0.3333,0.5
multiplier_w32_r4,conversion,both directions,1.0,0.5,0.5455,0.3333,32,0,1.0,0,261,261,uniform_min_teq,251,1,0.0383,0.0383,0.3333,0.7222
multiplier_w32_r4,conversion,both directions,1.0,0.75,0.2727,0.3333,32,0,1.0,0,274,274,uniform_min_teq,274,1,0.0,0.0,0.0,1.0
multiplier_w32_r4,failures,p=0.7 seed=0,0.5,0.5,0.1909,0.1167,32,0,0.7,0,747,615,two_term_descent,615,1,0.1767,0.0,0.3333,0.7222
multiplier_w32_r4,failures,p=0.7 seed=1,0.5,0.5,0.1909,0.1167,32,0,0.7,1,819,680,two_term_descent,675,1,0.1758,0.0074,0.3333,0.7222
multiplier_w32_r4,failures,p=0.7 seed=2,0.5,0.5,0.1909,0.1167,32,0,0.7,2,819,596,two_term_descent,596,1,0.2723,0.0,0.3333,0.5122
multiplier_w32_r4,failures,p=0.9 seed=0,0.5,0.5,0.2455,0.15,32,0,0.9,0,627,486,two_term_descent,486,1,0.2249,0.0,0.3333,0.5122
multiplier_w32_r4,failures,p=0.9 seed=1,0.5,0.5,0.2455,0.15,32,0,0.9,1,645,519,two_term_descent,519,1,0.1953,0.0,0.3333,0.5122
multiplier_w32_r4,failures,p=0.9 seed=2,0.5,0.5,0.2455,0.15,32,0,0.9,2,633,482,two_term_descent,482,1,0.2385,0.0,0.3333,0.5122
multiplier_w32_r4,failures,p=1 seed=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,561,453,two_term_descent,453,1,0.1925,0.0,0.3333,0.5122
multiplier_w32_r4,latency,L=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,561,453,two_term_descent,453,1,0.1925,0.0,0.3333,0.5122
multiplier_w32_r4,latency,L=10,0.5,0.5,0.2727,0.1667,32,10,1.0,0,571,463,two_term_descent,463,1,0.1891,0.0,0.3333,0.5122
multiplier_w32_r4,latency,L=200,0.5,0.5,0.2727,0.1667,32,200,1.0,0,761,653,two_term_descent,653,1,0.1419,0.0,0.3333,0.5122
multiplier_w32_r4,latency,L=50,0.5,0.5,0.2727,0.1667,32,50,1.0,0,611,503,two_term_descent,503,1,0.1768,0.0,0.3333,0.5122
multiplier_w32_r4_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,561,561,uniform_min_teq,561,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,561,561,uniform_min_teq,561,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,561,561,uniform_min_teq,561,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,289,289,uniform_min_teq,289,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,228,228,uniform_min_teq,228,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,228,228,uniform_min_teq,228,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,228,228,uniform_min_teq,228,1,0.0,0.0,0.0,1.0
multiplier_w32_r4_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,1374,1374,uniform_min_teq,1374,1,0.0,0.0,0.0,0.0
multiplier_w32_r4_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,1374,1374,uniform_min_teq,1374,1,0.0,0.0,0.0,0.0
multiplier_w32_r4_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,1374,1374,uniform_min_teq,1374,1,0.0,0.0,0.0,0.0
multiplier_w32_r4_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,694,694,uniform_min_teq,694,1,0.0,0.0,0.0,0.0
multiplier_w32_r4_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,694,694,uniform_min_teq,694,1,0.0,0.0,0.0,0.0
multiplier_w32_r4_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,694,694,uniform_min_teq,694,1,0.0,0.0,0.0,0.0
multiplier_w32_r4_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,420,420,uniform_min_teq,420,1,0.0,0.0,0.0,0.0
multiplier_w32_r4_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,420,420,uniform_min_teq,420,1,0.0,0.0,0.0,0.0
multiplier_w32_r4_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,420,420,uniform_min_teq,420,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4,baseline,two banks,0.25,0.25,0.1818,0.1667,32,0,1.0,0,363,338,two_term_descent,338,1,0.0689,0.0,0.25,0.6
oracle_bank_c16_l4,baseline,two banks,0.25,0.5,0.0909,0.1667,32,0,1.0,0,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4,baseline,two banks,0.25,0.75,0.0909,0.1667,32,0,1.0,0,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4,baseline,two banks,0.5,0.25,0.3636,0.1667,32,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,baseline,two banks,0.5,0.5,0.2727,0.1667,32,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,baseline,two banks,0.5,0.75,0.0909,0.1667,32,0,1.0,0,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4,baseline,two banks,1.0,0.25,0.7273,0.1667,32,0,1.0,0,342,183,two_term_descent,183,1,0.4649,0.0,0.5,0.3333
oracle_bank_c16_l4,baseline,two banks,1.0,0.5,0.5455,0.3333,32,0,1.0,0,186,141,two_term_descent,141,1,0.2419,0.0,0.25,0.6
oracle_bank_c16_l4,baseline,two banks,1.0,0.75,0.2727,0.3333,32,0,1.0,0,186,186,uniform_min_teq,186,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4,buffer,B=-1,0.5,0.5,0.2727,0.1667,-1,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,buffer,B=128,0.5,0.5,0.2727,0.1667,128,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,buffer,B=2,0.5,0.5,0.2727,0.1667,2,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,buffer,B=32,0.5,0.5,0.2727,0.1667,32,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,buffer,B=8,0.5,0.5,0.2727,0.1667,8,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,CCZ->2T only,0.25,0.25,0.1818,0.1667,32,0,1.0,0,363,300,two_term_descent,300,1,0.1736,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,CCZ->2T only,0.25,0.5,0.0909,0.1667,32,0,1.0,0,363,360,proportional_split,360,1,0.0083,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,CCZ->2T only,0.25,0.75,0.0909,0.1667,32,0,1.0,0,363,360,proportional_split,360,1,0.0083,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,CCZ->2T only,0.5,0.25,0.3636,0.1667,32,0,1.0,0,353,269,proportional_split,269,1,0.238,0.0,0.5,0.3333
oracle_bank_c16_l4,conversion,CCZ->2T only,0.5,0.5,0.2727,0.1667,32,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,CCZ->2T only,0.5,0.75,0.0909,0.1667,32,0,1.0,0,363,360,proportional_split,360,1,0.0083,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,CCZ->2T only,1.0,0.25,0.7273,0.1667,32,0,1.0,0,238,183,two_term_descent,183,1,0.2311,0.0,0.5,0.3333
oracle_bank_c16_l4,conversion,CCZ->2T only,1.0,0.5,0.5455,0.3333,32,0,1.0,0,186,141,two_term_descent,141,1,0.2419,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,CCZ->2T only,1.0,0.75,0.2727,0.3333,32,0,1.0,0,186,181,proportional_split,175,1,0.0591,0.0331,0.25,0.6
oracle_bank_c16_l4,conversion,both directions,0.25,0.25,0.1818,0.1667,32,0,1.0,0,322,300,two_term_descent,300,1,0.0683,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,both directions,0.25,0.5,0.0909,0.1667,32,0,1.0,0,345,345,uniform_min_teq,345,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4,conversion,both directions,0.25,0.75,0.0909,0.1667,32,0,1.0,0,345,345,uniform_min_teq,345,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4,conversion,both directions,0.5,0.25,0.3636,0.1667,32,0,1.0,0,291,255,two_term_descent,255,1,0.1237,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,both directions,0.5,0.5,0.2727,0.1667,32,0,1.0,0,309,267,two_term_descent,267,1,0.1359,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,both directions,0.5,0.75,0.0909,0.1667,32,0,1.0,0,345,345,uniform_min_teq,345,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4,conversion,both directions,1.0,0.25,0.7273,0.1667,32,0,1.0,0,238,183,two_term_descent,183,1,0.2311,0.0,0.5,0.3333
oracle_bank_c16_l4,conversion,both directions,1.0,0.5,0.5455,0.3333,32,0,1.0,0,159,141,two_term_descent,141,1,0.1132,0.0,0.25,0.6
oracle_bank_c16_l4,conversion,both directions,1.0,0.75,0.2727,0.3333,32,0,1.0,0,171,171,uniform_min_teq,171,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4,failures,p=0.7 seed=0,0.5,0.5,0.1909,0.1167,32,0,0.7,0,483,327,two_term_descent,327,1,0.323,0.0,0.25,0.6
oracle_bank_c16_l4,failures,p=0.7 seed=1,0.5,0.5,0.1909,0.1167,32,0,0.7,1,525,375,two_term_descent,375,1,0.2857,0.0,0.25,0.6
oracle_bank_c16_l4,failures,p=0.7 seed=2,0.5,0.5,0.1909,0.1167,32,0,0.7,2,537,399,two_term_descent,399,1,0.257,0.0,0.25,0.6
oracle_bank_c16_l4,failures,p=0.9 seed=0,0.5,0.5,0.2455,0.15,32,0,0.9,0,411,321,two_term_descent,321,1,0.219,0.0,0.25,0.6
oracle_bank_c16_l4,failures,p=0.9 seed=1,0.5,0.5,0.2455,0.15,32,0,0.9,1,423,309,two_term_descent,309,1,0.2695,0.0,0.25,0.6
oracle_bank_c16_l4,failures,p=0.9 seed=2,0.5,0.5,0.2455,0.15,32,0,0.9,2,423,309,two_term_descent,309,1,0.2695,0.0,0.25,0.6
oracle_bank_c16_l4,failures,p=1 seed=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,latency,L=0,0.5,0.5,0.2727,0.1667,32,0,1.0,0,363,273,two_term_descent,273,1,0.2479,0.0,0.25,0.6
oracle_bank_c16_l4,latency,L=10,0.5,0.5,0.2727,0.1667,32,10,1.0,0,373,283,two_term_descent,283,1,0.2413,0.0,0.25,0.6
oracle_bank_c16_l4,latency,L=200,0.5,0.5,0.2727,0.1667,32,200,1.0,0,563,473,two_term_descent,473,1,0.1599,0.0,0.25,0.6
oracle_bank_c16_l4,latency,L=50,0.5,0.5,0.2727,0.1667,32,50,1.0,0,413,323,two_term_descent,323,1,0.2179,0.0,0.25,0.6
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,0.25,1.0,0.0,0.1667,32,0,1.0,0,363,363,uniform_min_teq,363,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,186,186,uniform_min_teq,186,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,186,186,uniform_min_teq,186,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,0.5,1.0,0.0,0.3333,32,0,1.0,0,186,186,uniform_min_teq,186,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,127,127,uniform_min_teq,127,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,127,127,uniform_min_teq,127,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into CCZ,1.0,1.0,0.0,0.5,32,0,1.0,0,127,127,uniform_min_teq,127,1,0.0,0.0,0.0,1.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,890,890,uniform_min_teq,890,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,890,890,uniform_min_teq,890,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,0.25,0.0,0.2727,0.0,32,0,1.0,0,890,890,uniform_min_teq,890,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,452,452,uniform_min_teq,452,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,452,452,uniform_min_teq,452,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,0.5,0.0,0.5455,0.0,32,0,1.0,0,452,452,uniform_min_teq,452,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,253,253,uniform_min_teq,253,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,253,253,uniform_min_teq,253,1,0.0,0.0,0.0,0.0
oracle_bank_c16_l4_pooled,pooled,pooled into T,1.0,0.0,1.0,0.0,32,0,1.0,0,253,253,uniform_min_teq,253,1,0.0,0.0,0.0,0.0
qft_q4_b10,baseline,two banks,0.25,0.25,0.1818,0.1667,32,0,1.0,0,723,511,proportional_split,511,1,0.2932,0.0,0.3333,0.6667
qft_q4_b10,baseline,two banks,0.25,0.5,0.0909,0.1667,32,0,1.0,0,723,615,two_term_descent,615,0,0.1494,0.0,0.1667,0.8333
qft_q4_b10,baseline,two banks,0.25,0.75,0.0909,0.1667,32,0,1.0,0,723,615,two_term_descent,615,0,0.1494,0.0,0.1667,0.8333
qft_q4_b10,baseline,two banks,0.5,0.25,0.3636,0.1667,32,0,1.0,0,670,450,proportional_split,404,1,0.397,0.1022,0.5,0.5
qft_q4_b10,baseline,two banks,0.5,0.5,0.2727,0.1667,32,0,1.0,0,723,483,proportional_split,449,1,0.379,0.0704,0.5,0.5
qft_q4_b10,baseline,two banks,0.5,0.75,0.0909,0.1667,32,0,1.0,0,723,615,two_term_descent,615,0,0.1494,0.0,0.1667,0.8333
qft_q4_b10,baseline,two banks,1.0,0.25,0.7273,0.1667,32,0,1.0,0,370,324,two_term_descent,295,1,0.2027,0.0895,0.3333,0.3333
qft_q4_b10,baseline,two banks,1.0,0.5,0.5455,0.3333,32,0,1.0,0,370,274,proportional_split,274,1,0.2595,0.0,0.3333,0.6667
qft_q4_b10,baseline,two banks,1.0,0.75,0.2727,0.3333,32,0,1.0,0,370,330,two_term_descent,310,1,0.1622,0.0606,0.1667,0.8333
qft_q4_b10,buffer,B=-1,0.5,0.5,0.2727,0.1667,-1,0,1.0,0,723,483,proportional_split,449,1,0.379,0.0704,0.5,0.5
