kernel,role,model,tiles,ccz_share,raw_setting,raw_period,raw_scale,raw_tiles,factory_tiles,t_rate,ccz_rate,raw_rate,capacity_teq,t_units,ccz_units,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_global_oracle,oracle_exhaustive,best_simple_baseline,makespan_best_simple,headroom_over_uniform_oracle,headroom_over_best_simple,oracle_heterogeneity,oracle_ccz_share_of_demand,regret_sim_descent
trotter_t3_l2_b10,decisive,B,800,0.75,default,2,1.0,2,789,1.3636,1.1667,30.0,3.697,15,7,133,133,133,133,246,133,177,133,133,1,uniform_min_teq,133,0.0,0.0,0.0,1.0,1.0
trotter_t3_l2_b10,decisive,C,200,0.25,default,2,1.0,2,246,0.9091,0.1667,15.0,1.2424,10,1,727,236,236,227,236,236,247,210,210,1,two_term_descent,227,0.1102,0.0749,0.1667,0.1667,1.0
trotter_t3_l2_b10,decisive,C,200,0.5,default,2,1.0,2,197,0.6364,0.1667,11.0,0.9697,7,1,725,261,261,377,261,261,260,260,260,1,proportional_split,260,0.0038,0.0,0.1667,0.1667,1.0
trotter_t3_l2_b10,decisive,C,200,0.75,default,2,1.0,2,230,0.3636,0.3333,8.5,1.0303,4,2,366,366,245,284,366,245,246,245,245,1,uniform_oracle,245,0.0,0.0,0.0,0.0,1.0
trotter_t3_l2_b10,decisive,C,400,0.25,cheap,1,1.0,2,395,2.0909,0.1667,33.0,2.4242,23,1,724,176,176,176,176,176,176,176,176,1,min_weighted_count,176,0.0,0.0,0.0,0.0,1.0
trotter_t3_l2_b10,decisive,C,400,0.25,default,2,1.0,2,412,1.8182,0.1667,29.0,2.1515,20,1,726,177,177,177,177,177,177,177,177,1,min_weighted_count,177,0.0,0.0,0.0,0.0,1.0
trotter_t3_l2_b10,decisive,C,400,0.25,expensive,4,1.0,2,438,1.4545,0.1667,23.25,1.7879,16,1,727,182,182,211,182,182,247,182,182,1,min_weighted_count,182,0.0,0.0,0.0,0.0,1.0
trotter_t3_l2_b10,decisive,C,400,0.25,free_area,2,1.0,0,373,2.4545,0.1667,38.5,2.7879,27,1,727,177,177,177,177,177,177,177,177,1,min_weighted_count,177,0.0,0.0,0.0,0.0,1.0
trotter_t3_l2_b10,decisive,C,400,0.25,free_scarce,2,0.5,0,373,1.2546,0.0852,19.5,1.4249,27,1,727,203,203,203,203,203,203,191,191,1,min_weighted_count,203,0.0591,0.0591,0.1667,0.1667,1.0
trotter_t3_l2_b10,decisive,C,400,0.25,scarce,2,0.5,2,395,1.0551,0.0841,16.5,1.2234,23,1,727,236,236,236,236,236,236,207,207,1,min_weighted_count,236,0.1229,0.1229,0.1667,0.1667,1.0
trotter_t3_l2_b10,decisive,C,400,0.5,cheap,1,1.0,2,378,1.4545,0.3333,25.0,2.1212,16,2,364,178,178,178,364,178,175,175,175,1,proportional_split,175,0.0169,0.0,0.1667,0.1667,1.0
trotter_t3_l2_b10,decisive,C,400,0.5,default,2,1.0,2,394,1.2727,0.3333,22.0,1.9394,14,2,367,200,200,231,367,200,176,176,176,1,proportional_split,176,0.12,0.0,0.3333,0.3333,1.0
trotter_t3_l2_b10,decisive,C,400,0.5,expensive,4,1.0,2,415,1.0,0.3333,17.75,1.6667,11,2,367,249,249,213,367,249,179,179,179,1,proportional_split,179,0.2811,0.0,0.3333,0.3333,1.0
trotter_t3_l2_b10,decisive,C,400,0.5,free_area,2,1.0,0,426,1.6364,0.5,29.0,2.6364,18,3,247,177,177,161,247,177,176,161,161,1,two_term_descent,161,0.0904,0.0,0.5,0.5,1.0
trotter_t3_l2_b10,decisive,C,400,0.5,free_scarce,2,0.5,0,426,0.8312,0.254,14.5,1.3392,18,3,250,202,202,189,250,202,185,176,176,1,proportional_split,185,0.1287,0.0486,0.3333,0.6667,1.0
trotter_t3_l2_b10,decisive,C,400,0.5,scarce,2,0.5,2,378,0.7426,0.1702,12.5,1.0829,16,2,367,231,231,232,367,231,206,206,206,1,proportional_split,206,0.1082,0.0,0.3333,0.3333,1.0
trotter_t3_l2_b10,decisive,C,400,0.75,cheap,1,1.0,2,426,0.7273,0.6667,17.0,2.0606,8,4,187,187,187,181,187,199,177,157,157,1,proportional_split,177,0.1604,0.113,0.1667,0.8333,1.0
trotter_t3_l2_b10,decisive,C,400,0.75,default,2,1.0,2,376,0.7273,0.5,15.0,1.7273,8,3,250,250,208,190,250,208,177,177,177,1,proportional_split,177,0.149,0.0,0.3333,0.6667,1.0
trotter_t3_l2_b10,decisive,C,400,0.75,expensive,4,1.0,2,415,0.6364,0.5,13.75,1.6364,7,3,250,250,218,199,250,218,180,180,180,1,proportional_split,180,0.1743,0.0,0.3333,0.6667,1.0
trotter_t3_l2_b10,decisive,C,400,0.75,free_area,2,1.0,0,403,0.8182,0.6667,18.0,2.1515,9,4,190,190,190,159,190,201,176,159,159,1,two_term_descent,159,0.1632,0.0,0.3333,0.6667,1.0
trotter_t3_l2_b10,decisive,C,400,0.75,free_scarce,2,0.5,0,403,0.4182,0.3408,9.0,1.0998,9,4,202,202,202,193,202,222,197,192,192,1,two_term_descent,193,0.0495,0.0052,0.1667,0.8333,1.0
trotter_t3_l2_b10,decisive,C,400,0.75,scarce,2,0.5,2,426,0.3806,0.3489,8.5,1.0784,8,4,198,198,198,200,198,224,202,185,185,1,uniform_min_teq,198,0.0657,0.0657,0.5,0.5,1.0
trotter_t3_l2_b10,decisive,C,800,0.25,default,2,1.0,2,805,3.5455,0.3333,56.0,4.2121,39,2,366,175,175,173,366,175,175,173,173,1,two_term_descent,173,0.0114,0.0,0.5,0.2083,1.0
trotter_t3_l2_b10,decisive,C,800,0.5,default,2,1.0,2,788,2.5455,0.6667,44.0,3.8788,28,4,190,177,177,241,190,177,176,156,156,1,proportional_split,176,0.1186,0.1136,0.3333,0.6667,1.0
trotter_t3_l2_b10,decisive,C,800,0.75,default,2,1.0,2,817,1.3636,1.1667,30.0,3.697,15,7,134,134,134,134,248,134,176,134,134,1,uniform_min_teq,134,0.0,0.0,0.0,1.0,1.0
heterostage_l3,null,A,200,0.25,,,,,226,1.2727,0.1667,0.0,1.6061,14,1,279,203,147,151,151,189,198,147,147,1,uniform_oracle,147,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,A,200,0.5,,,,,171,0.8182,0.1667,0.0,1.1515,9,1,279,285,189,189,207,399,285,189,189,1,uniform_oracle,189,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,A,200,0.75,,,,,199,0.4545,0.3333,0.0,1.1212,5,2,144,204,144,144,204,204,204,144,144,1,uniform_min_teq,144,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,A,400,0.25,,,,,369,2.4545,0.1667,0.0,2.7879,27,1,279,166,128,128,153,131,166,128,128,1,uniform_oracle,128,0.0,0.0,0.0,0.0955,1.0
heterostage_l3,null,A,400,0.5,,,,,414,1.6364,0.5,0.0,2.6364,18,3,114,114,99,114,139,131,176,99,99,1,uniform_oracle,99,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,A,400,0.75,,,,,387,0.8182,0.6667,0.0,2.1515,9,4,99,106,99,99,106,106,106,99,99,1,uniform_min_teq,99,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,A,800,0.25,,,,,821,5.0,0.5,0.0,6.0,55,3,114,166,74,74,74,131,166,74,74,1,uniform_oracle,74,0.0,0.0,0.0,0.1163,1.0
heterostage_l3,null,A,800,0.5,,,,,828,3.2727,1.0,0.0,5.2727,36,6,99,99,68,68,100,99,166,68,68,1,uniform_oracle,68,0.0,0.0,0.0,0.3617,1.0
heterostage_l3,null,A,800,0.75,,,,,774,1.6364,1.3333,0.0,4.303,18,8,99,99,69,69,99,99,99,69,69,1,uniform_oracle,69,0.0,0.0,0.0,0.7297,1.0
heterostage_l3,null,B,200,0.25,default,2,1.0,2,242,0.9091,0.1667,15.0,1.2424,10,1,282,261,191,191,191,402,261,191,191,1,uniform_oracle,191,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,B,200,0.5,default,2,1.0,2,193,0.6364,0.1667,11.0,0.9697,7,1,281,281,191,193,193,401,366,191,191,1,uniform_oracle,191,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,B,200,0.75,default,2,1.0,2,222,0.3636,0.3333,8.5,1.0303,4,2,146,204,146,146,204,204,204,146,146,1,uniform_min_teq,146,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,B,400,0.25,cheap,1,1.0,2,391,2.0909,0.1667,33.0,2.4242,23,1,280,170,133,134,179,190,168,133,133,1,uniform_oracle,133,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,B,400,0.25,default,2,1.0,2,408,1.8182,0.1667,29.0,2.1515,20,1,282,176,134,138,138,192,172,134,134,1,uniform_oracle,134,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,B,400,0.25,expensive,4,1.0,2,413,1.3636,0.1667,22.0,1.697,15,1,284,187,146,146,146,194,187,146,146,1,uniform_oracle,146,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,B,400,0.25,free_area,2,1.0,0,369,2.4545,0.1667,38.5,2.7879,27,1,282,168,131,133,155,192,168,131,131,1,uniform_oracle,131,0.0,0.0,0.0,0.0955,1.0
heterostage_l3,null,B,400,0.25,free_scarce,2,0.5,0,369,1.2546,0.0852,19.5,1.4249,27,1,282,208,147,172,154,192,206,147,147,1,uniform_oracle,147,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,B,400,0.25,scarce,2,0.5,2,391,1.0551,0.0841,16.5,1.2234,23,1,282,234,173,189,173,402,234,173,173,1,uniform_oracle,173,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,B,400,0.5,cheap,1,1.0,2,370,1.4545,0.3333,25.0,2.1212,16,2,145,181,100,100,202,140,181,100,100,1,uniform_oracle,100,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,B,400,0.5,default,2,1.0,2,386,1.2727,0.3333,22.0,1.9394,14,2,147,147,102,102,204,142,191,102,102,1,uniform_oracle,102,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,B,400,0.5,expensive,4,1.0,2,430,1.0909,0.3333,19.25,1.7576,12,2,149,149,109,109,206,206,229,109,109,1,uniform_oracle,109,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,B,400,0.5,free_area,2,1.0,0,414,1.6364,0.5,29.0,2.6364,18,3,101,122,101,101,138,134,178,101,101,1,uniform_min_teq,101,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,B,400,0.5,free_scarce,2,0.5,0,414,0.8312,0.254,14.5,1.3392,18,3,114,120,114,159,142,142,264,114,114,1,uniform_min_teq,114,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,B,400,0.5,scarce,2,0.5,2,370,0.7426,0.1702,12.5,1.0829,16,2,147,304,147,177,204,204,304,147,147,1,uniform_min_teq,147,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,B,400,0.75,cheap,1,1.0,2,410,0.7273,0.6667,17.0,2.0606,8,4,100,121,100,100,121,106,106,100,100,1,uniform_min_teq,100,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,B,400,0.75,default,2,1.0,2,442,0.7273,0.6667,16.5,2.0606,8,4,102,123,102,102,123,108,108,102,102,1,uniform_min_teq,102,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,B,400,0.75,expensive,4,1.0,2,403,0.6364,0.5,13.75,1.6364,7,3,103,148,103,103,148,148,148,103,103,1,uniform_min_teq,103,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,B,400,0.75,free_area,2,1.0,0,387,0.8182,0.6667,18.0,2.1515,9,4,102,123,102,102,123,108,108,102,102,1,uniform_min_teq,102,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,B,400,0.75,free_scarce,2,0.5,0,387,0.4182,0.3408,9.0,1.0998,9,4,152,117,117,152,117,117,117,117,117,1,min_weighted_count,117,0.0,0.0,0.0,1.0,1.0
heterostage_l3,null,B,400,0.75,scarce,2,0.5,2,410,0.3806,0.3489,8.5,1.0784,8,4,161,115,115,161,115,115,115,115,115,1,min_weighted_count,115,0.0,0.0,0.0,1.0,1.0
heterostage_l3,null,B,800,0.25,default,2,1.0,2,797,3.5455,0.3333,56.0,4.2121,39,2,146,170,101,120,161,135,168,101,101,1,uniform_oracle,101,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,B,800,0.5,default,2,1.0,2,772,2.5455,0.6667,44.0,3.8788,28,4,102,111,88,93,114,133,168,93,88,1,uniform_oracle,88,0.0,0.0,0.0,0.3617,1.0568
heterostage_l3,null,B,800,0.75,default,2,1.0,2,789,1.3636,1.1667,30.0,3.697,15,7,102,105,93,96,114,102,102,93,93,1,uniform_oracle,93,0.0,0.0,0.0,0.7917,1.0
heterostage_l3,null,C,200,0.25,default,2,1.0,2,246,0.9091,0.1667,15.0,1.2424,10,1,283,227,169,173,173,193,225,169,169,1,uniform_oracle,169,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,C,200,0.5,default,2,1.0,2,197,0.6364,0.1667,11.0,0.9697,7,1,281,281,191,193,210,281,254,191,191,1,uniform_oracle,191,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,C,200,0.75,default,2,1.0,2,230,0.3636,0.3333,8.5,1.0303,4,2,146,204,146,146,204,146,204,146,146,1,uniform_min_teq,146,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,400,0.25,cheap,1,1.0,2,395,2.0909,0.1667,33.0,2.4242,23,1,280,170,133,134,178,134,166,133,133,1,uniform_oracle,133,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,C,400,0.25,default,2,1.0,2,412,1.8182,0.1667,29.0,2.1515,20,1,282,173,134,138,138,138,170,134,134,1,uniform_oracle,134,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,C,400,0.25,expensive,4,1.0,2,438,1.4545,0.1667,23.25,1.7879,16,1,283,184,144,146,146,193,184,144,144,1,uniform_oracle,144,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,C,400,0.25,free_area,2,1.0,0,373,2.4545,0.1667,38.5,2.7879,27,1,283,166,131,131,154,133,166,131,131,1,uniform_oracle,131,0.0,0.0,0.0,0.0955,1.0
heterostage_l3,null,C,400,0.25,free_scarce,2,0.5,0,373,1.2546,0.0852,19.5,1.4249,27,1,283,198,149,199,149,193,199,149,149,1,uniform_oracle,149,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,C,400,0.25,scarce,2,0.5,2,395,1.0551,0.0841,16.5,1.2234,23,1,283,217,162,188,162,193,213,162,162,1,uniform_oracle,162,0.0,0.0,0.0,0.1667,1.0
heterostage_l3,null,C,400,0.5,cheap,1,1.0,2,378,1.4545,0.3333,25.0,2.1212,16,2,145,174,103,106,202,140,174,103,103,1,uniform_oracle,103,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,C,400,0.5,default,2,1.0,2,394,1.2727,0.3333,22.0,1.9394,14,2,147,147,105,105,205,142,200,105,105,1,uniform_oracle,105,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,C,400,0.5,expensive,4,1.0,2,415,1.0,0.3333,17.75,1.6667,11,2,148,148,115,115,205,143,233,115,115,1,uniform_oracle,115,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,C,400,0.5,free_area,2,1.0,0,426,1.6364,0.5,29.0,2.6364,18,3,104,122,104,104,139,137,173,104,104,1,uniform_min_teq,104,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,400,0.5,free_scarce,2,0.5,0,426,0.8312,0.254,14.5,1.3392,18,3,106,106,106,150,142,150,190,106,106,1,uniform_min_teq,106,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,400,0.5,scarce,2,0.5,2,378,0.7426,0.1702,12.5,1.0829,16,2,148,212,140,157,205,148,199,140,140,1,uniform_oracle,140,0.0,0.0,0.0,0.3827,1.0
heterostage_l3,null,C,400,0.75,cheap,1,1.0,2,426,0.7273,0.6667,17.0,2.0606,8,4,100,106,100,100,106,141,106,100,100,1,uniform_min_teq,100,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,400,0.75,default,2,1.0,2,376,0.7273,0.5,15.0,1.7273,8,3,103,142,103,103,142,143,142,103,103,1,uniform_min_teq,103,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,400,0.75,expensive,4,1.0,2,415,0.6364,0.5,13.75,1.6364,7,3,103,142,103,103,142,103,142,103,103,1,uniform_min_teq,103,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,400,0.75,free_area,2,1.0,0,403,0.8182,0.6667,18.0,2.1515,9,4,103,109,103,103,130,140,109,103,103,1,uniform_min_teq,103,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,400,0.75,free_scarce,2,0.5,0,403,0.4182,0.3408,9.0,1.0998,9,4,113,121,113,113,121,113,121,113,113,1,uniform_min_teq,113,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,400,0.75,scarce,2,0.5,2,426,0.3806,0.3489,8.5,1.0784,8,4,115,115,115,115,115,115,115,115,115,1,uniform_min_teq,115,0.0,0.0,0.0,0.697,1.0
heterostage_l3,null,C,800,0.25,default,2,1.0,2,805,3.5455,0.3333,56.0,4.2121,39,2,146,168,101,112,119,132,166,101,101,1,uniform_oracle,101,0.0,0.0,0.0,0.2199,1.0
heterostage_l3,null,C,800,0.5,default,2,1.0,2,788,2.5455,0.6667,44.0,3.8788,28,4,106,112,90,93,115,132,166,90,90,1,uniform_oracle,90,0.0,0.0,0.0,0.3617,1.0
heterostage_l3,null,C,800,0.75,default,2,1.0,2,817,1.3636,1.1667,30.0,3.697,15,7,103,103,82,82,115,103,103,82,82,1,uniform_oracle,82,0.0,0.0,0.0,0.7297,1.0
oracle_bank_c16_l4,null,A,200,0.25,,,,,226,1.2727,0.1667,0.0,1.6061,14,1,363,201,201,154,201,363,154,154,154,1,two_term_descent,154,0.2338,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,A,200,0.5,,,,,171,0.8182,0.1667,0.0,1.1515,9,1,363,306,306,183,306,363,232,183,183,1,two_term_descent,183,0.402,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,A,200,0.75,,,,,199,0.4545,0.3333,0.0,1.1212,5,2,186,186,186,143,186,186,275,143,143,1,two_term_descent,143,0.2312,0.0,0.25,0.6,1.0
oracle_bank_c16_l4,null,A,400,0.25,,,,,369,2.4545,0.1667,0.0,2.7879,27,1,363,111,111,93,111,363,111,93,93,1,two_term_descent,93,0.1622,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,A,400,0.5,,,,,414,1.6364,0.5,0.0,2.6364,18,3,127,127,127,88,127,127,88,87,87,1,two_term_descent,88,0.315,0.0114,0.5,0.3333,1.0
oracle_bank_c16_l4,null,A,400,0.75,,,,,387,0.8182,0.6667,0.0,2.1515,9,4,97,97,97,87,97,97,159,87,87,1,two_term_descent,87,0.1031,0.0,0.25,0.6,1.0
oracle_bank_c16_l4,null,A,800,0.25,,,,,821,5.0,0.5,0.0,6.0,55,3,127,64,64,54,64,64,87,54,54,1,two_term_descent,54,0.1562,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,A,800,0.5,,,,,828,3.2727,1.0,0.0,5.2727,36,6,68,68,68,55,68,68,86,53,53,1,two_term_descent,55,0.2206,0.0364,0.25,0.6,1.0
oracle_bank_c16_l4,null,A,800,0.75,,,,,774,1.6364,1.3333,0.0,4.303,18,8,54,54,53,54,54,53,88,53,53,1,uniform_oracle,53,0.0,0.0,0.0,1.0,1.0
oracle_bank_c16_l4,null,B,200,0.25,default,2,1.0,2,242,0.9091,0.1667,15.0,1.2424,10,1,366,280,280,186,280,366,214,186,186,1,two_term_descent,186,0.3357,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,B,200,0.5,default,2,1.0,2,193,0.6364,0.1667,11.0,0.9697,7,1,365,365,365,205,365,365,299,205,205,1,two_term_descent,205,0.4384,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,B,200,0.75,default,2,1.0,2,222,0.3636,0.3333,8.5,1.0303,4,2,186,186,186,180,186,186,180,180,180,1,two_term_descent,180,0.0323,0.0,0.25,0.6,1.0
oracle_bank_c16_l4,null,B,400,0.25,cheap,1,1.0,2,391,2.0909,0.1667,33.0,2.4242,23,1,364,129,129,101,129,364,101,101,101,1,two_term_descent,101,0.2171,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,B,400,0.25,default,2,1.0,2,408,1.8182,0.1667,29.0,2.1515,20,1,366,147,147,114,147,366,114,114,114,1,two_term_descent,114,0.2245,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,B,400,0.25,expensive,4,1.0,2,413,1.3636,0.1667,22.0,1.697,15,1,368,193,193,149,193,368,149,149,149,1,two_term_descent,149,0.228,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,B,400,0.25,free_area,2,1.0,0,369,2.4545,0.1667,38.5,2.7879,27,1,366,113,113,96,113,366,113,96,96,1,two_term_descent,96,0.1504,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,B,400,0.25,free_scarce,2,0.5,0,369,1.2546,0.0852,19.5,1.4249,27,1,366,213,213,164,213,366,213,164,164,1,two_term_descent,164,0.23,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,B,400,0.25,scarce,2,0.5,2,391,1.0551,0.0841,16.5,1.2234,23,1,366,249,249,194,249,366,194,186,186,1,two_term_descent,194,0.253,0.0412,0.5,0.3333,1.0
oracle_bank_c16_l4,null,B,400,0.5,cheap,1,1.0,2,370,1.4545,0.3333,25.0,2.1212,16,2,184,179,179,97,184,184,139,97,97,1,two_term_descent,97,0.4581,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,B,400,0.5,default,2,1.0,2,386,1.2727,0.3333,22.0,1.9394,14,2,186,186,186,110,186,186,157,110,110,1,two_term_descent,110,0.4086,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,B,400,0.5,expensive,4,1.0,2,430,1.0909,0.3333,19.25,1.7576,12,2,188,188,188,128,188,188,128,128,128,1,two_term_descent,128,0.3191,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,B,400,0.5,free_area,2,1.0,0,414,1.6364,0.5,29.0,2.6364,18,3,126,126,126,90,126,126,90,90,90,1,two_term_descent,90,0.2857,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,B,400,0.5,free_scarce,2,0.5,0,414,0.8312,0.254,14.5,1.3392,18,3,130,130,130,174,130,130,174,101,101,1,uniform_min_teq,130,0.2231,0.2231,0.25,0.6,1.0
oracle_bank_c16_l4,null,B,400,0.5,scarce,2,0.5,2,370,0.7426,0.1702,12.5,1.0829,16,2,186,324,186,198,186,186,262,144,144,1,uniform_min_teq,186,0.2258,0.2258,0.25,0.6,1.0
oracle_bank_c16_l4,null,B,400,0.75,cheap,1,1.0,2,410,0.7273,0.6667,17.0,2.0606,8,4,96,96,96,97,96,96,97,96,96,1,uniform_min_teq,96,0.0,0.0,0.0,1.0,1.0
oracle_bank_c16_l4,null,B,400,0.75,default,2,1.0,2,442,0.7273,0.6667,16.5,2.0606,8,4,98,98,98,98,98,98,98,98,98,1,uniform_min_teq,98,0.0,0.0,0.0,1.0,1.0
oracle_bank_c16_l4,null,B,400,0.75,expensive,4,1.0,2,403,0.6364,0.5,13.75,1.6364,7,3,128,128,128,112,128,128,207,112,112,1,two_term_descent,112,0.125,0.0,0.25,0.6,1.0
oracle_bank_c16_l4,null,B,400,0.75,free_area,2,1.0,0,387,0.8182,0.6667,18.0,2.1515,9,4,98,98,98,91,98,98,163,90,90,1,two_term_descent,91,0.0816,0.011,0.25,0.6,1.0
oracle_bank_c16_l4,null,B,400,0.75,free_scarce,2,0.5,0,387,0.4182,0.3408,9.0,1.0998,9,4,107,107,107,184,107,107,271,107,107,1,uniform_min_teq,107,0.0,0.0,0.0,1.0,1.0
oracle_bank_c16_l4,null,B,400,0.75,scarce,2,0.5,2,410,0.3806,0.3489,8.5,1.0784,8,4,104,104,104,194,104,104,194,104,104,1,uniform_min_teq,104,0.0,0.0,0.0,1.0,1.0
oracle_bank_c16_l4,null,B,800,0.25,default,2,1.0,2,797,3.5455,0.3333,56.0,4.2121,39,2,186,104,104,84,104,186,89,84,84,1,two_term_descent,84,0.1923,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,B,800,0.5,default,2,1.0,2,772,2.5455,0.6667,44.0,3.8788,28,4,96,96,96,67,96,96,90,67,67,1,two_term_descent,67,0.3021,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,B,800,0.75,default,2,1.0,2,789,1.3636,1.1667,30.0,3.697,15,7,62,62,62,63,62,62,88,62,62,1,uniform_min_teq,62,0.0,0.0,0.0,1.0,1.0
oracle_bank_c16_l4,null,C,200,0.25,default,2,1.0,2,246,0.9091,0.1667,15.0,1.2424,10,1,367,235,235,187,235,367,196,187,187,1,two_term_descent,187,0.2043,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,C,200,0.5,default,2,1.0,2,197,0.6364,0.1667,11.0,0.9697,7,1,365,365,261,199,261,365,232,199,199,1,two_term_descent,199,0.2375,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,C,200,0.75,default,2,1.0,2,230,0.3636,0.3333,8.5,1.0303,4,2,186,186,186,164,186,186,164,163,163,1,two_term_descent,164,0.1237,0.0061,0.25,0.6,1.0
oracle_bank_c16_l4,null,C,400,0.25,cheap,1,1.0,2,395,2.0909,0.1667,33.0,2.4242,23,1,364,128,128,101,128,364,101,101,101,1,two_term_descent,101,0.2109,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,C,400,0.25,default,2,1.0,2,412,1.8182,0.1667,29.0,2.1515,20,1,366,146,146,114,146,366,114,114,114,1,two_term_descent,114,0.2192,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,C,400,0.25,expensive,4,1.0,2,438,1.4545,0.1667,23.25,1.7879,16,1,367,181,181,141,181,367,141,141,141,1,two_term_descent,141,0.221,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,C,400,0.25,free_area,2,1.0,0,373,2.4545,0.1667,38.5,2.7879,27,1,367,112,112,97,112,367,112,97,97,1,two_term_descent,97,0.1339,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,C,400,0.25,free_scarce,2,0.5,0,373,1.2546,0.0852,19.5,1.4249,27,1,367,202,202,163,202,367,202,163,163,1,two_term_descent,163,0.1931,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,C,400,0.25,scarce,2,0.5,2,395,1.0551,0.0841,16.5,1.2234,23,1,367,223,223,185,223,367,185,185,185,1,two_term_descent,185,0.1704,0.0,0.25,0.1429,1.0
oracle_bank_c16_l4,null,C,400,0.5,cheap,1,1.0,2,378,1.4545,0.3333,25.0,2.1212,16,2,184,146,146,97,184,184,121,97,97,1,two_term_descent,97,0.3356,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,C,400,0.5,default,2,1.0,2,394,1.2727,0.3333,22.0,1.9394,14,2,187,187,187,110,187,187,155,110,110,1,two_term_descent,110,0.4118,0.0,0.5,0.3333,1.0
oracle_bank_c16_l4,null,C,400,0.5,expensive,4,1.0,2,415,1.0,0.3333,17.75,1.6667,11,2,187,187,187,138,187,187,138,138,138,1,two_term_descent,138,0.262,0.0,0.5,0.3333,1.0
