kernel,family,capacity_target,ccz_share,supply_pressure,imbalance,supply_ccz_share,uniform_mix_mismatch,uniform_waste,concurrency,decision_sites,stages,max_stage_width,serial_fraction,mean_variants_per_site,min_cross_resource_cost_ratio,families,headroom_over_best_simple,headroom_over_uniform,oracle_exhaustive,fails
and_ladder_s2_l3,and_ladder,2.0,0.1,0.6972,5.4545,0.155,0.155,0.6154,3,6,2,3,0.0,4.0,2.0,1,0.1481,0.2069,1,1
and_ladder_s2_l3,and_ladder,2.0,0.25,0.5724,2.1818,0.3143,0.6857,0.7643,3,6,2,3,0.0,4.0,2.0,1,0.0833,0.0833,1,1
and_ladder_s2_l3,and_ladder,2.0,0.5,0.4286,1.0,0.5,0.5,0.7,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,2.0,0.75,0.4562,2.4444,0.7097,0.2903,0.6639,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
and_ladder_s2_l3,and_ladder,2.0,0.9,0.4637,9.1667,0.9016,0.0984,0.6393,3,6,2,3,0.0,4.0,2.0,1,0.0,0.0,1,0
grover_c16_i2,grover,0.25,0.1,1.2524,1.8333,0.6471,0.3529,0.3576,1,4,4,1,1.0,4.5,1.0,2,0.1964,0.2648,1,1
grover_c16_i2,grover,0.25,0.25,1.2524,1.8333,0.6471,0.3529,0.3576,1,4,4,1,1.0,4.5,1.0,2,0.1964,0.2648,1,1
grover_c16_i2,grover,0.25,0.5,1.4602,3.6667,0.7858,0.2142,0.22,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,0.25,0.75,1.4602,3.6667,0.7858,0.2142,0.22,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,0.25,0.9,1.4602,3.6667,0.7858,0.2142,0.22,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,0.5,0.1,0.7498,1.3636,0.4232,0.0054,0.3677,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,0.5,0.25,0.8476,1.0909,0.4783,0.0497,0.2852,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,0.5,0.5,0.9747,1.2222,0.5501,0.1215,0.2351,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,0.5,0.75,1.4602,3.6667,0.7858,0.2142,0.22,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,0.5,0.9,1.4602,3.6667,0.7858,0.2142,0.22,1,4,4,1,1.0,4.5,1.0,2,0.0,0.0,1,0
grover_c16_i2,grover,1.0,0.1,0.6981,2.7273,0.2683,0.1317,0.3536,1,4,4,1,1.0,4.5,1.0,2,0.004,0.004,1,0
