kernel,family,capacity_target,ccz_share,supply_pressure,imbalance,supply_ccz_share,uniform_mix_mismatch,uniform_waste,concurrency,decision_sites,stages,max_stage_width,serial_fraction,mean_variants_per_site,min_cross_resource_cost_ratio,families,headroom_over_best_simple,headroom_over_uniform,oracle_exhaustive,fails
mixed_w32_c16_l1,mixed,2.0,0.25,0.4041,2.1818,0.3143,0.3153,0.6063,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,2.0,0.5,0.3646,1.0,0.5,0.5,0.6393,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,2.0,0.75,0.5795,2.4444,0.7097,0.2903,0.4273,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l1,mixed,2.0,0.9,1.211,9.1667,0.9016,0.0984,0.1483,1,3,3,1,1.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l2,mixed,0.25,0.1,2.195,1.8333,0.6471,0.3529,0.3554,2,6,3,2,0.0,5.0,1.0,3,0.2642,0.2642,1,1
mixed_w32_c16_l2,mixed,0.25,0.25,2.195,1.8333,0.6471,0.3529,0.3554,2,6,3,2,0.0,5.0,1.0,3,0.2642,0.2642,1,1
mixed_w32_c16_l2,mixed,0.25,0.5,2.7056,3.6667,0.7858,0.2142,0.2174,2,6,3,2,0.0,5.0,1.0,3,0.0,0.1509,0,0
mixed_w32_c16_l2,mixed,0.25,0.75,2.7056,3.6667,0.7858,0.2142,0.2174,2,6,3,2,0.0,5.0,1.0,3,0.0,0.1509,0,0
mixed_w32_c16_l2,mixed,0.25,0.9,2.7056,3.6667,0.7858,0.2142,0.2174,2,6,3,2,0.0,5.0,1.0,3,0.0,0.1509,0,0
mixed_w32_c16_l2,mixed,0.5,0.1,1.417,1.3636,0.4232,0.0405,0.1539,2,6,3,2,0.0,5.0,1.0,3,0.0144,0.0144,1,0
mixed_w32_c16_l2,mixed,0.5,0.25,1.6018,1.0909,0.4783,0.0956,0.1699,2,6,3,2,0.0,5.0,1.0,3,0.1268,0.1268,1,1
mixed_w32_c16_l2,mixed,0.5,0.5,1.8658,1.2222,0.5501,0.0795,0.2219,2,6,3,2,0.0,5.0,1.0,3,0.0958,0.1485,1,1
mixed_w32_c16_l2,mixed,0.5,0.75,2.7056,3.6667,0.7858,0.2142,0.2174,2,6,3,2,0.0,5.0,1.0,3,0.0,0.1509,0,0
mixed_w32_c16_l2,mixed,0.5,0.9,2.7056,3.6667,0.7858,0.2142,0.2174,2,6,3,2,0.0,5.0,1.0,3,0.0,0.1509,0,0
mixed_w32_c16_l2,mixed,1.0,0.1,0.8899,2.7273,0.2683,0.1016,0.1973,2,6,3,2,0.0,5.0,1.0,3,0.0571,0.0571,1,1
mixed_w32_c16_l2,mixed,1.0,0.25,1.1509,2.1818,0.3143,0.0607,0.1678,2,6,3,2,0.0,5.0,1.0,3,0.0752,0.1517,1,1
mixed_w32_c16_l2,mixed,1.0,0.5,0.99,1.2222,0.55,0.0796,0.2449,2,6,3,2,0.0,5.0,1.0,3,0.0545,0.1186,1,1
mixed_w32_c16_l2,mixed,1.0,0.75,1.304,2.4444,0.7097,0.2903,0.3008,2,6,3,2,0.0,5.0,1.0,3,0.1119,0.1119,1,1
mixed_w32_c16_l2,mixed,1.0,0.9,1.1524,11.0,0.9167,0.0833,0.107,2,6,3,2,0.0,5.0,1.0,3,0.0,0.0,0,0
mixed_w32_c16_l2,mixed,2.0,0.1,0.6857,5.4545,0.155,0.0004,0.3346,2,6,3,2,0.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l2,mixed,2.0,0.25,0.6983,2.1818,0.3143,0.0607,0.3194,2,6,3,2,0.0,5.0,1.0,3,0.0677,0.0677,1,1
mixed_w32_c16_l2,mixed,2.0,0.5,0.7678,1.0,0.5,0.1296,0.2636,2,6,3,2,0.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l2,mixed,2.0,0.75,0.7763,2.4444,0.7097,0.2903,0.3309,2,6,3,2,0.0,5.0,1.0,3,0.0,0.0,1,0
mixed_w32_c16_l2,mixed,2.0,0.9,0.7891,9.1667,0.9016,0.0984,0.2238,2,6,3,2,0.0,5.0,1.0,3,0.0,0.0,1,0
modexp_w16_s2,modexp,0.25,0.1,1.2826,1.8333,0.6471,0.3529,0.3583,1,4,4,1,1.0,6.0,2.0,1,0.1212,0.1212,1,1
modexp_w16_s2,modexp,0.25,0.25,1.2826,1.8333,0.6471,0.3529,0.3583,1,4,4,1,1.0,6.0,2.0,1,0.1212,0.1212,1,1
modexp_w16_s2,modexp,0.25,0.5,1.5041,3.6667,0.7858,0.2142,0.2209,1,4,4,1,1.0,6.0,2.0,1,0.0744,0.0744,1,1
modexp_w16_s2,modexp,0.25,0.75,1.5041,3.6667,0.7858,0.2142,0.2209,1,4,4,1,1.0,6.0,2.0,1,0.0744,0.0744,1,1
modexp_w16_s2,modexp,0.25,0.9,1.5041,3.6667,0.7858,0.2142,0.2209,1,4,4,1,1.0,6.0,2.0,1,0.0744,0.0744,1,1
modexp_w16_s2,modexp,0.5,0.1,0.8639,1.3636,0.4232,0.0596,0.1571,1,4,4,1,1.0,6.0,2.0,1,0.0528,0.0528,1,1
modexp_w16_s2,modexp,0.5,0.25,0.9766,1.0909,0.4783,0.1147,0.2158,1,4,4,1,1.0,6.0,2.0,1,0.0532,0.1708,1,1
modexp_w16_s2,modexp,0.5,0.5,1.0902,1.2222,0.5501,0.4499,0.4546,1,4,4,1,1.0,6.0,2.0,1,0.2314,0.2314,1,1
modexp_w16_s2,modexp,0.5,0.75,1.5041,3.6667,0.7858,0.2142,0.2209,1,4,4,1,1.0,6.0,2.0,1,0.0744,0.0744,1,1
modexp_w16_s2,modexp,0.5,0.9,1.5041,3.6667,0.7858,0.2142,0.2209,1,4,4,1,1.0,6.0,2.0,1,0.0744,0.0744,1,1
modexp_w16_s2,modexp,1.0,0.1,0.7976,2.7273,0.2683,0.0953,0.4488,1,4,4,1,1.0,6.0,2.0,1,0.1012,0.1012,1,1
modexp_w16_s2,modexp,1.0,0.25,0.9344,2.1818,0.3143,0.0493,0.3569,1,4,4,1,1.0,6.0,2.0,1,0.0853,0.0853,1,1
modexp_w16_s2,modexp,1.0,0.5,0.5051,1.2222,0.55,0.45,0.5,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w16_s2,modexp,1.0,0.75,0.6517,2.4444,0.7097,0.2903,0.3548,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w16_s2,modexp,1.0,0.9,0.7888,11.0,0.9167,0.0833,0.4444,1,4,4,1,1.0,6.0,2.0,1,0.1212,0.1212,1,1
modexp_w16_s2,modexp,2.0,0.1,0.9087,5.4545,0.155,0.2086,0.6805,1,4,4,1,1.0,6.0,2.0,1,0.1875,0.1875,1,1
modexp_w16_s2,modexp,2.0,0.25,0.9126,2.1818,0.3143,0.0345,0.1373,1,4,4,1,1.0,6.0,2.0,1,0.0798,0.0798,1,1
modexp_w16_s2,modexp,2.0,0.5,0.6623,1.0,0.5,0.5,0.697,1,4,4,1,1.0,6.0,2.0,1,0.202,0.202,1,1
modexp_w16_s2,modexp,2.0,0.75,0.633,2.4444,0.7097,0.2903,0.3178,1,4,4,1,1.0,6.0,2.0,1,0.1713,0.1713,1,1
modexp_w16_s2,modexp,2.0,0.9,0.89,9.1667,0.9016,0.0984,0.1462,1,4,4,1,1.0,6.0,2.0,1,0.102,0.102,1,1
modexp_w32_s2,modexp,0.25,0.1,1.291,1.8333,0.6471,0.3529,0.3556,1,4,4,1,1.0,6.0,2.0,1,0.0759,0.1205,1,1
modexp_w32_s2,modexp,0.25,0.25,1.291,1.8333,0.6471,0.3529,0.3556,1,4,4,1,1.0,6.0,2.0,1,0.0759,0.1205,1,1
modexp_w32_s2,modexp,0.25,0.5,1.5066,3.6667,0.7858,0.2142,0.2175,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w32_s2,modexp,0.25,0.75,1.5066,3.6667,0.7858,0.2142,0.2175,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w32_s2,modexp,0.25,0.9,1.5066,3.6667,0.7858,0.2142,0.2175,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w32_s2,modexp,0.5,0.1,0.8975,1.3636,0.4232,0.0754,0.1383,1,4,4,1,1.0,6.0,2.0,1,0.0646,0.0646,1,1
modexp_w32_s2,modexp,0.5,0.25,1.0146,1.0909,0.4783,0.1305,0.2167,1,4,4,1,1.0,6.0,2.0,1,0.1135,0.2003,1,1
modexp_w32_s2,modexp,0.5,0.5,1.1344,1.2222,0.5501,0.4499,0.4522,1,4,4,1,1.0,6.0,2.0,1,0.241,0.241,1,1
modexp_w32_s2,modexp,0.5,0.75,1.5066,3.6667,0.7858,0.2142,0.2175,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w32_s2,modexp,0.5,0.9,1.5066,3.6667,0.7858,0.2142,0.2175,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w32_s2,modexp,1.0,0.1,0.5691,2.7273,0.2683,0.0795,0.4227,1,4,4,1,1.0,6.0,2.0,1,0.0585,0.0585,1,1
modexp_w32_s2,modexp,1.0,0.25,0.6667,2.1818,0.3143,0.0335,0.325,1,4,4,1,1.0,6.0,2.0,1,0.0584,0.0584,1,1
modexp_w32_s2,modexp,1.0,0.5,0.5273,1.2222,0.55,0.45,0.4754,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w32_s2,modexp,1.0,0.75,0.6804,2.4444,0.7097,0.2903,0.323,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w32_s2,modexp,1.0,0.9,0.8608,11.0,0.9167,0.0833,0.4171,1,4,4,1,1.0,6.0,2.0,1,0.0846,0.0846,1,1
modexp_w32_s2,modexp,2.0,0.1,1.9038,5.4545,0.155,0.1928,0.6659,1,4,4,1,1.0,6.0,2.0,1,0.1822,0.1934,1,1
modexp_w32_s2,modexp,2.0,0.25,0.7679,2.1818,0.3143,0.0264,0.0968,1,4,4,1,1.0,6.0,2.0,1,0.0447,0.0447,1,0
modexp_w32_s2,modexp,2.0,0.5,1.2018,1.0,0.5,0.5,0.6821,1,4,4,1,1.0,6.0,2.0,1,0.0923,0.0923,1,1
modexp_w32_s2,modexp,2.0,0.75,0.7309,2.4444,0.7097,0.2903,0.3037,1,4,4,1,1.0,6.0,2.0,1,0.2038,0.2038,1,1
modexp_w32_s2,modexp,2.0,0.9,0.7428,9.1667,0.9016,0.0984,0.12,1,4,4,1,1.0,6.0,2.0,1,0.0633,0.0633,1,1
modexp_w64_s2,modexp,0.25,0.1,1.3174,1.8333,0.6471,0.3529,0.3543,1,4,4,1,1.0,6.0,2.0,1,0.0317,0.0317,1,0
modexp_w64_s2,modexp,0.25,0.25,1.3174,1.8333,0.6471,0.3529,0.3543,1,4,4,1,1.0,6.0,2.0,1,0.0317,0.0317,1,0
modexp_w64_s2,modexp,0.25,0.5,1.5389,3.6667,0.7858,0.2142,0.2159,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,0,0
modexp_w64_s2,modexp,0.25,0.75,1.5389,3.6667,0.7858,0.2142,0.2159,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,0,0
modexp_w64_s2,modexp,0.25,0.9,1.5389,3.6667,0.7858,0.2142,0.2159,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,0,0
modexp_w64_s2,modexp,0.5,0.1,0.9142,1.3636,0.4232,0.0828,0.137,1,4,4,1,1.0,6.0,2.0,1,0.0778,0.0778,1,1
modexp_w64_s2,modexp,0.5,0.25,1.0056,1.0909,0.4783,0.1379,0.217,1,4,4,1,1.0,6.0,2.0,1,0.1393,0.1705,1,1
modexp_w64_s2,modexp,0.5,0.5,1.1565,1.2222,0.5501,0.4499,0.4511,1,4,4,1,1.0,6.0,2.0,1,0.1901,0.1901,1,1
modexp_w64_s2,modexp,0.5,0.75,1.5389,3.6667,0.7858,0.2142,0.2159,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,0,0
modexp_w64_s2,modexp,0.5,0.9,1.5389,3.6667,0.7858,0.2142,0.2159,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,0,0
modexp_w64_s2,modexp,1.0,0.1,0.5797,2.7273,0.2683,0.0721,0.4095,1,4,4,1,1.0,6.0,2.0,1,0.0605,0.0605,1,1
modexp_w64_s2,modexp,1.0,0.25,0.6791,2.1818,0.3143,0.0261,0.309,1,4,4,1,1.0,6.0,2.0,1,0.0604,0.0604,1,1
modexp_w64_s2,modexp,1.0,0.5,0.5386,1.2222,0.55,0.45,0.4628,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w64_s2,modexp,1.0,0.75,0.695,2.4444,0.7097,0.2903,0.3068,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
modexp_w64_s2,modexp,1.0,0.9,0.8995,11.0,0.9167,0.0833,0.4031,1,4,4,1,1.0,6.0,2.0,1,0.0013,0.0013,0,0
modexp_w64_s2,modexp,2.0,0.1,2.3081,5.4545,0.155,0.1854,0.6587,1,4,4,1,1.0,6.0,2.0,1,0.0585,0.0889,1,1
modexp_w64_s2,modexp,2.0,0.25,1.2552,2.1818,0.3143,0.0226,0.0768,1,4,4,1,1.0,6.0,2.0,1,0.0118,0.0118,1,0
modexp_w64_s2,modexp,2.0,0.5,0.4906,1.0,0.5,0.5,0.6744,1,4,4,1,1.0,6.0,2.0,1,0.0013,0.0013,1,0
modexp_w64_s2,modexp,2.0,0.75,0.7879,2.4444,0.7097,0.2903,0.2969,1,4,4,1,1.0,6.0,2.0,1,0.1004,0.1004,1,1
modexp_w64_s2,modexp,2.0,0.9,2.2171,9.1667,0.9016,0.0984,0.1087,1,4,4,1,1.0,6.0,2.0,1,0.0,0.0,1,0
multiplier_w16_r4,multiplier,0.25,0.1,1.8025,1.8333,0.6471,0.3529,0.3601,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1538,1,0
multiplier_w16_r4,multiplier,0.25,0.25,1.8025,1.8333,0.6471,0.3529,0.3601,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1538,1,0
multiplier_w16_r4,multiplier,0.25,0.5,2.1647,3.6667,0.7858,0.2142,0.223,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w16_r4,multiplier,0.25,0.75,2.1647,3.6667,0.7858,0.2142,0.223,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w16_r4,multiplier,0.25,0.9,2.1647,3.6667,0.7858,0.2142,0.223,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w16_r4,multiplier,0.5,0.1,1.3372,1.3636,0.4232,0.0596,0.1665,2,3,2,2,0.5,6.0,2.0,1,0.0156,0.0597,1,0
multiplier_w16_r4,multiplier,0.5,0.25,1.3437,1.0909,0.4783,0.1147,0.227,2,3,2,2,0.5,6.0,2.0,1,0.0933,0.1673,1,1
multiplier_w16_r4,multiplier,0.5,0.5,1.5452,1.2222,0.5501,0.4499,0.4561,2,3,2,2,0.5,6.0,2.0,1,0.0,0.2015,1,0
multiplier_w16_r4,multiplier,0.5,0.75,2.1647,3.6667,0.7858,0.2142,0.223,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w16_r4,multiplier,0.5,0.9,2.1647,3.6667,0.7858,0.2142,0.223,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w16_r4,multiplier,1.0,0.1,0.7595,2.7273,0.2683,0.0953,0.3442,2,3,2,2,0.5,6.0,2.0,1,0.0127,0.037,1,0
multiplier_w16_r4,multiplier,1.0,0.25,0.8897,2.1818,0.3143,0.0493,0.2318,2,3,2,2,0.5,6.0,2.0,1,0.0247,0.0247,1,0
multiplier_w16_r4,multiplier,1.0,0.5,0.7661,1.2222,0.55,0.45,0.4879,2,3,2,2,0.5,6.0,2.0,1,0.131,0.131,1,1
multiplier_w16_r4,multiplier,1.0,0.75,0.9776,2.4444,0.7097,0.2903,0.3392,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w16_r4,multiplier,1.0,0.9,0.8418,11.0,0.9167,0.0833,0.2888,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w16_r4,multiplier,2.0,0.1,0.8704,5.4545,0.155,0.2086,0.6213,2,3,2,2,0.5,6.0,2.0,1,0.0,0.2716,1,0
multiplier_w16_r4,multiplier,2.0,0.25,0.8726,2.1818,0.3143,0.0493,0.5285,2,3,2,2,0.5,6.0,2.0,1,0.1017,0.197,1,1
multiplier_w16_r4,multiplier,2.0,0.5,0.8295,1.0,0.5,0.5,0.6121,2,3,2,2,0.5,6.0,2.0,1,0.0571,0.1466,1,1
multiplier_w16_r4,multiplier,2.0,0.75,0.7984,2.4444,0.7097,0.2903,0.5257,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0594,1,0
multiplier_w16_r4,multiplier,2.0,0.9,0.8626,9.1667,0.9016,0.0984,0.5179,2,3,2,2,0.5,6.0,2.0,1,0.0,0.2079,1,0
multiplier_w32_r4,multiplier,0.25,0.1,1.8718,1.8333,0.6471,0.3529,0.3565,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1604,1,0
multiplier_w32_r4,multiplier,0.25,0.25,1.8718,1.8333,0.6471,0.3529,0.3565,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1604,1,0
multiplier_w32_r4,multiplier,0.25,0.5,2.2599,3.6667,0.7858,0.2142,0.2186,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w32_r4,multiplier,0.25,0.75,2.2599,3.6667,0.7858,0.2142,0.2186,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w32_r4,multiplier,0.25,0.9,2.2599,3.6667,0.7858,0.2142,0.2186,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w32_r4,multiplier,0.5,0.1,1.2296,1.3636,0.4232,0.0754,0.1456,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0707,1,0
multiplier_w32_r4,multiplier,0.5,0.25,1.3896,1.0909,0.4783,0.1305,0.222,2,3,2,2,0.5,6.0,2.0,1,0.0824,0.1906,1,1
multiplier_w32_r4,multiplier,0.5,0.5,1.598,1.2222,0.5501,0.4499,0.453,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1925,1,0
multiplier_w32_r4,multiplier,0.5,0.75,2.2599,3.6667,0.7858,0.2142,0.2186,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w32_r4,multiplier,0.5,0.9,2.2599,3.6667,0.7858,0.2142,0.2186,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w32_r4,multiplier,1.0,0.1,0.874,2.7273,0.2683,0.0795,0.3101,2,3,2,2,0.5,6.0,2.0,1,0.0311,0.0311,1,0
multiplier_w32_r4,multiplier,1.0,0.25,0.9165,2.1818,0.3143,0.0335,0.1919,2,3,2,2,0.5,6.0,2.0,1,0.0186,0.0186,1,0
multiplier_w32_r4,multiplier,1.0,0.5,0.7955,1.2222,0.55,0.45,0.469,2,3,2,2,0.5,6.0,2.0,1,0.1488,0.1488,1,1
multiplier_w32_r4,multiplier,1.0,0.75,1.0206,2.4444,0.7097,0.2903,0.3148,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w32_r4,multiplier,1.0,0.9,0.8789,11.0,0.9167,0.0833,0.2522,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w32_r4,multiplier,2.0,0.1,0.9702,5.4545,0.155,0.1928,0.6016,2,3,2,2,0.5,6.0,2.0,1,0.0,0.3075,1,0
multiplier_w32_r4,multiplier,2.0,0.25,0.9916,2.1818,0.3143,0.0335,0.4995,2,3,2,2,0.5,6.0,2.0,1,0.1261,0.2269,1,1
multiplier_w32_r4,multiplier,2.0,0.5,0.9329,1.0,0.5,0.5,0.5921,2,3,2,2,0.5,6.0,2.0,1,0.1106,0.1184,1,1
multiplier_w32_r4,multiplier,2.0,0.75,0.8958,2.4444,0.7097,0.2903,0.4975,2,3,2,2,0.5,6.0,2.0,1,0.0,0.066,1,0
multiplier_w32_r4,multiplier,2.0,0.9,0.9931,9.1667,0.9016,0.0984,0.4892,2,3,2,2,0.5,6.0,2.0,1,0.0,0.2132,1,0
multiplier_w32_r8,multiplier,0.25,0.1,2.8979,1.8333,0.6471,0.3529,0.3545,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.1586,0.1586,0,1
multiplier_w32_r8,multiplier,0.25,0.25,2.8979,1.8333,0.6471,0.3529,0.3545,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.1586,0.1586,0,1
multiplier_w32_r8,multiplier,0.25,0.5,3.4072,3.6667,0.7858,0.2142,0.2162,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0,0.069,0,0
multiplier_w32_r8,multiplier,0.25,0.75,3.4072,3.6667,0.7858,0.2142,0.2162,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0,0.069,0,0
multiplier_w32_r8,multiplier,0.25,0.9,3.4072,3.6667,0.7858,0.2142,0.2162,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0,0.069,0,0
multiplier_w32_r8,multiplier,0.5,0.1,2.0454,1.3636,0.4232,0.0754,0.1286,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0,0.1311,0,0
multiplier_w32_r8,multiplier,0.5,0.25,2.0358,1.0909,0.4783,0.1305,0.2096,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.2472,0.2472,0,1
multiplier_w32_r8,multiplier,0.5,0.5,2.2213,1.2222,0.5501,0.4499,0.4513,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.2463,0.2567,0,1
multiplier_w32_r8,multiplier,0.5,0.75,3.4072,3.6667,0.7858,0.2142,0.2162,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0,0.069,0,0
multiplier_w32_r8,multiplier,0.5,0.9,3.4072,3.6667,0.7858,0.2142,0.2162,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0,0.069,0,0
multiplier_w32_r8,multiplier,1.0,0.1,1.3174,2.7273,0.2683,0.0795,0.2659,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.136,0.136,0,1
multiplier_w32_r8,multiplier,1.0,0.25,1.3772,2.1818,0.3143,0.0335,0.14,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0255,0.0255,0,0
multiplier_w32_r8,multiplier,1.0,0.5,1.133,1.2222,0.55,0.45,0.4583,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.2076,0.2088,0,1
multiplier_w32_r8,multiplier,1.0,0.75,1.4982,2.4444,0.7097,0.2903,0.301,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.1335,0.1362,0,1
multiplier_w32_r8,multiplier,1.0,0.9,1.3671,11.0,0.9167,0.0833,0.1642,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0,0.0,0,0
multiplier_w32_r8,multiplier,2.0,0.1,1.0977,5.4545,0.155,0.155,0.3321,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.1569,0.2881,0,1
multiplier_w32_r8,multiplier,2.0,0.25,1.042,2.1818,0.3143,0.0335,0.3283,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0758,0.1372,0,1
multiplier_w32_r8,multiplier,2.0,0.5,1.055,1.0,0.5,0.5,0.5441,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.187,0.187,0,1
multiplier_w32_r8,multiplier,2.0,0.75,1.0133,2.4444,0.7097,0.2903,0.4031,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0466,0.1008,0,0
multiplier_w32_r8,multiplier,2.0,0.9,1.1569,9.1667,0.9016,0.0984,0.3291,4,7,3,4,0.3333333333333333,6.0,2.0,1,0.0,0.1314,0,0
multiplier_w64_r4,multiplier,0.25,0.1,1.9065,1.8333,0.6471,0.3529,0.3547,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1636,1,0
multiplier_w64_r4,multiplier,0.25,0.25,1.9065,1.8333,0.6471,0.3529,0.3547,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1636,1,0
multiplier_w64_r4,multiplier,0.25,0.5,2.3083,3.6667,0.7858,0.2142,0.2165,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w64_r4,multiplier,0.25,0.75,2.3083,3.6667,0.7858,0.2142,0.2165,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w64_r4,multiplier,0.25,0.9,2.3083,3.6667,0.7858,0.2142,0.2165,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w64_r4,multiplier,0.5,0.1,1.2494,1.3636,0.4232,0.0828,0.1407,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0888,1,0
multiplier_w64_r4,multiplier,0.5,0.25,1.4123,1.0909,0.4783,0.1379,0.2197,2,3,2,2,0.5,6.0,2.0,1,0.0647,0.1909,1,1
multiplier_w64_r4,multiplier,0.5,0.5,1.6241,1.2222,0.5501,0.4499,0.4515,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1891,1,0
multiplier_w64_r4,multiplier,0.5,0.75,2.3083,3.6667,0.7858,0.2142,0.2165,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w64_r4,multiplier,0.5,0.9,2.3083,3.6667,0.7858,0.2142,0.2165,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w64_r4,multiplier,1.0,0.1,0.8898,2.7273,0.2683,0.0721,0.293,2,3,2,2,0.5,6.0,2.0,1,0.0358,0.0358,1,0
multiplier_w64_r4,multiplier,1.0,0.25,0.9297,2.1818,0.3143,0.0261,0.1718,2,3,2,2,0.5,6.0,2.0,1,0.0093,0.0093,1,0
multiplier_w64_r4,multiplier,1.0,0.5,0.8103,1.2222,0.55,0.45,0.4595,2,3,2,2,0.5,6.0,2.0,1,0.1577,0.1577,1,1
multiplier_w64_r4,multiplier,1.0,0.75,1.0425,2.4444,0.7097,0.2903,0.3026,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w64_r4,multiplier,1.0,0.9,0.8977,11.0,0.9167,0.0833,0.2334,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w64_r4,multiplier,2.0,0.1,1.0253,5.4545,0.155,0.1854,0.5917,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1916,1,0
multiplier_w64_r4,multiplier,2.0,0.25,1.0586,2.1818,0.3143,0.0261,0.4847,2,3,2,2,0.5,6.0,2.0,1,0.0837,0.1938,1,1
multiplier_w64_r4,multiplier,2.0,0.5,0.4896,1.0,0.5,0.5,0.5819,2,3,2,2,0.5,6.0,2.0,1,0.0,0.0,1,0
multiplier_w64_r4,multiplier,2.0,0.75,1.0519,2.4444,0.7097,0.2903,0.4828,2,3,2,2,0.5,6.0,2.0,1,0.0129,0.0129,1,0
multiplier_w64_r4,multiplier,2.0,0.9,1.0692,9.1667,0.9016,0.0984,0.4743,2,3,2,2,0.5,6.0,2.0,1,0.0,0.1902,1,0
oracle_bank_c16_l2,oracle_bank,0.25,0.1,2.377,1.8333,0.6471,0.3529,0.3636,2,2,1,2,0.0,4.0,2.0,1,0.0,0.0,1,0
