family,kernel,concurrency,size,decision_sites,assignment_space,symmetric_space,capacity_target,ccz_share,makespan_uniform_oracle,makespan_best_simple,best_simple_baseline,makespan_sim_descent,makespan_global_oracle,oracle_exhaustive,headroom_over_uniform_oracle,headroom_over_best_simple,sim_descent_regret,oracle_heterogeneity,oracle_ccz_share_of_demand,seconds_uniform_oracle,seconds_sim_descent,seconds_global_oracle
multiplier,multiplier_w32_r16,8,32,15,470184984576,20432412,1.0,0.75,1405,1405,uniform_min_teq,1210,1210,0,0.1388,0.1388,1.0,0.3333,0.7222,0.3158,19.542,31.0726
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,0.25,0.25,633,590,two_term_descent,516,516,1,0.1848,0.1254,1.0,0.2857,0.6535,0.0691,1.6892,106.3532
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,0.25,0.5,633,591,two_term_descent,591,591,0,0.0664,0.0,1.0,0.1429,0.875,0.0847,2.4659,3.6831
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,0.25,0.75,633,591,two_term_descent,591,591,0,0.0664,0.0,1.0,0.1429,0.875,0.0822,2.2231,3.6883
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,0.5,0.25,553,553,uniform_oracle,432,432,1,0.2188,0.2188,1.0,0.5714,0.4894,0.0644,2.4197,87.1147
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,0.5,0.5,633,548,two_term_descent,480,473,1,0.2528,0.1369,1.0148,0.4286,0.5789,0.0717,2.2552,96.0284
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,0.5,0.75,633,591,two_term_descent,591,591,0,0.0664,0.0,1.0,0.1429,0.875,0.0879,2.4433,3.7709
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,1.0,0.25,354,354,uniform_oracle,336,336,1,0.0508,0.0508,1.0,0.5714,0.3376,0.0492,1.7442,82.0846
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,1.0,0.5,325,325,uniform_min_teq,262,259,1,0.2031,0.2031,1.0116,0.2857,0.6535,0.0603,1.9804,79.2887
multiplier_size,multiplier_w16_r8,4,16,7,279936,15876,1.0,0.75,325,325,uniform_min_teq,283,283,1,0.1292,0.1292,1.0,0.2857,0.7647,0.0675,2.005,94.8913
