program,source,cliffords,gates,decision_sites,stages,max_stage_width,model,capacity_or_tiles,ccz_share,t_rate,ccz_rate,supply_pressure,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_uniform_oracle,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_stage_dp_r5,seconds_stage_dp_r5,makespan_stage_dp_sim,seconds_stage_dp_sim,seconds_sim_descent,makespan_reference,reference_exhaustive,reference_heterogeneity,reference_ccz_fraction,best_simple,makespan_best_simple,headroom_over_best_simple,headroom_over_uniform,regret_stage_dp_r5,regret_stage_dp_sim,regret_sim_descent,regret_best_simple
qmpa_add16,qmpa,kept,97,16,16,1,B,400,0.75,0.7273,0.6667,0.1064,151,151,151,151,151,151,151,151,151,0.106,160,2.076,0.185,151,0,0.0,1.0,uniform_min_teq,151,0.0,0.0,1.0,1.0596,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,200,0.5,0.6364,0.1667,0.226,150,150,150,150,150,150,188,150,172,0.141,176,0.905,0.156,150,0,0.0,1.0,uniform_min_teq,150,0.0,0.0,1.1467,1.1733,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,400,0.25,1.8182,0.1667,0.1019,151,186,151,151,151,151,186,151,170,0.144,166,2.641,0.235,151,0,0.0,1.0,uniform_min_teq,151,0.0,0.0,1.1258,1.0993,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,400,0.5,1.2727,0.3333,0.113,151,151,151,151,151,151,185,151,155,0.157,161,0.933,0.221,151,0,0.0,1.0,uniform_min_teq,151,0.0,0.0,1.0265,1.0662,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,400,0.75,0.7273,0.5,0.1269,152,152,152,152,152,152,152,152,156,0.145,156,1.151,0.182,152,0,0.0,1.0,uniform_min_teq,152,0.0,0.0,1.0263,1.0263,1.0,1.0
qmpa_add16,qmpa,kept,97,16,16,1,C,800,0.5,2.5455,0.6667,0.0565,150,150,150,150,150,150,185,150,155,0.121,161,3.97,0.329,150,0,0.0,1.0,uniform_min_teq,150,0.0,0.0,1.0333,1.0733,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.1,0.1818,0.1667,0.4284,292,292,292,292,292,292,292,292,292,0.286,313,0.694,0.533,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0719,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.25,0.1818,0.1667,0.4284,292,292,292,292,292,292,292,292,292,0.286,313,0.689,0.425,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0719,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.5,0.0909,0.1667,0.5202,292,292,292,292,292,292,292,292,292,0.285,330,0.704,0.343,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.1301,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.75,0.0909,0.1667,0.5202,292,292,292,292,292,292,292,292,292,0.298,330,0.71,0.364,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.1301,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.25,0.9,0.0909,0.1667,0.5202,292,292,292,292,292,292,292,292,292,0.278,330,0.701,0.343,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.1301,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.5,0.1,0.4545,0.1667,0.2801,292,292,292,292,292,292,390,292,292,0.275,303,0.737,0.313,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0377,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.5,0.25,0.3636,0.1667,0.3166,292,292,292,292,292,292,460,292,292,0.291,305,0.719,0.426,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0445,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.5,0.5,0.2727,0.1667,0.3641,292,292,292,292,292,292,292,292,292,0.29,308,0.682,0.32,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0548,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.5,0.75,0.0909,0.1667,0.5202,292,292,292,292,292,292,292,292,292,0.272,330,0.68,0.33,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.1301,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,0.5,0.9,0.0909,0.1667,0.5202,292,292,292,292,292,292,292,292,292,0.275,330,0.672,0.335,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.1301,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,1.0,0.1,0.9091,0.1667,0.1776,292,362,292,292,292,292,362,292,292,0.26,300,0.834,0.322,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0274,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,1.0,0.25,0.7273,0.1667,0.2081,292,363,292,292,292,292,363,292,292,0.271,301,0.788,0.303,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0308,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,1.0,0.5,0.5455,0.3333,0.1821,292,292,292,292,292,292,292,292,292,0.262,292,0.751,0.312,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,1.0,0.75,0.2727,0.3333,0.2349,292,292,292,292,292,292,292,292,292,0.274,292,0.755,0.312,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,1.0,0.9,0.0909,0.5,0.2023,292,292,292,292,292,292,292,292,292,0.189,292,0.485,0.328,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,2.0,0.1,1.8182,0.1667,0.1026,292,361,292,292,292,292,361,292,292,0.271,299,1.141,0.32,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.024,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,2.0,0.25,1.4545,0.3333,0.104,292,361,292,292,292,292,361,292,292,0.304,292,1.134,0.337,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,2.0,0.5,1.0,0.5,0.1103,292,292,292,292,292,292,362,292,292,0.286,292,1.051,0.339,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,2.0,0.75,0.5455,0.6667,0.1175,292,292,292,292,292,292,292,292,292,0.281,292,0.937,0.425,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,A,2.0,0.9,0.1818,0.8333,0.1194,292,292,292,292,292,292,292,292,292,0.194,292,0.527,0.383,292,0,0.0,1.0,uniform_min_teq,292,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,B,400,0.25,1.8182,0.1667,0.1026,295,364,295,295,295,295,364,295,324,0.359,324,10.481,0.649,295,0,0.0,1.0,uniform_min_teq,295,0.0,0.0,1.0983,1.0983,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,B,400,0.5,1.2727,0.3333,0.1138,295,295,295,295,295,295,365,295,295,0.351,317,8.124,0.614,295,0,0.0,1.0,uniform_min_teq,295,0.0,0.0,1.0,1.0746,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,B,400,0.75,0.7273,0.6667,0.1071,295,295,295,295,295,295,295,295,295,0.112,304,5.709,0.537,295,0,0.0,1.0,uniform_min_teq,295,0.0,0.0,1.0,1.0305,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,C,200,0.5,0.6364,0.1667,0.2276,294,294,294,294,294,294,364,294,332,0.357,340,3.131,0.523,294,0,0.0,1.0,uniform_min_teq,294,0.0,0.0,1.1293,1.1565,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,C,400,0.25,1.8182,0.1667,0.1026,295,362,295,295,295,295,362,295,330,0.379,324,8.608,0.715,295,0,0.0,1.0,uniform_min_teq,295,0.0,0.0,1.1186,1.0983,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,C,400,0.5,1.2727,0.3333,0.1138,295,295,295,295,295,295,361,295,299,0.35,315,3.37,0.637,295,0,0.0,1.0,uniform_min_teq,295,0.0,0.0,1.0136,1.0678,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,C,400,0.75,0.7273,0.5,0.1278,296,296,296,296,296,296,296,296,300,0.281,302,4.224,0.559,296,0,0.0,1.0,uniform_min_teq,296,0.0,0.0,1.0135,1.0203,1.0,1.0
qmpa_add32,qmpa,kept,193,32,32,1,C,800,0.5,2.5455,0.6667,0.0569,294,294,294,294,294,294,361,294,299,0.129,304,13.277,0.838,294,0,0.0,1.0,uniform_min_teq,294,0.0,0.0,1.017,1.034,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.25,0.1,0.1818,0.1667,0.4197,76,76,76,76,76,76,76,76,76,0.034,76,0.065,0.025,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.25,0.25,0.1818,0.1667,0.4197,76,76,76,76,76,76,76,76,76,0.033,76,0.057,0.025,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.25,0.5,0.0909,0.1667,0.5097,76,76,76,76,76,76,76,76,76,0.033,76,0.055,0.028,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.25,0.75,0.0909,0.1667,0.5097,76,76,76,76,76,76,76,76,76,0.033,76,0.055,0.027,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.25,0.9,0.0909,0.1667,0.5097,76,76,76,76,76,76,76,76,76,0.033,76,0.054,0.026,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.5,0.1,0.4545,0.1667,0.2744,76,76,76,76,76,76,107,76,76,0.018,87,0.059,0.025,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.1447,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.5,0.25,0.3636,0.1667,0.3102,76,76,76,76,76,76,124,76,76,0.03,89,0.057,0.024,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.1711,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.5,0.5,0.2727,0.1667,0.3568,76,76,76,76,76,76,76,76,76,0.03,92,0.056,0.024,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.2105,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.5,0.75,0.0909,0.1667,0.5097,76,76,76,76,76,76,76,76,76,0.033,76,0.055,0.026,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
qmpa_add8,qmpa,kept,49,8,8,1,A,0.5,0.9,0.0909,0.1667,0.5097,76,76,76,76,76,76,76,76,76,0.033,76,0.054,0.026,76,1,0.0,1.0,uniform_min_teq,76,0.0,0.0,1.0,1.0,1.0,1.0
