workload,family,seed,n,C,B,schedule,T_ref_asap,T_static,T_exe,ratio_to_T_ref,stall_cycles,Delta_max,max_backlog,mean_backlog,BacklogArea,L_backlog,num_backlog_intervals,longest_backlog_interval,backlog_persistence_ratio,D_peak,D_mean,D_cv,D_peak_to_mean,num_demand_peaks,T_count,critical_path_length,slack_ratio,mean_slack,median_slack,p90_slack,fraction_zero_slack,fraction_slack_ge_2,fraction_slack_ge_5,ready_T_width_peak,mean_demand_over_C,peak_demand_over_C,supply_tightness,regime_label,regime_reason,recommended_strategy
multiplier_n16,semi_real_multiplier_larger,0,16,1,0,static,82,82,296,3.6097560975609757,214,214,214,143.70731707317074,11784,81,1,81,0.9878048780487805,17,3.2439024390243905,1.967167903833989,5.2406015037593985,3,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,3.2439024390243905,17.0,3.2439024390243905,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,0,capacity_aware,82,290,290,3.5365853658536586,0,0,0,0.0,0,0,0,0,0.0,1,0.9172413793103448,0.3003757045930553,1.0902255639097744,266,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9172413793103448,1.0,3.2439024390243905,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,0,smooth,82,268,288,3.5121951219512195,20,20,20,0.9104477611940298,244,25,1,25,0.09328358208955224,17,0.9925373134328358,1.1179771027648635,17.127819548872182,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,17.0,3.2439024390243905,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,0,delivery_aware_v2,82,268,288,3.5121951219512195,20,20,20,0.9104477611940298,244,25,1,25,0.09328358208955224,17,0.9925373134328358,1.1179771027648635,17.127819548872182,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,17.0,3.2439024390243905,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,0,robust_smooth,82,268,288,3.5121951219512195,20,20,20,0.9104477611940298,244,25,1,25,0.09328358208955224,17,0.9925373134328358,1.1179771027648635,17.127819548872182,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,17.0,3.2439024390243905,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,4,static,82,82,292,3.5609756097560976,210,214,210,139.7560975609756,11460,81,1,81,0.9878048780487805,17,3.2439024390243905,1.967167903833989,5.2406015037593985,3,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,3.2439024390243905,17.0,3.0930232558139537,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,4,capacity_aware,82,290,290,3.5365853658536586,0,0,0,0.0,0,0,0,0,0.0,1,0.9172413793103448,0.3003757045930553,1.0902255639097744,266,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9172413793103448,1.0,3.0930232558139537,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,4,smooth,82,268,284,3.4634146341463414,16,20,16,0.5597014925373134,150,20,2,18,0.07462686567164178,17,0.9925373134328358,1.1179771027648635,17.127819548872182,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,17.0,3.0930232558139537,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,4,delivery_aware_v2,82,268,284,3.4634146341463414,16,20,16,0.5597014925373134,150,20,2,18,0.07462686567164178,17,0.9925373134328358,1.0835679532450029,17.127819548872182,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,17.0,3.0930232558139537,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,4,robust_smooth,82,268,284,3.4634146341463414,16,20,16,0.5597014925373134,150,20,2,18,0.07462686567164178,17,0.9925373134328358,1.1179771027648635,17.127819548872182,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,17.0,3.0930232558139537,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,8,static,82,82,288,3.5121951219512195,206,214,206,135.8048780487805,11136,81,1,81,0.9878048780487805,17,3.2439024390243905,1.967167903833989,5.2406015037593985,3,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,3.2439024390243905,17.0,2.9555555555555557,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,8,capacity_aware,82,290,290,3.5365853658536586,0,0,0,0.0,0,0,0,0,0.0,1,0.9172413793103448,0.3003757045930553,1.0902255639097744,266,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9172413793103448,1.0,2.9555555555555557,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,8,smooth,82,268,280,3.4146341463414633,12,20,12,0.30970149253731344,83,13,1,13,0.048507462686567165,17,0.9925373134328358,1.1179771027648635,17.127819548872182,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,17.0,2.9555555555555557,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,8,delivery_aware_v2,82,268,280,3.4146341463414633,12,20,12,0.30970149253731344,83,13,1,13,0.048507462686567165,13,0.9925373134328358,0.8659682837498296,13.097744360902256,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,13.0,2.9555555555555557,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,8,robust_smooth,82,268,280,3.4146341463414633,12,20,12,0.30970149253731344,83,13,1,13,0.048507462686567165,17,0.9925373134328358,1.1179771027648635,17.127819548872182,1,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,0.9925373134328358,17.0,2.9555555555555557,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
multiplier_n16,semi_real_multiplier_larger,0,16,1,16,static,82,82,280,3.4146341463414633,198,214,198,128.02439024390245,10498,77,1,77,0.9390243902439024,17,3.2439024390243905,1.967167903833989,5.2406015037593985,3,266,82,0.9624060150375939,9.68421052631579,10.0,10.0,0.03759398496240601,0.9624060150375939,0.9624060150375939,17,3.2439024390243905,17.0,2.7142857142857144,persistent_underprovisioning,average T demand is too close to available delivery supply,increase_capacity
