lambda_A,lambda_C,lambda_B,policy,match_rate,match_rate_nontrivial,mean_regret,median_regret,p95_regret,mean_regret_nontrivial,median_regret_nontrivial,p95_regret_nontrivial
0.0,0.01,0.005,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.005,random,0.8282967032967034,0.5679012345679012,0.057640045091655295,0.0,0.3080952380952382,0.16645200124774595,0.0,0.8236585365853659
0.0,0.01,0.005,regime_aware,0.9615384615384616,0.8909465020576132,0.0030649200563486988,0.0,0.0,0.009120418934246307,0.0,0.08589041095890404
0.0,0.01,0.01,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12097112691219829,0.0,0.6621621621621621,0.331976912884026,0.18301435406698563,0.9090243902439024
0.0,0.01,0.01,always_increase_B,0.9100274725274725,0.7366255144032922,0.04833150425150919,0.0,0.2992307692307692,0.14304466800768695,0.0,0.874736842105263
0.0,0.01,0.01,always_increase_C,0.9979395604395604,1.0,2.060439560439562e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.01,always_smooth,0.9100274725274725,0.7366255144032922,0.045413925921239925,0.0,0.25027397260273965,0.13430393951206543,0.0,0.8371428571428572
0.0,0.01,0.01,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.01,random,0.8269230769230769,0.5534979423868313,0.058711263805437945,0.0,0.35986301369863005,0.1703101041686771,0.0,0.8373170731707316
0.0,0.01,0.01,regime_aware,0.9608516483516484,0.8888888888888888,0.005722887089315732,0.0,0.0,0.017083381897209274,0.0,0.14068493150684924
0.0,0.01,0.02,always_capacity_aware,0.5192307692307693,0.053497942386831275,0.12097112691219829,0.0,0.6621621621621621,0.331976912884026,0.18301435406698563,0.9090243902439024
0.0,0.01,0.02,always_increase_B,0.9100274725274725,0.7366255144032922,0.06187546029546525,0.0,0.47,0.18362079969492973,0.0,0.9104761904761904
0.0,0.01,0.02,always_increase_C,0.9979395604395604,1.0,2.060439560439562e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.02,always_smooth,0.9100274725274725,0.7366255144032922,0.045413925921239925,0.0,0.25027397260273965,0.13430393951206543,0.0,0.8371428571428572
0.0,0.01,0.02,oracle_resource_aware,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
