policy,pareto_optimal_rate,near_pareto_rate,pareto_optimal_rate_nontrivial,near_pareto_rate_nontrivial
always_capacity_aware,0.5865384615384616,0.5865384615384616,0.2551440329218107,0.2551440329218107
always_increase_B,0.9965659340659341,0.9965659340659341,0.9958847736625515,0.9958847736625515
always_increase_C,0.9979395604395604,1.0,1.0,1.0
always_smooth,0.9958791208791209,0.9958791208791209,0.9938271604938271,0.9938271604938271
oracle_resource_aware,1.0,1.0,1.0,1.0
random,0.8818681318681318,0.882554945054945,0.7119341563786008,0.7139917695473251
regime_aware,0.9979395604395604,1.0,1.0,1.0
