C_budget,B_budget,policy,match_rate_to_budget_oracle,mean_regret,median_regret,p95_regret,infeasibility_rate,mean_regret_nontrivial
0,0,always_capacity_aware,0.5274725274725275,0.07521558102347944,0.0,0.3561643835616439,0.0,0.194898569645395
0,0,always_increase_B,0.9821428571428571,0.0016369638904528403,0.0,0.0,0.07486263736263732,0.0031532055268267433
0,0,always_increase_C,0.9821428571428571,0.0016369638904528403,0.0,0.0,0.08997252747252749,0.0031532055268267433
0,0,always_smooth,0.9821428571428571,0.0016369638904528403,0.0,0.0,0.0,0.0031532055268267433
0,0,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
0,0,random,0.8619505494505495,0.0263508635265544,0.0,0.16216216216216206,0.024038461538461564,0.07177543263091213
0,0,regime_aware,0.9821428571428571,0.0016369638904528403,0.0,0.0,0.07898351648351654,0.0031532055268267433
0,4,always_capacity_aware,0.5274725274725275,0.07559787331703133,0.0,0.36363636363636354,0.0,0.19604387330673567
0,4,always_increase_B,0.9821428571428571,0.0016369638904528403,0.0,0.0,0.06868131868131866,0.0031532055268267433
0,4,always_increase_C,0.9759615384615384,0.002019256184004737,0.0,0.0,0.08997252747252749,0.004298509188167404
0,4,always_smooth,0.9759615384615384,0.002019256184004737,0.0,0.0,0.0,0.004298509188167404
0,4,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
0,4,random,0.8722527472527473,0.0248944523971383,0.0,0.13698630136986312,0.020604395604395642,0.06929991572335666
0,4,regime_aware,0.9773351648351648,0.0019212440770640586,0.0,0.0,0.07760989010989006,0.00400487620934924
0,8,always_capacity_aware,0.5274725274725275,0.07701567537075728,0.0,0.36363636363636354,0.0,0.20029144489156073
0,8,always_increase_B,0.9821428571428571,0.0016369638904528403,0.0,0.0,0.055631868131868156,0.0031532055268267433
0,8,always_increase_C,0.9629120879120879,0.0034370582377306748,0.0,0.0,0.08997252747252749,0.008546080772992437
0,8,always_smooth,0.9629120879120879,0.0034370582377306748,0.0,0.0,0.0,0.008546080772992437
0,8,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
0,8,random,0.8440934065934066,0.027508957652970012,0.0,0.1713157894736843,0.02197802197802201,0.07296440148884499
0,8,regime_aware,0.9663461538461539,0.0031780237258766143,0.0,0.0,0.0755494505494505,0.007770043223075745
0,16,always_capacity_aware,0.5260989010989011,0.0802984094386476,0.0,0.368421052631579,0.0,0.2101261379015367
0,16,always_increase_B,0.9842032967032966,0.001624156938403728,0.0,0.0,0.03434065934065933,0.003114837374185781
0,16,always_increase_C,0.9436813186813187,0.006719792305621011,0.0,0.024047619047618873,0.08997252747252749,0.018380773782968422
0,16,always_smooth,0.9436813186813187,0.006719792305621011,0.0,0.024047619047618873,0.0,0.018380773782968422
0,16,oracle_resource_aware,1.0,0.0,0.0,0.0,0.0,0.0
0,16,random,0.8537087912087912,0.025781228662288595,0.0,0.1499999999999999,0.02953296703296704,0.07212171169086999
0,16,regime_aware,0.9560439560439561,0.0048763727567314305,0.0,0.0,0.0666208791208791,0.012858101224978241
1,0,always_capacity_aware,0.5267857142857143,0.08744252293317083,0.0,0.375,0.0,0.231529078741096
