program,kernel,regime,rate,policy,makespan,ancillas,data_qubits,space_time_volume,volume_ratio_vs_t_depth,time_ratio_vs_t_depth
qft_q5_t32,qft,rate0.1,0.1,min_t_depth,6402,160,10,1088340,1.0,1.0
qft_q5_t32,qft,rate0.1,0.1,min_t_count,3202,0,10,32020,0.0294,0.5002
qft_q5_t32,qft,rate0.1,0.1,share_aware_greedy,3202,0,10,32020,0.0294,0.5002
qft_q5_t32,qft,rate0.1,0.1,resource_aware,3202,0,10,32020,0.0294,0.5002
qft_q5_t32,qft,rate0.2,0.2,min_t_depth,3207,160,10,545190,1.0,1.0
qft_q5_t32,qft,rate0.2,0.2,min_t_count,1607,0,10,16070,0.0295,0.5011
qft_q5_t32,qft,rate0.2,0.2,share_aware_greedy,1607,0,10,16070,0.0295,0.5011
qft_q5_t32,qft,rate0.2,0.2,resource_aware,1607,0,10,16070,0.0295,0.5011
qft_q5_t32,qft,rate0.5,0.5,min_t_depth,1290,160,10,219300,1.0,1.0
qft_q5_t32,qft,rate0.5,0.5,min_t_count,654,0,10,6540,0.0298,0.507
qft_q5_t32,qft,rate0.5,0.5,share_aware_greedy,654,0,10,6540,0.0298,0.507
qft_q5_t32,qft,rate0.5,0.5,resource_aware,654,0,10,6540,0.0298,0.507
qft_q5_t32,qft,rate1,1.0,min_t_depth,651,160,10,110670,1.0,1.0
qft_q5_t32,qft,rate1,1.0,min_t_count,371,0,10,3710,0.0335,0.5699
qft_q5_t32,qft,rate1,1.0,share_aware_greedy,347,2,10,4164,0.0376,0.533
qft_q5_t32,qft,rate1,1.0,resource_aware,347,2,10,4164,0.0376,0.533
qft_q5_t32,qft,rate2,2.0,min_t_depth,331,160,10,56270,1.0,1.0
qft_q5_t32,qft,rate2,2.0,min_t_count,279,0,10,2790,0.0496,0.8429
qft_q5_t32,qft,rate2,2.0,share_aware_greedy,207,14,10,4968,0.0883,0.6254
qft_q5_t32,qft,rate2,2.0,resource_aware,209,16,10,5434,0.0966,0.6314
qft_q5_t32,qft,rate4,4.0,min_t_depth,171,160,10,29070,1.0,1.0
qft_q5_t32,qft,rate4,4.0,min_t_count,278,0,10,2780,0.0956,1.6257
qft_q5_t32,qft,rate4,4.0,share_aware_greedy,133,36,10,6118,0.2105,0.7778
qft_q5_t32,qft,rate4,4.0,resource_aware,137,52,10,8494,0.2922,0.8012
qft_q5_t32,qft,rate8,8.0,min_t_depth,99,160,10,16830,1.0,1.0
qft_q5_t32,qft,rate8,8.0,min_t_count,278,0,10,2780,0.1652,2.8081
