program,kernel,regime,rate,model,description,makespan,reference,regret,reference_exhaustive,prediction_error_mean,prediction_error_max,selected_best_candidate
mixed_w32_c16_l4,mixed,rate0.1,0.1,deps_plus_count,dependencies + T-count,8642,8642,1.0,0,0.0006,0.0009,1
mixed_w32_c16_l4,mixed,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,8642,8642,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,8642,8642,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,8642,8642,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.1,0.1,t_count_only,T-count and average supply rate,8642,8642,1.0,0,0.0006,0.0009,1
mixed_w32_c16_l4,mixed,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),7367,4327,1.7026,0,0.9736,0.9879,0
mixed_w32_c16_l4,mixed,rate0.2,0.2,deps_plus_count,dependencies + T-count,4327,4327,1.0,0,0.0005,0.0007,1
mixed_w32_c16_l4,mixed,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,4327,4327,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,4327,4327,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,4327,4327,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.2,0.2,t_count_only,T-count and average supply rate,4327,4327,1.0,0,0.0005,0.0007,1
mixed_w32_c16_l4,mixed,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),2954,1738,1.6997,0,0.9341,0.9699,0
mixed_w32_c16_l4,mixed,rate0.5,0.5,deps_plus_count,dependencies + T-count,1738,1738,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,1738,1738,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,1738,1738,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,1738,1738,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate0.5,0.5,t_count_only,T-count and average supply rate,1738,1738,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate1,1.0,deps_only,dependencies only (what T-depth sees),1483,875,1.6949,0,0.8689,0.94,0
mixed_w32_c16_l4,mixed,rate1,1.0,deps_plus_count,dependencies + T-count,875,875,1.0,0,0.0008,0.0011,1
mixed_w32_c16_l4,mixed,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,875,875,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate1,1.0,sccp,dependencies + arrival timing + buffer,875,875,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,875,875,1.0,0,0.0,0.0,1
mixed_w32_c16_l4,mixed,rate1,1.0,t_count_only,T-count and average supply rate,875,875,1.0,0,0.0008,0.0011,1
mixed_w32_c16_l4,mixed,rate2,2.0,deps_only,dependencies only (what T-depth sees),747,448,1.6674,0,0.7407,0.8809,0
mixed_w32_c16_l4,mixed,rate2,2.0,deps_plus_count,dependencies + T-count,448,448,1.0,0,0.0031,0.0134,1
mixed_w32_c16_l4,mixed,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,448,448,1.0,0,0.0004,0.0045,1
mixed_w32_c16_l4,mixed,rate2,2.0,sccp,dependencies + arrival timing + buffer,448,448,1.0,0,0.0004,0.0045,1
mixed_w32_c16_l4,mixed,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,448,448,1.0,0,0.0004,0.0045,1
mixed_w32_c16_l4,mixed,rate2,2.0,t_count_only,T-count and average supply rate,448,448,1.0,0,0.0031,0.0134,1
mixed_w32_c16_l4,mixed,rate4,4.0,deps_only,dependencies only (what T-depth sees),380,272,1.3971,0,0.538,0.7658,0
mixed_w32_c16_l4,mixed,rate4,4.0,deps_plus_count,dependencies + T-count,272,272,1.0,0,0.0589,0.1596,1
mixed_w32_c16_l4,mixed,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,273,272,1.0037,0,0.0282,0.1564,1
mixed_w32_c16_l4,mixed,rate4,4.0,sccp,dependencies + arrival timing + buffer,273,272,1.0037,0,0.0189,0.0547,1
mixed_w32_c16_l4,mixed,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,272,272,1.0,0,0.0183,0.0515,1
mixed_w32_c16_l4,mixed,rate4,4.0,t_count_only,T-count and average supply rate,296,272,1.0882,0,0.0693,0.278,0
mixed_w32_c16_l4,mixed,rate8,8.0,deps_only,dependencies only (what T-depth sees),208,202,1.0297,0,0.3291,0.5721,0
mixed_w32_c16_l4,mixed,rate8,8.0,deps_plus_count,dependencies + T-count,242,202,1.198,0,0.168,0.3053,0
mixed_w32_c16_l4,mixed,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,204,202,1.0099,0,0.0408,0.1423,0
mixed_w32_c16_l4,mixed,rate8,8.0,sccp,dependencies + arrival timing + buffer,204,202,1.0099,0,0.0379,0.1071,0
mixed_w32_c16_l4,mixed,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,204,202,1.0099,0,0.0378,0.1071,0
mixed_w32_c16_l4,mixed,rate8,8.0,t_count_only,T-count and average supply rate,273,202,1.3515,0,0.2532,0.6218,0
modexp_w16_s2,modexp,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),4643,2403,1.9322,1,0.9449,0.9681,0
modexp_w16_s2,modexp,rate0.1,0.1,deps_plus_count,dependencies + T-count,2403,2403,1.0,1,0.0018,0.0029,1
modexp_w16_s2,modexp,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,2403,2403,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,2403,2403,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,2403,2403,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.1,0.1,t_count_only,T-count and average supply rate,2403,2403,1.0,1,0.0018,0.0029,1
modexp_w16_s2,modexp,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),2328,1208,1.9272,1,0.8903,0.9364,0
modexp_w16_s2,modexp,rate0.2,0.2,deps_plus_count,dependencies + T-count,1208,1208,1.0,1,0.001,0.0017,1
modexp_w16_s2,modexp,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,1208,1208,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,1208,1208,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,1208,1208,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.2,0.2,t_count_only,T-count and average supply rate,1208,1208,1.0,1,0.001,0.0017,1
modexp_w16_s2,modexp,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),939,491,1.9124,1,0.729,0.8424,0
modexp_w16_s2,modexp,rate0.5,0.5,deps_plus_count,dependencies + T-count,491,491,1.0,1,0.0013,0.002,1
modexp_w16_s2,modexp,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,491,491,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,491,491,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,491,491,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate0.5,0.5,t_count_only,T-count and average supply rate,491,491,1.0,1,0.0013,0.002,1
modexp_w16_s2,modexp,rate1,1.0,deps_only,dependencies only (what T-depth sees),476,323,1.4737,1,0.5237,0.6891,0
modexp_w16_s2,modexp,rate1,1.0,deps_plus_count,dependencies + T-count,335,323,1.0372,1,0.0077,0.0217,1
modexp_w16_s2,modexp,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,335,323,1.0372,1,0.0,0.0,1
modexp_w16_s2,modexp,rate1,1.0,sccp,dependencies + arrival timing + buffer,335,323,1.0372,1,0.0,0.0,1
modexp_w16_s2,modexp,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,335,323,1.0372,1,0.0,0.0,1
modexp_w16_s2,modexp,rate1,1.0,t_count_only,T-count and average supply rate,323,323,1.0,1,0.0486,0.226,1
modexp_w16_s2,modexp,rate2,2.0,deps_only,dependencies only (what T-depth sees),244,244,1.0,1,0.2562,0.3934,1
modexp_w16_s2,modexp,rate2,2.0,deps_plus_count,dependencies + T-count,250,244,1.0246,1,0.0103,0.0186,1
modexp_w16_s2,modexp,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,250,244,1.0246,1,0.0,0.0,1
modexp_w16_s2,modexp,rate2,2.0,sccp,dependencies + arrival timing + buffer,250,244,1.0246,1,0.0,0.0,1
modexp_w16_s2,modexp,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,250,244,1.0246,1,0.0,0.0,1
modexp_w16_s2,modexp,rate2,2.0,t_count_only,T-count and average supply rate,322,244,1.3197,1,0.1258,0.5963,0
modexp_w16_s2,modexp,rate4,4.0,deps_only,dependencies only (what T-depth sees),158,158,1.0,1,0.0569,0.1186,1
modexp_w16_s2,modexp,rate4,4.0,deps_plus_count,dependencies + T-count,158,158,1.0,1,0.0569,0.1186,1
modexp_w16_s2,modexp,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,158,158,1.0,1,0.0151,0.0565,1
modexp_w16_s2,modexp,rate4,4.0,sccp,dependencies + arrival timing + buffer,158,158,1.0,1,0.0151,0.0565,1
modexp_w16_s2,modexp,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,158,158,1.0,1,0.0151,0.0565,1
modexp_w16_s2,modexp,rate4,4.0,t_count_only,T-count and average supply rate,322,158,2.038,1,0.3893,0.7826,0
modexp_w16_s2,modexp,rate8,8.0,deps_only,dependencies only (what T-depth sees),154,154,1.0,1,0.0329,0.0429,1
modexp_w16_s2,modexp,rate8,8.0,deps_plus_count,dependencies + T-count,154,154,1.0,1,0.0329,0.0429,1
modexp_w16_s2,modexp,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,154,154,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate8,8.0,sccp,dependencies + arrival timing + buffer,154,154,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,154,154,1.0,1,0.0,0.0,1
modexp_w16_s2,modexp,rate8,8.0,t_count_only,T-count and average supply rate,322,154,2.0909,1,0.6587,0.8758,0
modexp_w32_s2,modexp,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),9763,4963,1.9672,1,0.9582,0.9799,0
modexp_w32_s2,modexp,rate0.1,0.1,deps_plus_count,dependencies + T-count,4963,4963,1.0,1,0.0008,0.0014,1
modexp_w32_s2,modexp,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,4963,4963,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,4963,4963,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,4963,4963,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.1,0.1,t_count_only,T-count and average supply rate,4963,4963,1.0,1,0.0008,0.0014,1
modexp_w32_s2,modexp,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),4888,2488,1.9646,1,0.9165,0.9599,0
modexp_w32_s2,modexp,rate0.2,0.2,deps_plus_count,dependencies + T-count,2488,2488,1.0,1,0.0005,0.0008,1
modexp_w32_s2,modexp,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,2488,2488,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,2488,2488,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,2488,2488,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.2,0.2,t_count_only,T-count and average supply rate,2488,2488,1.0,1,0.0005,0.0008,1
modexp_w32_s2,modexp,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),1963,1003,1.9571,1,0.7924,0.9002,0
modexp_w32_s2,modexp,rate0.5,0.5,deps_plus_count,dependencies + T-count,1003,1003,1.0,1,0.0006,0.001,1
modexp_w32_s2,modexp,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,1003,1003,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,1003,1003,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,1003,1003,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate0.5,0.5,t_count_only,T-count and average supply rate,1003,1003,1.0,1,0.0006,0.001,1
modexp_w32_s2,modexp,rate1,1.0,deps_only,dependencies only (what T-depth sees),988,643,1.5365,1,0.6327,0.8016,0
modexp_w32_s2,modexp,rate1,1.0,deps_plus_count,dependencies + T-count,703,643,1.0933,1,0.0035,0.0109,1
modexp_w32_s2,modexp,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,703,643,1.0933,1,0.0,0.0,1
modexp_w32_s2,modexp,rate1,1.0,sccp,dependencies + arrival timing + buffer,643,643,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,643,643,1.0,1,0.0,0.0,1
modexp_w32_s2,modexp,rate1,1.0,t_count_only,T-count and average supply rate,643,643,1.0,1,0.0372,0.2131,1
modexp_w32_s2,modexp,rate2,2.0,deps_only,dependencies only (what T-depth sees),500,500,1.0,1,0.4349,0.608,1
modexp_w32_s2,modexp,rate2,2.0,deps_plus_count,dependencies + T-count,559,500,1.118,1,0.0049,0.0093,1
modexp_w32_s2,modexp,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,559,500,1.118,1,0.0,0.0,1
modexp_w32_s2,modexp,rate2,2.0,sccp,dependencies + arrival timing + buffer,528,500,1.056,1,0.0,0.0,1
modexp_w32_s2,modexp,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,528,500,1.056,1,0.0,0.0,1
modexp_w32_s2,modexp,rate2,2.0,t_count_only,T-count and average supply rate,642,500,1.284,1,0.103,0.5981,0
modexp_w32_s2,modexp,rate4,4.0,deps_only,dependencies only (what T-depth sees),256,256,1.0,1,0.1432,0.2468,1
modexp_w32_s2,modexp,rate4,4.0,deps_plus_count,dependencies + T-count,256,256,1.0,1,0.0456,0.1753,0
modexp_w32_s2,modexp,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,256,256,1.0,1,0.0346,0.1591,0
modexp_w32_s2,modexp,rate4,4.0,sccp,dependencies + arrival timing + buffer,256,256,1.0,1,0.0346,0.1591,0
modexp_w32_s2,modexp,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,256,256,1.0,1,0.0346,0.1591,0
modexp_w32_s2,modexp,rate4,4.0,t_count_only,T-count and average supply rate,642,256,2.5078,1,0.2174,0.7913,0
modexp_w32_s2,modexp,rate8,8.0,deps_only,dependencies only (what T-depth sees),206,206,1.0,1,0.05,0.1053,1
modexp_w32_s2,modexp,rate8,8.0,deps_plus_count,dependencies + T-count,206,206,1.0,1,0.05,0.1053,1
modexp_w32_s2,modexp,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,206,206,1.0,1,0.021,0.057,1
modexp_w32_s2,modexp,rate8,8.0,sccp,dependencies + arrival timing + buffer,206,206,1.0,1,0.021,0.057,1
modexp_w32_s2,modexp,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,206,206,1.0,1,0.021,0.057,1
modexp_w32_s2,modexp,rate8,8.0,t_count_only,T-count and average supply rate,642,206,3.1165,1,0.5345,0.8879,0
modexp_w64_s2,modexp,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),20003,10083,1.9838,1,0.9669,0.9878,0
modexp_w64_s2,modexp,rate0.1,0.1,deps_plus_count,dependencies + T-count,10083,10083,1.0,1,0.0004,0.0007,1
modexp_w64_s2,modexp,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,10083,10083,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,10083,10083,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,10083,10083,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.1,0.1,t_count_only,T-count and average supply rate,10083,10083,1.0,1,0.0004,0.0007,1
modexp_w64_s2,modexp,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),10008,5048,1.9826,1,0.9339,0.9756,0
modexp_w64_s2,modexp,rate0.2,0.2,deps_plus_count,dependencies + T-count,5048,5048,1.0,1,0.0002,0.0004,1
modexp_w64_s2,modexp,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,5048,5048,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,5048,5048,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,5048,5048,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.2,0.2,t_count_only,T-count and average supply rate,5048,5048,1.0,1,0.0002,0.0004,1
modexp_w64_s2,modexp,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),4011,2027,1.9788,1,0.8353,0.9392,0
modexp_w64_s2,modexp,rate0.5,0.5,deps_plus_count,dependencies + T-count,2027,2027,1.0,1,0.0003,0.0005,1
modexp_w64_s2,modexp,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,2027,2027,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,2027,2027,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,2027,2027,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate0.5,0.5,t_count_only,T-count and average supply rate,2027,2027,1.0,1,0.0003,0.0005,1
modexp_w64_s2,modexp,rate1,1.0,deps_only,dependencies only (what T-depth sees),2012,1283,1.5682,1,0.7088,0.8787,0
modexp_w64_s2,modexp,rate1,1.0,deps_plus_count,dependencies + T-count,1439,1283,1.1216,1,0.0016,0.0055,1
modexp_w64_s2,modexp,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,1439,1283,1.1216,1,0.0,0.0,1
modexp_w64_s2,modexp,rate1,1.0,sccp,dependencies + arrival timing + buffer,1283,1283,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,1283,1283,1.0,1,0.0,0.0,1
modexp_w64_s2,modexp,rate1,1.0,t_count_only,T-count and average supply rate,1283,1283,1.0,1,0.0304,0.2065,1
modexp_w64_s2,modexp,rate2,2.0,deps_only,dependencies only (what T-depth sees),1012,1012,1.0,1,0.5614,0.7589,1
modexp_w64_s2,modexp,rate2,2.0,deps_plus_count,dependencies + T-count,1135,1012,1.1215,1,0.0024,0.0047,1
modexp_w64_s2,modexp,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,1135,1012,1.1215,1,0.0,0.0,1
modexp_w64_s2,modexp,rate2,2.0,sccp,dependencies + arrival timing + buffer,1072,1012,1.0593,1,0.0,0.0,1
modexp_w64_s2,modexp,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,1072,1012,1.0593,1,0.0,0.0,1
modexp_w64_s2,modexp,rate2,2.0,t_count_only,T-count and average supply rate,1282,1012,1.2668,1,0.0873,0.5991,0
modexp_w64_s2,modexp,rate4,4.0,deps_only,dependencies only (what T-depth sees),512,512,1.0,1,0.3219,0.5234,1
modexp_w64_s2,modexp,rate4,4.0,deps_plus_count,dependencies + T-count,699,512,1.3652,1,0.0181,0.0957,0
modexp_w64_s2,modexp,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,699,512,1.3652,1,0.0134,0.0922,0
modexp_w64_s2,modexp,rate4,4.0,sccp,dependencies + arrival timing + buffer,512,512,1.0,1,0.0134,0.0922,0
modexp_w64_s2,modexp,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,512,512,1.0,1,0.0134,0.0922,0
modexp_w64_s2,modexp,rate4,4.0,t_count_only,T-count and average supply rate,1282,512,2.5039,1,0.1633,0.7956,0
modexp_w64_s2,modexp,rate8,8.0,deps_only,dependencies only (what T-depth sees),292,288,1.0139,1,0.107,0.2708,0
modexp_w64_s2,modexp,rate8,8.0,deps_plus_count,dependencies + T-count,292,288,1.0139,1,0.0957,0.2708,0
modexp_w64_s2,modexp,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,291,288,1.0104,1,0.0722,0.2188,0
modexp_w64_s2,modexp,rate8,8.0,sccp,dependencies + arrival timing + buffer,291,288,1.0104,1,0.0722,0.2188,0
modexp_w64_s2,modexp,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,291,288,1.0104,1,0.0722,0.2188,0
modexp_w64_s2,modexp,rate8,8.0,t_count_only,T-count and average supply rate,1282,288,4.4514,1,0.3704,0.8939,0
oracle_bank_c16_l4,oracle_bank,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),2403,2403,1.0,1,0.9777,0.9883,1
oracle_bank_c16_l4,oracle_bank,rate0.1,0.1,deps_plus_count,dependencies + T-count,2403,2403,1.0,1,0.0029,0.0029,1
oracle_bank_c16_l4,oracle_bank,rate0.1,0.1,deps_plus_throughput,dependencies + arrival timing,2403,2403,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.1,0.1,sccp,dependencies + arrival timing + buffer,2403,2403,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.1,0.1,sccp_plus,full model with the fluid buffer-loss term,2403,2403,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.1,0.1,t_count_only,T-count and average supply rate,2403,2403,1.0,1,0.0029,0.0029,1
oracle_bank_c16_l4,oracle_bank,rate0.2,0.2,deps_only,dependencies only (what T-depth sees),1208,1208,1.0,1,0.9557,0.9768,1
oracle_bank_c16_l4,oracle_bank,rate0.2,0.2,deps_plus_count,dependencies + T-count,1208,1208,1.0,1,0.0017,0.0017,1
oracle_bank_c16_l4,oracle_bank,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,1208,1208,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,1208,1208,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,1208,1208,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.2,0.2,t_count_only,T-count and average supply rate,1208,1208,1.0,1,0.0017,0.0017,1
oracle_bank_c16_l4,oracle_bank,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),491,491,1.0,1,0.891,0.943,1
oracle_bank_c16_l4,oracle_bank,rate0.5,0.5,deps_plus_count,dependencies + T-count,491,491,1.0,1,0.002,0.002,1
oracle_bank_c16_l4,oracle_bank,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,491,491,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,491,491,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,491,491,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate0.5,0.5,t_count_only,T-count and average supply rate,491,491,1.0,1,0.002,0.002,1
oracle_bank_c16_l4,oracle_bank,rate1,1.0,deps_only,dependencies only (what T-depth sees),252,252,1.0,1,0.7877,0.8889,1
oracle_bank_c16_l4,oracle_bank,rate1,1.0,deps_plus_count,dependencies + T-count,252,252,1.0,1,0.0079,0.0079,1
oracle_bank_c16_l4,oracle_bank,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,252,252,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate1,1.0,sccp,dependencies + arrival timing + buffer,252,252,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,252,252,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate1,1.0,t_count_only,T-count and average supply rate,252,252,1.0,1,0.0079,0.0079,1
oracle_bank_c16_l4,oracle_bank,rate2,2.0,deps_only,dependencies only (what T-depth sees),132,132,1.0,1,0.5947,0.7879,1
oracle_bank_c16_l4,oracle_bank,rate2,2.0,deps_plus_count,dependencies + T-count,132,132,1.0,1,0.0152,0.0152,1
oracle_bank_c16_l4,oracle_bank,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,132,132,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate2,2.0,sccp,dependencies + arrival timing + buffer,132,132,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,132,132,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate2,2.0,t_count_only,T-count and average supply rate,132,132,1.0,1,0.0152,0.0152,1
oracle_bank_c16_l4,oracle_bank,rate4,4.0,deps_only,dependencies only (what T-depth sees),74,74,1.0,1,0.3515,0.6216,1
oracle_bank_c16_l4,oracle_bank,rate4,4.0,deps_plus_count,dependencies + T-count,74,74,1.0,1,0.0677,0.0814,1
oracle_bank_c16_l4,oracle_bank,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,74,74,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate4,4.0,sccp,dependencies + arrival timing + buffer,74,74,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,74,74,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate4,4.0,t_count_only,T-count and average supply rate,74,74,1.0,1,0.1201,0.186,0
oracle_bank_c16_l4,oracle_bank,rate8,8.0,deps_only,dependencies only (what T-depth sees),48,48,1.0,1,0.2436,0.4167,1
oracle_bank_c16_l4,oracle_bank,rate8,8.0,deps_plus_count,dependencies + T-count,48,48,1.0,1,0.1186,0.1667,1
oracle_bank_c16_l4,oracle_bank,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,48,48,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate8,8.0,sccp,dependencies + arrival timing + buffer,48,48,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate8,8.0,sccp_plus,full model with the fluid buffer-loss term,48,48,1.0,1,0.0,0.0,1
oracle_bank_c16_l4,oracle_bank,rate8,8.0,t_count_only,T-count and average supply rate,48,48,1.0,1,0.348,0.5294,0
oracle_bank_c32_l4,oracle_bank,rate0.1,0.1,deps_only,dependencies only (what T-depth sees),4963,4963,1.0,1,0.9806,0.9931,1
oracle_bank_c32_l4,oracle_bank,rate0.1,0.1,deps_plus_count,dependencies + T-count,4963,4963,1.0,1,0.0014,0.0014,1
