program,kernel,regime,rate,model,description,makespan,reference,regret,reference_exhaustive,prediction_error_mean,prediction_error_max,selected_best_candidate
grover_c32_i2,grover,rate0.2,0.2,deps_plus_throughput,dependencies + arrival timing,1567,1567,1.0,1,0.0,0.0,1
grover_c32_i2,grover,rate0.2,0.2,sccp,dependencies + arrival timing + buffer,1567,1567,1.0,1,0.0,0.0,1
grover_c32_i2,grover,rate0.2,0.2,sccp_plus,full model with the fluid buffer-loss term,1567,1567,1.0,1,0.0,0.0,1
grover_c32_i2,grover,rate0.2,0.2,t_count_only,T-count and average supply rate,1567,1567,1.0,1,0.0017,0.0019,1
grover_c32_i2,grover,rate0.5,0.5,deps_only,dependencies only (what T-depth sees),762,639,1.1925,1,0.6216,0.8793,0
grover_c32_i2,grover,rate0.5,0.5,deps_plus_count,dependencies + T-count,639,639,1.0,1,0.0016,0.0078,1
grover_c32_i2,grover,rate0.5,0.5,deps_plus_throughput,dependencies + arrival timing,639,639,1.0,1,0.0011,0.0078,1
grover_c32_i2,grover,rate0.5,0.5,sccp,dependencies + arrival timing + buffer,639,639,1.0,1,0.0011,0.0078,1
grover_c32_i2,grover,rate0.5,0.5,sccp_plus,full model with the fluid buffer-loss term,639,639,1.0,1,0.0011,0.0078,1
grover_c32_i2,grover,rate0.5,0.5,t_count_only,T-count and average supply rate,639,639,1.0,1,0.0016,0.0078,1
grover_c32_i2,grover,rate1,1.0,deps_only,dependencies only (what T-depth sees),387,346,1.1185,1,0.3417,0.7623,0
grover_c32_i2,grover,rate1,1.0,deps_plus_count,dependencies + T-count,376,346,1.0867,1,0.0302,0.1436,0
grover_c32_i2,grover,rate1,1.0,deps_plus_throughput,dependencies + arrival timing,380,346,1.0983,1,0.0114,0.0426,1
grover_c32_i2,grover,rate1,1.0,sccp,dependencies + arrival timing + buffer,352,346,1.0173,1,0.0114,0.0426,1
grover_c32_i2,grover,rate1,1.0,sccp_plus,full model with the fluid buffer-loss term,352,346,1.0173,1,0.0114,0.0426,1
grover_c32_i2,grover,rate1,1.0,t_count_only,T-count and average supply rate,376,346,1.0867,1,0.0805,0.3015,0
grover_c32_i2,grover,rate2,2.0,deps_only,dependencies only (what T-depth sees),199,189,1.0529,1,0.2068,0.5377,0
grover_c32_i2,grover,rate2,2.0,deps_plus_count,dependencies + T-count,236,189,1.2487,1,0.071,0.2609,0
grover_c32_i2,grover,rate2,2.0,deps_plus_throughput,dependencies + arrival timing,205,189,1.0847,1,0.0264,0.1053,1
grover_c32_i2,grover,rate2,2.0,sccp,dependencies + arrival timing + buffer,205,189,1.0847,1,0.0264,0.1053,1
grover_c32_i2,grover,rate2,2.0,sccp_plus,full model with the fluid buffer-loss term,205,189,1.0847,1,0.0259,0.1053,1
grover_c32_i2,grover,rate2,2.0,t_count_only,T-count and average supply rate,276,189,1.4603,1,0.3389,0.6391,0
grover_c32_i2,grover,rate4,4.0,deps_only,dependencies only (what T-depth sees),125,125,1.0,1,0.1022,0.264,1
grover_c32_i2,grover,rate4,4.0,deps_plus_count,dependencies + T-count,128,125,1.024,1,0.0926,0.2121,0
grover_c32_i2,grover,rate4,4.0,deps_plus_throughput,dependencies + arrival timing,125,125,1.0,1,0.0299,0.096,1
grover_c32_i2,grover,rate4,4.0,sccp,dependencies + arrival timing + buffer,125,125,1.0,1,0.0299,0.096,1
grover_c32_i2,grover,rate4,4.0,sccp_plus,full model with the fluid buffer-loss term,125,125,1.0,1,0.0299,0.096,1
grover_c32_i2,grover,rate4,4.0,t_count_only,T-count and average supply rate,232,125,1.856,1,0.5659,0.8087,0
grover_c32_i2,grover,rate8,8.0,deps_only,dependencies only (what T-depth sees),104,104,1.0,1,0.0511,0.1154,1
grover_c32_i2,grover,rate8,8.0,deps_plus_count,dependencies + T-count,104,104,1.0,1,0.0511,0.1154,1
grover_c32_i2,grover,rate8,8.0,deps_plus_throughput,dependencies + arrival timing,104,104,1.0,1,0.0072,0.0192,1
