program,kernel,concurrency,regime,rate,clifford_weight,num_candidates,t_depth_choice,best_choice,t_depth_makespan,t_count_makespan,best_makespan,regret_t_depth,regret_t_count,selection_reversal,pairs_compared,pairs_reversed,pair_reversal_rate,min_t_depth,best_candidate_t_depth,t_depth_ratio_of_best
reduction_tree_mult_w16_r4,multiplier,2,rate8,8.0,1,5,blocked4x3,blocked4x3,81,164,81,1.0,2.0247,0,9,1,0.1111,24,24,1.0
reduction_tree_mult_w16_r4,multiplier,2,unconstrained,180.0,1,5,blocked4x3,blocked4x3,74,158,74,1.0,2.1351,0,9,1,0.1111,24,24,1.0
reduction_tree_mult_w16_r4,multiplier,2,rate0.1,0.1,0,5,blocked4x3,ripplex3,3480,1800,1800,1.9333,1.0,1,9,4,0.4444,24,60,2.5
reduction_tree_mult_w16_r4,multiplier,2,rate0.2,0.2,0,5,blocked4x3,ripplex3,1745,905,905,1.9282,1.0,1,9,4,0.4444,24,60,2.5
reduction_tree_mult_w16_r4,multiplier,2,rate0.5,0.5,0,5,blocked4x3,ripplex3,704,368,368,1.913,1.0,1,9,4,0.4444,24,60,2.5
reduction_tree_mult_w16_r4,multiplier,2,rate1,1.0,0,5,blocked4x3,ripplex3,357,189,189,1.8889,1.0,1,9,4,0.4444,24,60,2.5
reduction_tree_mult_w16_r4,multiplier,2,rate2,2.0,0,5,blocked4x3,ripplex3,183,99,99,1.8485,1.0,1,9,4,0.4444,24,60,2.5
reduction_tree_mult_w16_r4,multiplier,2,rate4,4.0,0,5,blocked4x3,ripplex3,96,69,69,1.3913,1.0,1,9,4,0.4444,24,60,2.5
reduction_tree_mult_w16_r4,multiplier,2,rate8,8.0,0,5,blocked4x3,blocked4x3,53,69,53,1.0,1.3019,0,9,0,0.0,24,24,1.0
reduction_tree_mult_w16_r4,multiplier,2,unconstrained,180.0,0,5,blocked4x3,blocked4x3,24,60,24,1.0,2.5,0,9,0,0.0,24,24,1.0
reduction_tree_mult_w16_r8,multiplier,4,rate0.1,0.1,1,5,blocked4x7,ripplex7,8123,4203,4203,1.9327,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate0.2,0.2,1,5,blocked4x7,ripplex7,4068,2108,2108,1.9298,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate0.5,0.5,1,5,blocked4x7,ripplex7,1635,851,851,1.9213,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate1,1.0,1,5,blocked4x7,ripplex7,824,451,451,1.8271,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate2,2.0,1,5,blocked4x7,ripplex7,418,290,290,1.4414,1.0,1,9,4,0.4444,36,90,2.5
reduction_tree_mult_w16_r8,multiplier,4,rate4,4.0,1,5,blocked4x7,blocked4x7,224,244,224,1.0,1.0893,0,9,1,0.1111,36,36,1.0
reduction_tree_mult_w16_r8,multiplier,4,rate8,8.0,1,5,blocked4x7,blocked4x7,145,243,145,1.0,1.6759,0,9,1,0.1111,36,36,1.0
