program,kernel,concurrency,regime,rate,clifford_weight,num_candidates,t_depth_choice,best_choice,t_depth_makespan,t_count_makespan,best_makespan,regret_t_depth,regret_t_count,selection_reversal,pairs_compared,pairs_reversed,pair_reversal_rate,min_t_depth,best_candidate_t_depth,t_depth_ratio_of_best
reduction_tree_mult_w64_r4,multiplier,2,rate0.5,0.5,1,7,blocked4x3,ripplex3,3011,1523,1523,1.977,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate1,1.0,1,7,blocked4x3,ripplex3,1512,835,835,1.8108,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate2,2.0,1,7,blocked4x3,ripplex3,762,645,645,1.1814,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate4,4.0,1,7,blocked4x3,blocked8x3,387,644,387,1.0,1.6641,0,20,2,0.1,40,48,1.2
reduction_tree_mult_w64_r4,multiplier,2,rate8,8.0,1,7,blocked4x3,blocked8x3,208,644,207,1.0048,3.1111,1,20,4,0.2,40,48,1.2
reduction_tree_mult_w64_r4,multiplier,2,unconstrained,756.0,1,7,blocked4x3,blocked4x3,122,638,122,1.0,5.2295,0,20,1,0.05,40,40,1.0
reduction_tree_mult_w64_r4,multiplier,2,rate0.1,0.1,0,7,blocked4x3,ripplex3,15000,7560,7560,1.9841,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate0.2,0.2,0,7,blocked4x3,ripplex3,7505,3785,3785,1.9828,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate0.5,0.5,0,7,blocked4x3,ripplex3,3008,1520,1520,1.9789,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate1,1.0,0,7,blocked4x3,ripplex3,1509,765,765,1.9725,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate2,2.0,0,7,blocked4x3,ripplex3,759,387,387,1.9612,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate4,4.0,0,7,blocked4x3,ripplex3,384,261,261,1.4713,1.0,1,20,6,0.3,40,252,6.3
reduction_tree_mult_w64_r4,multiplier,2,rate8,8.0,0,7,blocked4x3,blocked16x3,197,261,197,1.0,1.3249,0,20,0,0.0,40,72,1.8
reduction_tree_mult_w64_r4,multiplier,2,unconstrained,756.0,0,7,blocked4x3,blocked4x3,40,252,40,1.0,6.3,0,20,0,0.0,40,40,1.0
reduction_tree_mult_w64_r8,multiplier,4,rate0.1,0.1,1,7,blocked4x7,ripplex7,35003,17643,17643,1.984,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate0.2,0.2,1,7,blocked4x7,ripplex7,17508,8828,8828,1.9832,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate0.5,0.5,1,7,blocked4x7,ripplex7,7011,3539,3539,1.9811,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate1,1.0,1,7,blocked4x7,ripplex7,3512,1843,1843,1.9056,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate2,2.0,1,7,blocked4x7,ripplex7,1762,1154,1154,1.5269,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate4,4.0,1,7,blocked4x7,blocked8x7,887,964,887,1.0,1.0868,0,20,2,0.1,60,72,1.2
reduction_tree_mult_w64_r8,multiplier,4,rate8,8.0,1,7,blocked4x7,blocked8x7,461,963,460,1.0022,2.0935,1,20,4,0.2,60,72,1.2
reduction_tree_mult_w64_r8,multiplier,4,unconstrained,1764.0,1,7,blocked4x7,blocked4x7,183,957,183,1.0,5.2295,0,20,1,0.05,60,60,1.0
reduction_tree_mult_w64_r8,multiplier,4,rate0.1,0.1,0,7,blocked4x7,ripplex7,35000,17640,17640,1.9841,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate0.2,0.2,0,7,blocked4x7,ripplex7,17505,8825,8825,1.9836,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate0.5,0.5,0,7,blocked4x7,ripplex7,7008,3536,3536,1.9819,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate1,1.0,0,7,blocked4x7,ripplex7,3509,1773,1773,1.9791,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate2,2.0,0,7,blocked4x7,ripplex7,1759,891,891,1.9742,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate4,4.0,0,7,blocked4x7,ripplex7,884,513,513,1.7232,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,rate8,8.0,0,7,blocked4x7,ripplex7,447,387,387,1.155,1.0,1,20,6,0.3,60,378,6.3
reduction_tree_mult_w64_r8,multiplier,4,unconstrained,1764.0,0,7,blocked4x7,blocked4x7,60,378,60,1.0,6.3,0,20,0,0.0,60,60,1.0
grover_c8_i2,grover,1,rate0.1,0.1,1,10,"treex2,width16x2","linearx2,width1x2",1842,1202,1202,1.5324,1.0,1,43,36,0.8372,20,92,4.6
grover_c8_i2,grover,1,rate0.2,0.2,1,10,"treex2,width16x2","linearx2,width1x2",927,607,607,1.5272,1.0,1,43,36,0.8372,20,92,4.6
grover_c8_i2,grover,1,rate0.5,0.5,1,10,"treex2,width16x2","linearx2,width1x2",378,255,255,1.4824,1.0,1,43,36,0.8372,20,92,4.6
grover_c8_i2,grover,1,rate1,1.0,1,10,"treex2,width16x2","treex2,width2x2",195,200,154,1.2662,1.2987,1,43,18,0.4186,20,52,2.6
grover_c8_i2,grover,1,rate2,2.0,1,10,"treex2,width16x2","treex2,width8x2",103,190,95,1.0842,2.0,1,43,2,0.0465,20,26,1.3
grover_c8_i2,grover,1,rate4,4.0,1,10,"treex2,width16x2","treex2,width16x2",78,186,78,1.0,2.3846,0,43,0,0.0,20,20,1.0
grover_c8_i2,grover,1,rate8,8.0,1,10,"treex2,width16x2","treex2,width16x2",73,185,73,1.0,2.5342,0,43,0,0.0,20,20,1.0
grover_c8_i2,grover,1,unconstrained,120.0,1,10,"treex2,width16x2","treex2,width16x2",68,180,68,1.0,2.6471,0,43,0,0.0,20,20,1.0
grover_c8_i2,grover,1,rate0.1,0.1,0,10,"treex2,width16x2","linearx2,width1x2",1840,1200,1200,1.5333,1.0,1,43,36,0.8372,20,92,4.6
grover_c8_i2,grover,1,rate0.2,0.2,0,10,"treex2,width16x2","linearx2,width1x2",925,605,605,1.5289,1.0,1,43,36,0.8372,20,92,4.6
grover_c8_i2,grover,1,rate0.5,0.5,0,10,"treex2,width16x2","linearx2,width1x2",376,248,248,1.5161,1.0,1,43,36,0.8372,20,92,4.6
grover_c8_i2,grover,1,rate1,1.0,0,10,"treex2,width16x2","linearx2,width1x2",193,129,129,1.4961,1.0,1,43,36,0.8372,20,92,4.6
grover_c8_i2,grover,1,rate2,2.0,0,10,"treex2,width16x2","linearx2,width2x2",101,93,77,1.3117,1.2078,1,43,22,0.5116,20,68,3.4
grover_c8_i2,grover,1,rate4,4.0,0,10,"treex2,width16x2","treex2,width4x2",55,87,48,1.1458,1.8125,1,43,5,0.1163,20,36,1.8
grover_c8_i2,grover,1,rate8,8.0,0,10,"treex2,width16x2","treex2,width16x2",32,85,32,1.0,2.6562,0,43,0,0.0,20,20,1.0
grover_c8_i2,grover,1,unconstrained,120.0,0,10,"treex2,width16x2","treex2,width16x2",20,76,20,1.0,3.8,0,43,0,0.0,20,20,1.0
oracle_bank_c8_l4,oracle_bank,4,rate0.1,0.1,1,2,treex4,linearx4,1123,1123,1123,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate0.2,0.2,1,2,treex4,linearx4,568,568,568,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate0.5,0.5,1,2,treex4,linearx4,235,235,235,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate1,1.0,1,2,treex4,linearx4,124,124,124,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate2,2.0,1,2,treex4,linearx4,68,68,68,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate4,4.0,1,2,treex4,treex4,42,42,42,1.0,1.0,0,1,0,0.0,6,6,1.0
oracle_bank_c8_l4,oracle_bank,4,rate8,8.0,1,2,treex4,treex4,32,32,32,1.0,1.0,0,1,0,0.0,6,6,1.0
oracle_bank_c8_l4,oracle_bank,4,unconstrained,112.0,1,2,treex4,treex4,22,22,22,1.0,1.0,0,1,0,0.0,6,6,1.0
oracle_bank_c8_l4,oracle_bank,4,rate0.1,0.1,0,2,treex4,linearx4,1120,1120,1120,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate0.2,0.2,0,2,treex4,linearx4,565,565,565,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate0.5,0.5,0,2,treex4,linearx4,232,232,232,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate1,1.0,0,2,treex4,linearx4,121,121,121,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate2,2.0,0,2,treex4,linearx4,65,65,65,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate4,4.0,0,2,treex4,linearx4,37,37,37,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,rate8,8.0,0,2,treex4,linearx4,23,23,23,1.0,1.0,0,1,0,0.0,6,14,2.3333
oracle_bank_c8_l4,oracle_bank,4,unconstrained,112.0,0,2,treex4,treex4,6,6,6,1.0,1.0,0,1,0,0.0,6,6,1.0
grover_c16_i2,grover,1,rate0.1,0.1,1,10,"treex2,width16x2","linearx2,width1x2",2482,1842,1842,1.3474,1.0,1,45,32,0.7111,24,124,5.1667
grover_c16_i2,grover,1,rate0.2,0.2,1,10,"treex2,width16x2","linearx2,width1x2",1247,927,927,1.3452,1.0,1,45,32,0.7111,24,124,5.1667
grover_c16_i2,grover,1,rate0.5,0.5,1,10,"treex2,width16x2","linearx2,width1x2",506,383,383,1.3211,1.0,1,45,32,0.7111,24,124,5.1667
grover_c16_i2,grover,1,rate1,1.0,1,10,"treex2,width16x2","treex2,width2x2",259,248,218,1.1881,1.1376,1,45,17,0.3778,24,56,2.3333
grover_c16_i2,grover,1,rate2,2.0,1,10,"treex2,width16x2","treex2,width8x2",135,212,127,1.063,1.6693,1,45,3,0.0667,24,30,1.25
grover_c16_i2,grover,1,rate4,4.0,1,10,"treex2,width16x2","treex2,width16x2",94,202,94,1.0,2.1489,0,45,0,0.0,24,24,1.0
grover_c16_i2,grover,1,rate8,8.0,1,10,"treex2,width16x2","treex2,width16x2",86,198,86,1.0,2.3023,0,45,1,0.0222,24,24,1.0
grover_c16_i2,grover,1,unconstrained,184.0,1,10,"treex2,width16x2","treex2,width16x2",80,192,80,1.0,2.4,0,45,1,0.0222,24,24,1.0
grover_c16_i2,grover,1,rate0.1,0.1,0,10,"treex2,width16x2","linearx2,width1x2",2480,1840,1840,1.3478,1.0,1,45,32,0.7111,24,124,5.1667
grover_c16_i2,grover,1,rate0.2,0.2,0,10,"treex2,width16x2","linearx2,width1x2",1245,925,925,1.3459,1.0,1,45,32,0.7111,24,124,5.1667
grover_c16_i2,grover,1,rate0.5,0.5,0,10,"treex2,width16x2","linearx2,width1x2",504,376,376,1.3404,1.0,1,45,32,0.7111,24,124,5.1667
grover_c16_i2,grover,1,rate1,1.0,0,10,"treex2,width16x2","linearx2,width1x2",257,193,193,1.3316,1.0,1,45,32,0.7111,24,124,5.1667
grover_c16_i2,grover,1,rate2,2.0,0,10,"treex2,width16x2","linearx2,width2x2",133,118,109,1.2202,1.0826,1,45,24,0.5333,24,100,4.1667
grover_c16_i2,grover,1,rate4,4.0,0,10,"treex2,width16x2","treex2,width4x2",71,98,64,1.1094,1.5312,1,45,5,0.1111,24,40,1.6667
grover_c16_i2,grover,1,rate8,8.0,0,10,"treex2,width16x2","treex2,width16x2",40,91,40,1.0,2.275,0,45,0,0.0,24,24,1.0
grover_c16_i2,grover,1,unconstrained,184.0,0,10,"treex2,width16x2","treex2,width16x2",24,80,24,1.0,3.3333,0,45,0,0.0,24,24,1.0
oracle_bank_c16_l4,oracle_bank,4,rate0.1,0.1,1,2,treex4,linearx4,2403,2403,2403,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate0.2,0.2,1,2,treex4,linearx4,1208,1208,1208,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate0.5,0.5,1,2,treex4,linearx4,491,491,491,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate1,1.0,1,2,treex4,linearx4,252,252,252,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate2,2.0,1,2,treex4,linearx4,132,132,132,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate4,4.0,1,2,treex4,treex4,74,74,74,1.0,1.0,0,1,0,0.0,8,8,1.0
oracle_bank_c16_l4,oracle_bank,4,rate8,8.0,1,2,treex4,treex4,48,48,48,1.0,1.0,0,1,0,0.0,8,8,1.0
oracle_bank_c16_l4,oracle_bank,4,unconstrained,240.0,1,2,treex4,treex4,28,28,28,1.0,1.0,0,1,0,0.0,8,8,1.0
oracle_bank_c16_l4,oracle_bank,4,rate0.1,0.1,0,2,treex4,linearx4,2400,2400,2400,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate0.2,0.2,0,2,treex4,linearx4,1205,1205,1205,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate0.5,0.5,0,2,treex4,linearx4,488,488,488,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate1,1.0,0,2,treex4,linearx4,249,249,249,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate2,2.0,0,2,treex4,linearx4,129,129,129,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate4,4.0,0,2,treex4,linearx4,69,69,69,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,rate8,8.0,0,2,treex4,linearx4,39,39,39,1.0,1.0,0,1,0,0.0,8,30,3.75
oracle_bank_c16_l4,oracle_bank,4,unconstrained,240.0,0,2,treex4,treex4,8,8,8,1.0,1.0,0,1,0,0.0,8,8,1.0
grover_c32_i2,grover,1,rate0.1,0.1,1,10,"treex2,width16x2","linearx2,width1x2",3762,3122,3122,1.205,1.0,1,45,30,0.6667,28,188,6.7143
grover_c32_i2,grover,1,rate0.2,0.2,1,10,"treex2,width16x2","linearx2,width1x2",1887,1567,1567,1.2042,1.0,1,45,30,0.6667,28,188,6.7143
grover_c32_i2,grover,1,rate0.5,0.5,1,10,"treex2,width16x2","linearx2,width1x2",762,639,639,1.1925,1.0,1,45,30,0.6667,28,188,6.7143
grover_c32_i2,grover,1,rate1,1.0,1,10,"treex2,width16x2","treex2,width2x2",387,376,346,1.1185,1.0867,1,45,12,0.2667,28,60,2.1429
grover_c32_i2,grover,1,rate2,2.0,1,10,"treex2,width16x2","treex2,width8x2",199,276,191,1.0419,1.445,1,45,3,0.0667,28,34,1.2143
grover_c32_i2,grover,1,rate4,4.0,1,10,"treex2,width16x2","treex2,width16x2",125,232,125,1.0,1.856,0,45,0,0.0,28,28,1.0
grover_c32_i2,grover,1,rate8,8.0,1,10,"treex2,width16x2","treex2,width16x2",104,216,104,1.0,2.0769,0,45,0,0.0,28,28,1.0
grover_c32_i2,grover,1,unconstrained,312.0,1,10,"treex2,width16x2","treex2,width16x2",92,204,92,1.0,2.2174,0,45,0,0.0,28,28,1.0
grover_c32_i2,grover,1,rate0.1,0.1,0,10,"treex2,width16x2","linearx2,width1x2",3760,3120,3120,1.2051,1.0,1,45,30,0.6667,28,188,6.7143
grover_c32_i2,grover,1,rate0.2,0.2,0,10,"treex2,width16x2","linearx2,width1x2",1885,1565,1565,1.2045,1.0,1,45,30,0.6667,28,188,6.7143
grover_c32_i2,grover,1,rate0.5,0.5,0,10,"treex2,width16x2","linearx2,width1x2",760,632,632,1.2025,1.0,1,45,30,0.6667,28,188,6.7143
grover_c32_i2,grover,1,rate1,1.0,0,10,"treex2,width16x2","linearx2,width1x2",385,321,321,1.1994,1.0,1,45,30,0.6667,28,188,6.7143
grover_c32_i2,grover,1,rate2,2.0,0,10,"treex2,width16x2","linearx2,width2x2",197,182,173,1.1387,1.052,1,45,22,0.4889,28,164,5.8571
grover_c32_i2,grover,1,rate4,4.0,0,10,"treex2,width16x2","treex2,width4x2",103,130,96,1.0729,1.3542,1,45,4,0.0889,28,44,1.5714
grover_c32_i2,grover,1,rate8,8.0,0,10,"treex2,width16x2","treex2,width16x2",56,106,56,1.0,1.8929,0,45,0,0.0,28,28,1.0
grover_c32_i2,grover,1,unconstrained,312.0,0,10,"treex2,width16x2","treex2,width16x2",28,84,28,1.0,3.0,0,45,0,0.0,28,28,1.0
oracle_bank_c32_l4,oracle_bank,4,rate0.1,0.1,1,2,treex4,linearx4,4963,4963,4963,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate0.2,0.2,1,2,treex4,linearx4,2488,2488,2488,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate0.5,0.5,1,2,treex4,linearx4,1003,1003,1003,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate1,1.0,1,2,treex4,linearx4,508,508,508,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate2,2.0,1,2,treex4,linearx4,260,260,260,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate4,4.0,1,2,treex4,treex4,138,138,138,1.0,1.0,0,1,0,0.0,10,10,1.0
oracle_bank_c32_l4,oracle_bank,4,rate8,8.0,1,2,treex4,treex4,80,80,80,1.0,1.0,0,1,0,0.0,10,10,1.0
oracle_bank_c32_l4,oracle_bank,4,unconstrained,496.0,1,2,treex4,treex4,34,34,34,1.0,1.0,0,1,0,0.0,10,10,1.0
oracle_bank_c32_l4,oracle_bank,4,rate0.1,0.1,0,2,treex4,linearx4,4960,4960,4960,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate0.2,0.2,0,2,treex4,linearx4,2485,2485,2485,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate0.5,0.5,0,2,treex4,linearx4,1000,1000,1000,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate1,1.0,0,2,treex4,linearx4,505,505,505,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate2,2.0,0,2,treex4,linearx4,257,257,257,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate4,4.0,0,2,treex4,linearx4,133,133,133,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,rate8,8.0,0,2,treex4,linearx4,71,71,71,1.0,1.0,0,1,0,0.0,10,62,6.2
oracle_bank_c32_l4,oracle_bank,4,unconstrained,496.0,0,2,treex4,treex4,10,10,10,1.0,1.0,0,1,0,0.0,10,10,1.0
qft_q5_t32,qft,4,rate0.1,0.1,1,5,width16x10,width1x10,6402,3202,3202,1.9994,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate0.2,0.2,1,5,width16x10,width1x10,3207,1607,1607,1.9956,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate0.5,0.5,1,5,width16x10,width1x10,1290,654,654,1.9725,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate1,1.0,1,5,width16x10,width1x10,651,371,371,1.7547,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate2,2.0,1,5,width16x10,width2x10,331,279,239,1.3849,1.1674,1,10,8,0.8,16,80,5.0
qft_q5_t32,qft,4,rate4,4.0,1,5,width16x10,width4x10,171,278,151,1.1325,1.8411,1,10,3,0.3,16,48,3.0
qft_q5_t32,qft,4,rate8,8.0,1,5,width16x10,width8x10,99,278,98,1.0102,2.8367,1,10,1,0.1,16,28,1.75
qft_q5_t32,qft,4,unconstrained,320.0,1,5,width16x10,width16x10,48,272,48,1.0,5.6667,0,10,0,0.0,16,16,1.0
qft_q5_t32,qft,4,rate0.1,0.1,0,5,width16x10,width1x10,6400,3200,3200,2.0,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate0.2,0.2,0,5,width16x10,width1x10,3205,1605,1605,1.9969,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate0.5,0.5,0,5,width16x10,width1x10,1288,648,648,1.9877,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate1,1.0,0,5,width16x10,width1x10,649,329,329,1.9726,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate2,2.0,0,5,width16x10,width1x10,329,185,185,1.7784,1.0,1,10,10,1.0,16,128,8.0
qft_q5_t32,qft,4,rate4,4.0,0,5,width16x10,width2x10,169,137,119,1.4202,1.1513,1,10,8,0.8,16,80,5.0
qft_q5_t32,qft,4,rate8,8.0,0,5,width16x10,width4x10,89,137,75,1.1867,1.8267,1,10,3,0.3,16,48,3.0
qft_q5_t32,qft,4,unconstrained,320.0,0,5,width16x10,width16x10,16,128,16,1.0,8.0,0,10,0,0.0,16,16,1.0
qft_q6_t32,qft,5,rate0.1,0.1,1,5,width16x15,width1x15,9602,4802,4802,1.9996,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate0.2,0.2,1,5,width16x15,width1x15,4807,2407,2407,1.9971,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate0.5,0.5,1,5,width16x15,width1x15,1930,974,974,1.9815,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate1,1.0,1,5,width16x15,width1x15,971,531,531,1.8286,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate2,2.0,1,5,width16x15,width2x15,491,363,339,1.4484,1.0708,1,10,9,0.9,20,100,5.0
qft_q6_t32,qft,5,rate4,4.0,1,5,width16x15,width4x15,251,347,211,1.1896,1.6445,1,10,4,0.4,20,60,3.0
qft_q6_t32,qft,5,rate8,8.0,1,5,width16x15,width8x15,141,346,135,1.0444,2.563,1,10,1,0.1,20,35,1.75
qft_q6_t32,qft,5,unconstrained,480.0,1,5,width16x15,width16x15,60,340,60,1.0,5.6667,0,10,0,0.0,20,20,1.0
qft_q6_t32,qft,5,rate0.1,0.1,0,5,width16x15,width1x15,9600,4800,4800,2.0,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate0.2,0.2,0,5,width16x15,width1x15,4805,2405,2405,1.9979,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate0.5,0.5,0,5,width16x15,width1x15,1928,968,968,1.9917,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate1,1.0,0,5,width16x15,width1x15,969,489,489,1.9816,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate2,2.0,0,5,width16x15,width1x15,489,265,265,1.8453,1.0,1,10,10,1.0,20,160,8.0
qft_q6_t32,qft,5,rate4,4.0,0,5,width16x15,width2x15,249,177,169,1.4734,1.0473,1,10,9,0.9,20,100,5.0
qft_q6_t32,qft,5,rate8,8.0,0,5,width16x15,width4x15,129,169,105,1.2286,1.6095,1,10,4,0.4,20,60,3.0
qft_q6_t32,qft,5,unconstrained,480.0,0,5,width16x15,width16x15,20,160,20,1.0,8.0,0,10,0,0.0,20,20,1.0
trotter_t2_l2_b32,trotter,2,rate0.1,0.1,1,5,width16x4,width1x4,2562,1282,1282,1.9984,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate0.2,0.2,1,5,width16x4,width1x4,1287,647,647,1.9892,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate0.5,0.5,1,5,width16x4,width1x4,522,266,266,1.9624,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate1,1.0,1,5,width16x4,width1x4,267,143,143,1.8671,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate2,2.0,1,5,width16x4,width2x4,139,142,95,1.4632,1.4947,1,10,6,0.6,8,40,5.0
trotter_t2_l2_b32,trotter,2,rate4,4.0,1,5,width16x4,width4x4,75,142,63,1.1905,2.254,1,10,3,0.3,8,24,3.0
trotter_t2_l2_b32,trotter,2,rate8,8.0,1,5,width16x4,width8x4,45,142,43,1.0465,3.3023,1,10,1,0.1,8,14,1.75
trotter_t2_l2_b32,trotter,2,unconstrained,128.0,1,5,width16x4,width16x4,24,136,24,1.0,5.6667,0,10,0,0.0,8,8,1.0
trotter_t2_l2_b32,trotter,2,rate0.1,0.1,0,5,width16x4,width1x4,2560,1280,1280,2.0,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate0.2,0.2,0,5,width16x4,width1x4,1285,645,645,1.9922,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate0.5,0.5,0,5,width16x4,width1x4,520,264,264,1.9697,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate1,1.0,0,5,width16x4,width1x4,265,137,137,1.9343,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate2,2.0,0,5,width16x4,width1x4,137,73,73,1.8767,1.0,1,10,10,1.0,8,64,8.0
trotter_t2_l2_b32,trotter,2,rate4,4.0,0,5,width16x4,width2x4,73,73,49,1.4898,1.4898,1,10,6,0.6,8,40,5.0
trotter_t2_l2_b32,trotter,2,rate8,8.0,0,5,width16x4,width4x4,41,73,33,1.2424,2.2121,1,10,3,0.3,8,24,3.0
trotter_t2_l2_b32,trotter,2,unconstrained,128.0,0,5,width16x4,width16x4,8,64,8,1.0,8.0,0,10,0,0.0,8,8,1.0
trotter_t4_l2_b32,trotter,4,rate0.1,0.1,1,5,width16x8,width1x8,5122,2562,2562,1.9992,1.0,1,10,10,1.0,8,64,8.0
trotter_t4_l2_b32,trotter,4,rate0.2,0.2,1,5,width16x8,width1x8,2567,1287,1287,1.9946,1.0,1,10,10,1.0,8,64,8.0
trotter_t4_l2_b32,trotter,4,rate0.5,0.5,1,5,width16x8,width1x8,1034,522,522,1.9808,1.0,1,10,10,1.0,8,64,8.0
