program,kernel,concurrency,decision_sites,assignment_space,regime,rate,buffer,reference,reference_exhaustive,reference_heterogeneous,makespan_min_t_count,makespan_min_t_depth,makespan_best_static,makespan_legacy_smooth,makespan_local_resource_greedy,makespan_share_aware_greedy,makespan_best_uniform,makespan_resource_aware,regret_min_t_count,regret_min_t_depth,regret_best_static,regret_legacy_smooth,regret_local_resource_greedy,regret_share_aware_greedy,regret_best_uniform,regret_resource_aware,strongest_baseline,strongest_baseline_makespan,headroom_available,headroom_captured,ours_heterogeneous,ours_profile,ours_cost_evaluations,ours_ancillas,best_static_ancillas,ours_overflow,ours_stalls
qft_q5_t32,qft,4,10,9765625,rate2,2.0,32,203,0,1,279,331,279,332,255,207,239,209,1.3744,1.6305,1.3744,1.6355,1.2562,1.0197,1.1773,1.0296,share_aware_greedy,207,4,-0.5,1,"width1x7,width4x2,width8x1",243,16,0,20,35
qft_q5_t32,qft,4,10,9765625,rate4,4.0,32,129,0,1,278,171,171,174,155,133,151,137,2.155,1.3256,1.3256,1.3488,1.2016,1.031,1.1705,1.062,share_aware_greedy,133,4,-1.0,1,"width16x1,width2x6,width8x3",243,52,160,32,30
qft_q5_t32,qft,4,10,9765625,rate8,8.0,32,88,0,1,278,99,99,99,99,88,98,88,3.1591,1.125,1.125,1.125,1.125,1.0,1.1136,1.0,share_aware_greedy,88,0,,1,"width16x3,width4x4,width8x3",243,88,160,56,29
qft_q6_t32,qft,5,15,30517578125,rate0.1,0.1,32,4802,0,0,4802,9602,4802,9602,4802,4802,4802,4802,1.0,1.9996,1.0,1.9996,1.0,1.0,1.0,1.0,min_t_count,4802,0,,0,width1x15,243,0,0,0,4710
qft_q6_t32,qft,5,15,30517578125,rate0.2,0.2,32,2407,0,0,2407,4807,2407,4807,2407,2407,2407,2407,1.0,1.9971,1.0,1.9971,1.0,1.0,1.0,1.0,min_t_count,2407,0,,0,width1x15,243,0,0,0,2315
qft_q6_t32,qft,5,15,30517578125,rate0.5,0.5,32,974,0,0,974,1930,974,1930,974,974,974,974,1.0,1.9815,1.0,1.9815,1.0,1.0,1.0,1.0,min_t_count,974,0,,0,width1x15,243,0,0,0,876
qft_q6_t32,qft,5,15,30517578125,rate1,1.0,32,507,0,1,531,971,531,971,615,507,531,507,1.0473,1.9152,1.0473,1.9152,1.213,1.0,1.0473,1.0,share_aware_greedy,507,0,,1,"width1x14,width2x1",363,2,0,0,364
qft_q6_t32,qft,5,15,30517578125,rate2,2.0,32,283,0,1,363,491,363,496,375,287,339,293,1.2827,1.735,1.2827,1.7527,1.3251,1.0141,1.1979,1.0353,share_aware_greedy,287,4,-1.5,1,"width1x12,width4x2,width8x1",363,16,0,28,113
qft_q6_t32,qft,5,15,30517578125,rate4,4.0,32,181,0,1,347,251,251,259,225,185,211,204,1.9171,1.3867,1.3867,1.4309,1.2431,1.0221,1.1657,1.1271,share_aware_greedy,185,4,-4.75,1,"width1x3,width2x4,width8x8",363,72,240,52,101
qft_q6_t32,qft,5,15,30517578125,rate8,8.0,32,122,0,1,346,141,141,144,141,122,135,133,2.8361,1.1557,1.1557,1.1803,1.1557,1.0,1.1066,1.0902,share_aware_greedy,122,0,,1,"width16x8,width2x2,width4x2,width8x3",363,164,240,112,82
reduction_tree_mult_w16_r4,multiplier,2,3,125,rate0.1,0.1,32,1803,1,0,1803,3483,1803,3483,1803,1803,1803,1803,1.0,1.9318,1.0,1.9318,1.0,1.0,1.0,1.0,min_t_count,1803,0,,0,ripplex3,51,3,3,0,1717
reduction_tree_mult_w16_r4,multiplier,2,3,125,rate0.2,0.2,32,908,1,0,908,1748,908,1748,908,908,908,908,1.0,1.9251,1.0,1.9251,1.0,1.0,1.0,1.0,min_t_count,908,0,,0,ripplex3,51,3,3,0,822
reduction_tree_mult_w16_r4,multiplier,2,3,125,rate0.5,0.5,32,371,1,0,371,707,371,707,371,371,371,371,1.0,1.9057,1.0,1.9057,1.0,1.0,1.0,1.0,min_t_count,371,0,,0,ripplex3,51,3,3,0,285
reduction_tree_mult_w16_r4,multiplier,2,3,125,rate1,1.0,32,211,1,0,211,360,211,360,211,211,211,211,1.0,1.7062,1.0,1.7062,1.0,1.0,1.0,1.0,min_t_count,211,0,,0,ripplex3,51,3,3,0,97
reduction_tree_mult_w16_r4,multiplier,2,3,125,rate2,2.0,32,135,1,1,165,186,165,186,186,137,165,135,1.2222,1.3778,1.2222,1.3778,1.3778,1.0148,1.2222,1.0,share_aware_greedy,137,2,1.0,1,"blocked4x1,ripplex2",75,14,3,10,44
reduction_tree_mult_w16_r4,multiplier,2,3,125,rate4,4.0,32,108,1,1,164,108,108,107,108,108,108,108,1.5185,1.0,1.0,0.9907,1.0,1.0,1.0,1.0,legacy_smooth,107,-1,,0,blocked4x3,51,36,36,20,71
reduction_tree_mult_w16_r4,multiplier,2,3,125,rate8,8.0,32,81,1,0,164,81,81,82,81,81,81,81,2.0247,1.0,1.0,1.0123,1.0,1.0,1.0,1.0,min_t_depth,81,0,,0,blocked4x3,51,36,36,204,24
reduction_tree_mult_w16_r8,multiplier,4,7,78125,rate0.1,0.1,32,4203,0,0,4203,8123,4203,8123,4203,4203,4203,4203,1.0,1.9327,1.0,1.9327,1.0,1.0,1.0,1.0,min_t_count,4203,0,,0,ripplex7,115,7,7,0,4110
reduction_tree_mult_w16_r8,multiplier,4,7,78125,rate0.2,0.2,32,2108,0,0,2108,4068,2108,4068,2108,2108,2108,2108,1.0,1.9298,1.0,1.9298,1.0,1.0,1.0,1.0,min_t_count,2108,0,,0,ripplex7,115,7,7,0,2015
reduction_tree_mult_w16_r8,multiplier,4,7,78125,rate0.5,0.5,32,851,0,0,851,1635,851,1635,851,851,851,851,1.0,1.9213,1.0,1.9213,1.0,1.0,1.0,1.0,min_t_count,851,0,,0,ripplex7,115,7,7,0,757
reduction_tree_mult_w16_r8,multiplier,4,7,78125,rate1,1.0,32,451,0,0,451,824,451,824,451,451,451,451,1.0,1.8271,1.0,1.8271,1.0,1.0,1.0,1.0,min_t_count,451,0,,0,ripplex7,115,7,7,0,325
reduction_tree_mult_w16_r8,multiplier,4,7,78125,rate2,2.0,32,260,0,1,290,418,290,418,418,262,290,260,1.1154,1.6077,1.1154,1.6077,1.6077,1.0077,1.1154,1.0,share_aware_greedy,262,2,1.0,1,"blocked4x1,ripplex6",171,18,7,20,162
reduction_tree_mult_w16_r8,multiplier,4,7,78125,rate4,4.0,32,181,0,1,244,224,224,223,224,181,224,181,1.3481,1.2376,1.2376,1.232,1.2376,1.0,1.2376,1.0,share_aware_greedy,181,0,,1,"blocked4x2,blocked8x1,ripplex4",171,34,84,72,62
reduction_tree_mult_w16_r8,multiplier,4,7,78125,rate8,8.0,32,145,0,0,243,145,145,145,145,145,145,145,1.6759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,145,0,,0,blocked4x7,115,84,84,252,80
reduction_tree_mult_w32_r4,multiplier,2,3,216,rate0.1,0.1,32,3723,1,0,3723,7323,3723,7323,3723,3723,3723,3723,1.0,1.967,1.0,1.967,1.0,1.0,1.0,1.0,min_t_count,3723,0,,0,ripplex3,63,3,3,0,3557
reduction_tree_mult_w32_r4,multiplier,2,3,216,rate0.2,0.2,32,1868,1,0,1868,3668,1868,3668,1868,1868,1868,1868,1.0,1.9636,1.0,1.9636,1.0,1.0,1.0,1.0,min_t_count,1868,0,,0,ripplex3,63,3,3,0,1702
reduction_tree_mult_w32_r4,multiplier,2,3,216,rate0.5,0.5,32,755,1,0,755,1475,755,1475,755,755,755,755,1.0,1.9536,1.0,1.9536,1.0,1.0,1.0,1.0,min_t_count,755,0,,0,ripplex3,63,3,3,0,589
reduction_tree_mult_w32_r4,multiplier,2,3,216,rate1,1.0,32,419,1,0,419,744,419,744,419,419,419,419,1.0,1.7757,1.0,1.7757,1.0,1.0,1.0,1.0,min_t_count,419,0,,0,ripplex3,63,3,3,7,193
reduction_tree_mult_w32_r4,multiplier,2,3,216,rate2,2.0,32,279,1,1,325,378,325,378,378,279,325,279,1.1649,1.3548,1.1649,1.3548,1.3548,1.0,1.1649,1.0,share_aware_greedy,279,0,,1,"blocked4x1,ripplex2",93,26,3,42,111
reduction_tree_mult_w32_r4,multiplier,2,3,216,rate4,4.0,32,195,1,1,324,195,195,195,195,195,195,195,1.6615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,195,0,,0,blocked4x3,63,72,72,0,180
reduction_tree_mult_w32_r4,multiplier,2,3,216,rate8,8.0,32,123,1,1,324,123,123,130,123,123,123,123,2.6341,1.0,1.0,1.0569,1.0,1.0,1.0,1.0,min_t_depth,123,0,,0,blocked4x3,63,72,72,156,80
reduction_tree_mult_w32_r8,multiplier,4,7,279936,rate0.1,0.1,32,8683,0,0,8683,17083,8683,17083,8683,8683,8683,8683,1.0,1.9674,1.0,1.9674,1.0,1.0,1.0,1.0,min_t_count,8683,0,,0,ripplex7,143,7,7,0,8510
reduction_tree_mult_w32_r8,multiplier,4,7,279936,rate0.2,0.2,32,4348,0,0,4348,8548,4348,8548,4348,4348,4348,4348,1.0,1.966,1.0,1.966,1.0,1.0,1.0,1.0,min_t_count,4348,0,,0,ripplex7,143,7,7,0,4175
reduction_tree_mult_w32_r8,multiplier,4,7,279936,rate0.5,0.5,32,1747,0,0,1747,3427,1747,3427,1747,1747,1747,1747,1.0,1.9616,1.0,1.9616,1.0,1.0,1.0,1.0,min_t_count,1747,0,,0,ripplex7,143,7,7,0,1573
reduction_tree_mult_w32_r8,multiplier,4,7,279936,rate1,1.0,32,915,0,0,915,1720,915,1720,915,915,915,915,1.0,1.8798,1.0,1.8798,1.0,1.0,1.0,1.0,min_t_count,915,0,,0,ripplex7,143,7,7,7,677
reduction_tree_mult_w32_r8,multiplier,4,7,279936,rate2,2.0,32,532,0,1,578,866,578,866,866,532,578,532,1.0865,1.6278,1.0865,1.6278,1.6278,1.0,1.0865,1.0,share_aware_greedy,532,0,,1,"blocked4x1,ripplex6",213,30,7,52,357
reduction_tree_mult_w32_r8,multiplier,4,7,279936,rate4,4.0,32,348,0,1,484,439,439,444,439,348,439,348,1.3908,1.2615,1.2615,1.2759,1.2615,1.0,1.2615,1.0,share_aware_greedy,348,0,,1,"blocked2x1,blocked4x2,ripplex4",213,100,168,116,174
reduction_tree_mult_w32_r8,multiplier,4,7,279936,rate8,8.0,32,248,0,0,483,248,248,255,248,248,248,248,1.9476,1.0,1.0,1.0282,1.0,1.0,1.0,1.0,min_t_depth,248,0,,1,"blocked16x1,blocked2x1,blocked4x5",213,174,168,180,198
reduction_tree_mult_w64_r4,multiplier,2,3,343,rate0.1,0.1,32,7563,1,0,7563,15003,7563,15003,7563,7563,7563,7563,1.0,1.9837,1.0,1.9837,1.0,1.0,1.0,1.0,min_t_count,7563,0,,0,ripplex3,75,3,3,0,7237
reduction_tree_mult_w64_r4,multiplier,2,3,343,rate0.2,0.2,32,3788,1,0,3788,7508,3788,7508,3788,3788,3788,3788,1.0,1.982,1.0,1.982,1.0,1.0,1.0,1.0,min_t_count,3788,0,,0,ripplex3,75,3,3,0,3462
reduction_tree_mult_w64_r4,multiplier,2,3,343,rate0.5,0.5,32,1523,1,0,1523,3011,1523,3011,1523,1523,1523,1523,1.0,1.977,1.0,1.977,1.0,1.0,1.0,1.0,min_t_count,1523,0,,0,ripplex3,75,3,3,0,1197
reduction_tree_mult_w64_r4,multiplier,2,3,343,rate1,1.0,32,835,1,0,835,1512,835,1512,835,835,835,835,1.0,1.8108,1.0,1.8108,1.0,1.0,1.0,1.0,min_t_count,835,0,,0,ripplex3,75,3,3,39,385
reduction_tree_mult_w64_r4,multiplier,2,3,343,rate2,2.0,32,567,1,1,645,762,645,762,762,567,645,567,1.1376,1.3439,1.1376,1.3439,1.3439,1.0,1.1376,1.0,share_aware_greedy,567,0,,1,"blocked4x1,ripplex2",111,50,3,106,241
reduction_tree_mult_w64_r4,multiplier,2,3,343,rate4,4.0,32,387,1,1,644,387,387,387,387,387,387,387,1.6641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,387,0,,0,blocked4x3,93,144,144,0,373
reduction_tree_mult_w64_r4,multiplier,2,3,343,rate8,8.0,32,207,1,1,644,208,208,209,207,207,207,208,3.1111,1.0048,1.0048,1.0097,1.0,1.0,1.0,1.0048,local_resource_greedy,207,0,,1,"blocked16x1,blocked4x2",111,108,144,68,183
reduction_tree_mult_w64_r8,multiplier,4,7,823543,rate0.1,0.1,32,17643,0,0,17643,35003,17643,35003,17643,17643,17643,17643,1.0,1.984,1.0,1.984,1.0,1.0,1.0,1.0,min_t_count,17643,0,,0,ripplex7,171,7,7,0,17310
reduction_tree_mult_w64_r8,multiplier,4,7,823543,rate0.2,0.2,32,8828,0,0,8828,17508,8828,17508,8828,8828,8828,8828,1.0,1.9832,1.0,1.9832,1.0,1.0,1.0,1.0,min_t_count,8828,0,,0,ripplex7,171,7,7,0,8495
reduction_tree_mult_w64_r8,multiplier,4,7,823543,rate0.5,0.5,32,3539,0,0,3539,7011,3539,7011,3539,3539,3539,3539,1.0,1.9811,1.0,1.9811,1.0,1.0,1.0,1.0,min_t_count,3539,0,,0,ripplex7,171,7,7,0,3205
reduction_tree_mult_w64_r8,multiplier,4,7,823543,rate1,1.0,32,1843,0,0,1843,3512,1843,3512,1843,1843,1843,1843,1.0,1.9056,1.0,1.9056,1.0,1.0,1.0,1.0,min_t_count,1843,0,,0,ripplex7,171,7,7,39,1381
reduction_tree_mult_w64_r8,multiplier,4,7,823543,rate2,2.0,32,1076,0,1,1154,1762,1154,1762,1762,1076,1154,1076,1.0725,1.6375,1.0725,1.6375,1.6375,1.0,1.0725,1.0,share_aware_greedy,1076,0,,1,"blocked4x1,ripplex6",255,54,7,116,743
reduction_tree_mult_w64_r8,multiplier,4,7,823543,rate4,4.0,32,700,0,1,964,887,887,892,887,700,887,700,1.3771,1.2671,1.2671,1.2743,1.2671,1.0,1.2671,1.0,share_aware_greedy,700,0,,1,"blocked32x1,blocked4x2,ripplex4",339,106,336,244,367
reduction_tree_mult_w64_r8,multiplier,4,7,823543,rate8,8.0,32,460,0,1,963,461,461,461,460,460,460,461,2.0935,1.0022,1.0022,1.0022,1.0,1.0,1.0,1.0022,local_resource_greedy,460,0,,1,"blocked32x1,blocked4x6",255,294,336,92,429
schoolbook_mult_w16_r3,multiplier,1,3,125,rate0.1,0.1,32,1803,1,0,1803,3483,1803,3483,1803,1803,1803,1803,1.0,1.9318,1.0,1.9318,1.0,1.0,1.0,1.0,min_t_count,1803,0,,0,ripplex3,51,3,3,0,1566
schoolbook_mult_w16_r3,multiplier,1,3,125,rate0.2,0.2,32,908,1,0,908,1748,908,1748,908,908,908,908,1.0,1.9251,1.0,1.9251,1.0,1.0,1.0,1.0,min_t_count,908,0,,0,ripplex3,51,3,3,0,671
schoolbook_mult_w16_r3,multiplier,1,3,125,rate0.5,0.5,32,371,1,0,371,707,371,707,371,371,371,371,1.0,1.9057,1.0,1.9057,1.0,1.0,1.0,1.0,min_t_count,371,0,,0,ripplex3,51,3,3,0,134
schoolbook_mult_w16_r3,multiplier,1,3,125,rate1,1.0,32,244,1,0,244,360,244,360,244,244,244,244,1.0,1.4754,1.0,1.4754,1.0,1.0,1.0,1.0,min_t_count,244,0,,0,ripplex3,51,3,3,24,7
schoolbook_mult_w16_r3,multiplier,1,3,125,rate2,2.0,32,186,1,0,243,186,186,186,186,186,186,192,1.3065,1.0,1.0,1.0,1.0,1.0,1.0,1.0323,min_t_depth,186,0,,1,"blocked8x2,ripplex1",87,13,36,68,60
schoolbook_mult_w16_r3,multiplier,1,3,125,rate4,4.0,32,120,1,0,243,120,120,120,120,120,120,120,2.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,120,0,,0,blocked4x3,51,36,36,68,35
schoolbook_mult_w16_r3,multiplier,1,3,125,rate8,8.0,32,117,1,0,243,117,117,117,117,117,117,117,2.0769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,117,0,,0,blocked4x3,51,36,36,492,7
schoolbook_mult_w32_r3,multiplier,1,3,216,rate0.1,0.1,32,3723,1,0,3723,7323,3723,7323,3723,3723,3723,3723,1.0,1.967,1.0,1.967,1.0,1.0,1.0,1.0,min_t_count,3723,0,,0,ripplex3,63,3,3,0,3246
schoolbook_mult_w32_r3,multiplier,1,3,216,rate0.2,0.2,32,1868,1,0,1868,3668,1868,3668,1868,1868,1868,1868,1.0,1.9636,1.0,1.9636,1.0,1.0,1.0,1.0,min_t_count,1868,0,,0,ripplex3,63,3,3,0,1391
schoolbook_mult_w32_r3,multiplier,1,3,216,rate0.5,0.5,32,755,1,0,755,1475,755,1475,755,755,755,755,1.0,1.9536,1.0,1.9536,1.0,1.0,1.0,1.0,min_t_count,755,0,,0,ripplex3,63,3,3,0,278
schoolbook_mult_w32_r3,multiplier,1,3,216,rate1,1.0,32,484,1,0,484,744,484,744,484,484,484,484,1.0,1.5372,1.0,1.5372,1.0,1.0,1.0,1.0,min_t_count,484,0,,0,ripplex3,63,3,3,72,7
schoolbook_mult_w32_r3,multiplier,1,3,216,rate2,2.0,32,378,1,0,483,378,378,378,378,378,378,406,1.2778,1.0,1.0,1.0,1.0,1.0,1.0,1.0741,min_t_depth,378,0,,1,"blocked2x1,blocked4x1,ripplex1",138,73,72,176,231
schoolbook_mult_w32_r3,multiplier,1,3,216,rate4,4.0,32,195,1,1,483,195,195,200,195,195,195,195,2.4769,1.0,1.0,1.0256,1.0,1.0,1.0,1.0,min_t_depth,195,0,,0,blocked4x3,63,72,72,0,172
schoolbook_mult_w32_r3,multiplier,1,3,216,rate8,8.0,32,156,1,0,483,156,156,155,156,156,156,156,3.0962,1.0,1.0,0.9936,1.0,1.0,1.0,1.0,legacy_smooth,155,-1,,0,blocked4x3,63,72,72,420,51
schoolbook_mult_w64_r3,multiplier,1,3,343,rate0.1,0.1,32,7563,1,0,7563,15003,7563,15003,7563,7563,7563,7563,1.0,1.9837,1.0,1.9837,1.0,1.0,1.0,1.0,min_t_count,7563,0,,0,ripplex3,75,3,3,0,6606
schoolbook_mult_w64_r3,multiplier,1,3,343,rate0.2,0.2,32,3788,1,0,3788,7508,3788,7508,3788,3788,3788,3788,1.0,1.982,1.0,1.982,1.0,1.0,1.0,1.0,min_t_count,3788,0,,0,ripplex3,75,3,3,0,2831
schoolbook_mult_w64_r3,multiplier,1,3,343,rate0.5,0.5,32,1523,1,0,1523,3011,1523,3011,1523,1523,1523,1523,1.0,1.977,1.0,1.977,1.0,1.0,1.0,1.0,min_t_count,1523,0,,0,ripplex3,75,3,3,0,566
schoolbook_mult_w64_r3,multiplier,1,3,343,rate1,1.0,32,964,1,0,964,1512,964,1512,964,964,964,964,1.0,1.5685,1.0,1.5685,1.0,1.0,1.0,1.0,min_t_count,964,0,,0,ripplex3,75,3,3,168,7
schoolbook_mult_w64_r3,multiplier,1,3,343,rate2,2.0,32,762,1,0,963,762,762,762,762,762,762,822,1.2638,1.0,1.0,1.0,1.0,1.0,1.0,1.0787,min_t_depth,762,0,,1,"blocked4x2,ripplex1",147,97,144,368,489
schoolbook_mult_w64_r3,multiplier,1,3,343,rate4,4.0,32,387,1,1,963,387,387,392,387,387,387,387,2.4884,1.0,1.0,1.0129,1.0,1.0,1.0,1.0,min_t_depth,387,0,,0,blocked4x3,75,144,144,0,366
schoolbook_mult_w64_r3,multiplier,1,3,343,rate8,8.0,32,218,1,0,963,221,221,222,218,218,218,221,4.4174,1.0138,1.0138,1.0183,1.0,1.0,1.0,1.0138,local_resource_greedy,218,0,,0,blocked4x3,93,144,144,172,168
toffoli_ladder_n3_l2,toffoli,2,6,4096,rate0.1,0.1,32,243,1,0,243,423,243,423,243,243,243,243,1.0,1.7407,1.0,1.7407,1.0,1.0,1.0,1.0,min_t_count,243,0,,0,and_gidneyx6,75,6,6,0,222
toffoli_ladder_n3_l2,toffoli,2,6,4096,rate0.2,0.2,32,128,1,0,128,218,128,218,128,128,128,128,1.0,1.7031,1.0,1.7031,1.0,1.0,1.0,1.0,min_t_count,128,0,,0,and_gidneyx6,75,6,6,0,107
toffoli_ladder_n3_l2,toffoli,2,6,4096,rate0.5,0.5,32,59,1,0,59,95,59,95,59,59,59,59,1.0,1.6102,1.0,1.6102,1.0,1.0,1.0,1.0,min_t_count,59,0,,0,and_gidneyx6,75,6,6,0,36
toffoli_ladder_n3_l2,toffoli,2,6,4096,rate1,1.0,32,38,1,0,38,54,38,54,38,38,38,38,1.0,1.4211,1.0,1.4211,1.0,1.0,1.0,1.0,min_t_count,38,0,,0,and_gidneyx6,75,6,6,0,13
toffoli_ladder_n3_l2,toffoli,2,6,4096,rate2,2.0,32,30,1,1,34,33,33,33,34,34,33,30,1.1333,1.1,1.1,1.1,1.1333,1.1333,1.1,1.0,min_t_depth,33,3,1.0,1,"and_gidneyx2,toffoli_d1x4",75,18,24,0,7
toffoli_ladder_n3_l2,toffoli,2,6,4096,rate4,4.0,32,29,1,1,33,30,30,30,30,33,30,29,1.1379,1.0345,1.0345,1.0345,1.0345,1.1379,1.0345,1.0,min_t_depth,30,1,1.0,1,"and_gidneyx1,toffoli_d1x5",93,21,24,13,8
toffoli_ladder_n3_l2,toffoli,2,6,4096,rate8,8.0,32,28,1,0,33,28,28,28,28,28,28,28,1.1786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,28,0,,0,toffoli_d1x6,57,24,24,86,7
toffoli_ladder_n3_l4,toffoli,4,12,16777216,rate0.1,0.1,32,483,0,0,483,843,483,843,483,483,483,483,1.0,1.7453,1.0,1.7453,1.0,1.0,1.0,1.0,min_t_count,483,0,,0,and_gidneyx12,147,12,12,0,462
toffoli_ladder_n3_l4,toffoli,4,12,16777216,rate0.2,0.2,32,248,0,0,248,428,248,428,248,248,248,248,1.0,1.7258,1.0,1.7258,1.0,1.0,1.0,1.0,min_t_count,248,0,,0,and_gidneyx12,147,12,12,0,227
toffoli_ladder_n3_l4,toffoli,4,12,16777216,rate0.5,0.5,32,107,0,0,107,179,107,179,107,107,107,107,1.0,1.6729,1.0,1.6729,1.0,1.0,1.0,1.0,min_t_count,107,0,,0,and_gidneyx12,147,12,12,0,86
toffoli_ladder_n3_l4,toffoli,4,12,16777216,rate1,1.0,32,60,0,0,60,96,60,96,60,60,60,60,1.0,1.6,1.0,1.6,1.0,1.0,1.0,1.0,min_t_count,60,0,,0,and_gidneyx12,147,12,12,0,37
toffoli_ladder_n3_l4,toffoli,4,12,16777216,rate2,2.0,32,38,0,1,38,54,38,54,38,38,38,38,1.0,1.4211,1.0,1.4211,1.0,1.0,1.0,1.0,min_t_count,38,0,,1,"and_gidneyx11,toffoli_d1x1",147,15,12,0,13
toffoli_ladder_n3_l4,toffoli,4,12,16777216,rate4,4.0,32,33,0,0,34,33,33,33,33,34,33,33,1.0303,1.0,1.0,1.0,1.0,1.0303,1.0,1.0,min_t_depth,33,0,,0,toffoli_d1x12,111,48,48,0,12
toffoli_ladder_n3_l4,toffoli,4,12,16777216,rate8,8.0,32,30,0,0,33,30,30,30,30,33,30,30,1.1,1.0,1.0,1.0,1.0,1.1,1.0,1.0,min_t_depth,30,0,,0,toffoli_d1x12,111,48,48,60,9
trotter_t2_l2_b32,trotter,2,4,625,rate0.1,0.1,32,1282,1,0,1282,2562,1282,2562,1282,1282,1282,1282,1.0,1.9984,1.0,1.9984,1.0,1.0,1.0,1.0,min_t_count,1282,0,,0,width1x4,67,0,0,0,1270
trotter_t2_l2_b32,trotter,2,4,625,rate0.2,0.2,32,647,1,0,647,1287,647,1287,647,647,647,647,1.0,1.9892,1.0,1.9892,1.0,1.0,1.0,1.0,min_t_count,647,0,,0,width1x4,67,0,0,0,635
trotter_t2_l2_b32,trotter,2,4,625,rate0.5,0.5,32,266,1,0,266,522,266,522,266,266,266,266,1.0,1.9624,1.0,1.9624,1.0,1.0,1.0,1.0,min_t_count,266,0,,0,width1x4,67,0,0,0,250
trotter_t2_l2_b32,trotter,2,4,625,rate1,1.0,32,143,1,0,143,267,143,267,171,143,143,143,1.0,1.8671,1.0,1.8671,1.1958,1.0,1.0,1.0,min_t_count,143,0,,0,width1x4,83,0,0,0,7
trotter_t2_l2_b32,trotter,2,4,625,rate2,2.0,32,95,1,0,142,139,139,139,107,95,95,95,1.4947,1.4632,1.4632,1.4632,1.1263,1.0,1.0,1.0,share_aware_greedy,95,0,,1,"width2x3,width4x1",83,10,64,0,22
trotter_t2_l2_b32,trotter,2,4,625,rate4,4.0,32,63,1,0,142,75,75,75,67,63,63,63,2.254,1.1905,1.1905,1.1905,1.0635,1.0,1.0,1.0,share_aware_greedy,63,0,,1,"width16x1,width4x3",83,28,64,0,22
trotter_t2_l2_b32,trotter,2,4,625,rate8,8.0,32,43,1,0,142,45,45,45,45,43,43,43,3.3023,1.0465,1.0465,1.0465,1.0465,1.0,1.0,1.0,share_aware_greedy,43,0,,1,"width16x2,width8x2",83,48,64,16,17
trotter_t4_l2_b32,trotter,4,8,390625,rate0.1,0.1,32,2562,0,0,2562,5122,2562,5122,2562,2562,2562,2562,1.0,1.9992,1.0,1.9992,1.0,1.0,1.0,1.0,min_t_count,2562,0,,0,width1x8,131,0,0,0,2550
trotter_t4_l2_b32,trotter,4,8,390625,rate0.2,0.2,32,1287,0,0,1287,2567,1287,2567,1287,1287,1287,1287,1.0,1.9946,1.0,1.9946,1.0,1.0,1.0,1.0,min_t_count,1287,0,,0,width1x8,131,0,0,0,1275
trotter_t4_l2_b32,trotter,4,8,390625,rate0.5,0.5,32,522,0,0,522,1034,522,1034,522,522,522,522,1.0,1.9808,1.0,1.9808,1.0,1.0,1.0,1.0,min_t_count,522,0,,0,width1x8,131,0,0,0,510
trotter_t4_l2_b32,trotter,4,8,390625,rate1,1.0,32,267,0,0,267,523,267,523,331,267,267,267,1.0,1.9588,1.0,1.9588,1.2397,1.0,1.0,1.0,min_t_count,267,0,,0,width1x8,163,0,0,0,251
trotter_t4_l2_b32,trotter,4,8,390625,rate2,2.0,32,143,0,0,143,267,143,267,203,143,143,143,1.0,1.8671,1.0,1.8671,1.4196,1.0,1.0,1.0,min_t_count,143,0,,0,width1x8,163,0,0,0,7
trotter_t4_l2_b32,trotter,4,8,390625,rate4,4.0,32,95,0,0,142,139,139,139,123,95,95,96,1.4947,1.4632,1.4632,1.4632,1.2947,1.0,1.0,1.0105,share_aware_greedy,95,0,,1,"width2x7,width8x1",163,22,128,0,30
trotter_t4_l2_b32,trotter,4,8,390625,rate8,8.0,32,63,0,0,142,77,77,77,77,63,63,65,2.254,1.2222,1.2222,1.2222,1.2222,1.0,1.0,1.0317,share_aware_greedy,63,0,,1,"width16x2,width4x6",163,56,128,16,30
trotter_t8_l2_b32,trotter,8,16,152587890625,rate0.1,0.1,32,5122,0,0,5122,10242,5122,10242,5122,5122,5122,5122,1.0,1.9996,1.0,1.9996,1.0,1.0,1.0,1.0,min_t_count,5122,0,,0,width1x16,259,0,0,0,5110
trotter_t8_l2_b32,trotter,8,16,152587890625,rate0.2,0.2,32,2567,0,0,2567,5127,2567,5127,2567,2567,2567,2567,1.0,1.9973,1.0,1.9973,1.0,1.0,1.0,1.0,min_t_count,2567,0,,0,width1x16,259,0,0,0,2555
trotter_t8_l2_b32,trotter,8,16,152587890625,rate0.5,0.5,32,1034,0,0,1034,2058,1034,2058,1034,1034,1034,1034,1.0,1.9903,1.0,1.9903,1.0,1.0,1.0,1.0,min_t_count,1034,0,,0,width1x16,259,0,0,0,1022
trotter_t8_l2_b32,trotter,8,16,152587890625,rate1,1.0,32,523,0,0,523,1035,523,1035,651,523,523,523,1.0,1.979,1.0,1.979,1.2447,1.0,1.0,1.0,min_t_count,523,0,,0,width1x16,323,0,0,0,511
