program,kernel,concurrency,decision_sites,assignment_space,regime,rate,buffer,reference,reference_exhaustive,reference_heterogeneous,makespan_min_t_count,makespan_min_t_depth,makespan_best_static,makespan_legacy_smooth,makespan_local_resource_greedy,makespan_share_aware_greedy,makespan_best_uniform,makespan_resource_aware,regret_min_t_count,regret_min_t_depth,regret_best_static,regret_legacy_smooth,regret_local_resource_greedy,regret_share_aware_greedy,regret_best_uniform,regret_resource_aware,strongest_baseline,strongest_baseline_makespan,headroom_available,headroom_captured,ours_heterogeneous,ours_profile,ours_cost_evaluations,ours_ancillas,best_static_ancillas,ours_overflow,ours_stalls
grover_c8_i2,grover,1,4,100,rate8,8.0,32,73,1,1,185,73,73,73,73,73,73,73,2.5342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,min_t_depth,73,0,,1,"treex2,width16x2",43,56,56,304,5
mixed_w32_c16_l1,mixed,1,3,60,rate0.1,0.1,32,2162,1,1,2162,3682,2162,3682,2162,2162,2162,2162,1.0,1.7031,1.0,1.7031,1.0,1.0,1.0,1.0,min_t_count,2162,0,,1,"ripplex1,treex1,width1x1",43,25,25,0,1913
mixed_w32_c16_l1,mixed,1,3,60,rate0.2,0.2,32,1087,1,1,1087,1847,1087,1847,1087,1087,1087,1087,1.0,1.6992,1.0,1.6992,1.0,1.0,1.0,1.0,min_t_count,1087,0,,1,"ripplex1,treex1,width1x1",43,25,25,0,838
mixed_w32_c16_l1,mixed,1,3,60,rate0.5,0.5,32,447,1,1,447,746,447,746,447,447,447,447,1.0,1.6689,1.0,1.6689,1.0,1.0,1.0,1.0,min_t_count,447,0,,1,"ripplex1,treex1,width1x1",43,25,25,0,198
mixed_w32_c16_l1,mixed,1,3,60,rate1,1.0,32,248,1,1,272,379,272,379,248,248,248,248,1.0968,1.5282,1.0968,1.5282,1.0,1.0,1.0,1.0,local_resource_greedy,248,0,,1,"ripplex1,treex1,width2x1",53,27,25,6,19
mixed_w32_c16_l1,mixed,1,3,60,rate2,2.0,32,191,1,1,261,195,195,202,198,198,191,191,1.3665,1.0209,1.0209,1.0576,1.0366,1.0366,1.0,1.0,best_uniform,191,0,,1,"blocked4x1,treex1,width8x1",63,56,64,0,138
mixed_w32_c16_l1,mixed,1,3,60,rate4,4.0,32,115,1,1,261,115,115,115,119,119,115,115,2.2696,1.0,1.0,1.0,1.0348,1.0348,1.0,1.0,min_t_depth,115,0,,1,"blocked4x1,treex1,width16x1",53,64,64,48,68
mixed_w32_c16_l1,mixed,1,3,60,rate8,8.0,32,96,1,1,261,96,96,97,96,96,96,96,2.7188,1.0,1.0,1.0104,1.0,1.0,1.0,1.0,min_t_depth,96,0,,1,"blocked4x1,treex1,width16x1",43,64,64,304,23
mixed_w32_c16_l2,mixed,2,6,3600,rate0.1,0.1,32,4322,1,1,4322,7362,4322,7362,4322,4322,4322,4322,1.0,1.7034,1.0,1.7034,1.0,1.0,1.0,1.0,min_t_count,4322,0,,1,"ripplex2,treex2,width1x2",83,50,50,0,4301
mixed_w32_c16_l2,mixed,2,6,3600,rate0.2,0.2,32,2167,1,1,2167,3687,2167,3687,2167,2167,2167,2167,1.0,1.7014,1.0,1.7014,1.0,1.0,1.0,1.0,min_t_count,2167,0,,1,"ripplex2,treex2,width1x2",83,50,50,0,2146
mixed_w32_c16_l2,mixed,2,6,3600,rate0.5,0.5,32,874,1,1,874,1482,874,1482,874,874,874,874,1.0,1.6957,1.0,1.6957,1.0,1.0,1.0,1.0,min_t_count,874,0,,1,"ripplex2,treex2,width1x2",83,50,50,0,848
mixed_w32_c16_l2,mixed,2,6,3600,rate1,1.0,32,448,1,1,448,747,448,747,459,448,448,448,1.0,1.6674,1.0,1.6674,1.0246,1.0,1.0,1.0,min_t_count,448,0,,1,"ripplex2,treex2,width1x2",103,50,50,0,303
mixed_w32_c16_l2,mixed,2,6,3600,rate2,2.0,32,264,1,1,288,379,288,379,363,264,264,264,1.0909,1.4356,1.0909,1.4356,1.375,1.0,1.0,1.0,share_aware_greedy,264,0,,1,"ripplex2,treex2,width2x2",103,54,50,44,43
mixed_w32_c16_l2,mixed,2,6,3600,rate4,4.0,32,196,1,1,269,200,200,207,196,198,196,196,1.3724,1.0204,1.0204,1.0561,1.0,1.0102,1.0,1.0,local_resource_greedy,196,0,,1,"blocked4x2,treex2,width8x2",83,112,128,20,153
mixed_w32_c16_l2,mixed,2,6,3600,rate8,8.0,32,121,1,1,263,121,121,123,121,121,121,121,2.1736,1.0,1.0,1.0165,1.0,1.0,1.0,1.0,min_t_depth,121,0,,1,"blocked4x2,treex2,width16x2",63,128,128,144,78
mixed_w32_c16_l4,mixed,4,12,12960000,rate0.1,0.1,32,8642,0,1,8642,14722,8642,14722,8642,8642,8642,8642,1.0,1.7035,1.0,1.7035,1.0,1.0,1.0,1.0,min_t_count,8642,0,,1,"ripplex4,treex4,width1x4",163,100,100,0,8621
mixed_w32_c16_l4,mixed,4,12,12960000,rate0.2,0.2,32,4327,0,1,4327,7367,4327,7367,4327,4327,4327,4327,1.0,1.7026,1.0,1.7026,1.0,1.0,1.0,1.0,min_t_count,4327,0,,1,"ripplex4,treex4,width1x4",163,100,100,0,4306
mixed_w32_c16_l4,mixed,4,12,12960000,rate0.5,0.5,32,1738,0,1,1738,2954,1738,2954,1738,1738,1738,1738,1.0,1.6997,1.0,1.6997,1.0,1.0,1.0,1.0,min_t_count,1738,0,,1,"ripplex4,treex4,width1x4",163,100,100,0,1716
mixed_w32_c16_l4,mixed,4,12,12960000,rate1,1.0,32,875,0,1,875,1483,875,1483,907,875,875,875,1.0,1.6949,1.0,1.6949,1.0366,1.0,1.0,1.0,min_t_count,875,0,,1,"ripplex4,treex4,width1x4",203,100,100,0,849
mixed_w32_c16_l4,mixed,4,12,12960000,rate2,2.0,32,448,0,1,448,747,448,747,715,448,448,448,1.0,1.6674,1.0,1.6674,1.596,1.0,1.0,1.0,min_t_count,448,0,,1,"ripplex4,treex4,width1x4",203,100,100,0,365
