key,code,d,n,code_k,p,p_ebit,ratio,strategy,k,rounds,ebit_pairs,teleports,time_rounds,detectors,shots,errors,ler,ci_low,ci_high,batches,hit_shot_limit,seconds,decoder,tmcbs_commit
SC5|p=0.001|r=10|R|k=4|rounds=0,SC5,5,25,1,0.001,0.01,10,R,4,0,100,0,16,408,80042,202,0.0025236750705879413,0.0019204917418355362,0.003241298318382849,3,False,680.3,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=3|R|k=4|rounds=0,SC5,5,25,1,0.001,0.003,3,R,4,0,100,0,16,408,146130,216,0.001478135906384726,0.0011353589269828236,0.0018837336618079791,4,False,968.79,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=1|R|k=4|rounds=0,SC5,5,25,1,0.001,0.001,1,R,4,0,100,0,16,408,191657,201,0.0010487485455788206,0.0007973619539072405,0.0013480332051529556,6,False,1197.61,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=3|R|k=4|rounds=0,SC5,5,25,1,0.002,0.006,3,R,4,0,100,0,16,408,18796,204,0.010853373058097467,0.008278889125345818,0.013906682272824005,4,False,576.56,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=30|R|k=4|rounds=0,SC5,5,25,1,0.002,0.06,30,R,4,0,100,0,16,408,3000,243,0.081,0.06376666666666667,0.10079999999999999,2,False,257.6,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=10|R|k=4|rounds=0,SC5,5,25,1,0.002,0.02,10,R,4,0,100,0,16,408,11028,218,0.019767863619876678,0.015234856728327893,0.02510246644903881,2,False,445.29,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=1|R|k=2|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.001,1,R,2,0,36,0,10,198,8021,289,0.03603042014711383,0.028821842663009602,0.04430370278020197,2,False,194.42,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
"[[18,4,4]] BB|p=0.001|r=10|R|k=2|rounds=0","[[18,4,4]] BB",4,18,4,0.001,0.01,10,R,2,0,36,0,10,198,4706,223,0.047386315342116445,0.036750956226094346,0.059791755206119845,2,False,141.09,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.002|r=1|R|k=4|rounds=0,SC5,5,25,1,0.002,0.002,1,R,4,0,100,0,16,408,43236,371,0.008580812286057915,0.00703510963086317,0.010335831251734666,2,False,1191.21,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
SC5|p=0.001|r=30|T|k=2|rounds=0,SC5,5,25,1,0.001,0.03,30,T,2,0,25,1,13,432,37930,203,0.0053519641444766675,0.004076983917743211,0.0068668600052728705,3,False,333.13,tesseract,c0490fa63965d8984cca89deb8826c19c46e8a3c
