workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,feasible
constructed_medium,medium_compressibility,0,24,smooth,2,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,2,4,73,73,0,1.0,4,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,2,4,81,81,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,2,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,2,8,73,73,0,1.0,4,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,2,8,81,81,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,2,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,2,12,73,73,0,1.0,4,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,2,12,81,81,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,2,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,3,0,73,74,1,1.0136986301369864,2,1,True
constructed_medium,medium_compressibility,0,24,capacity_aware,3,0,78,78,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,3,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,3,4,73,73,0,1.0,2,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,3,4,78,78,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,3,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,3,8,73,73,0,1.0,2,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,3,8,78,78,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,3,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,3,12,73,73,0,1.0,2,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,3,12,78,78,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,3,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,4,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,4,0,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,4,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,4,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,4,4,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,4,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,4,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,4,8,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,4,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,4,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,4,12,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,4,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,5,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,5,0,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,5,0,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,5,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,5,4,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,5,4,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,5,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,5,8,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,5,8,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,static,5,12,73,73,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,capacity_aware,5,12,75,75,0,1.0,0,0,True
constructed_medium,medium_compressibility,0,24,smooth,5,12,73,73,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,1,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,1,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,1,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,1,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,1,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,1,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,1,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,1,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,1,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,1,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,1,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,1,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,2,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,2,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,2,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,2,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,2,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,2,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,2,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,2,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,2,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,2,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,2,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,2,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,3,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,3,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,3,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,3,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,3,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,3,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,3,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,3,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,3,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,3,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,3,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,3,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,4,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,4,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,4,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,4,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,4,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,4,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,4,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,4,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,4,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,4,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,4,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,4,12,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,5,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,5,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,5,0,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,5,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,5,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,5,4,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,static,5,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,capacity_aware,5,8,110,110,0,1.0,0,0,True
constructed_low,low_compressibility,0,24,smooth,5,8,110,110,0,1.0,0,0,True
