workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown,Delta_max,L_backlog,static_depth_penalty,Delta_reduction_vs_static,Texe_reduction_vs_static,Delta_reduction_vs_smooth,Texe_reduction_vs_smooth,Delta_reduction_vs_ca,Texe_reduction_vs_ca
constructed_high,high_compressibility,0,24,delivery_aware,3,4,80,81,1,1.0125,7,11,1.0,0.8727272727272727,0.16494845360824742,0.0,-0.0125,0.0,0.19
constructed_high,high_compressibility,0,24,static,3,8,80,96,16,1.2,55,17,1.0,0.0,0.0,0.0,-0.2,0.0,0.04
constructed_high,high_compressibility,0,24,capacity_aware,3,8,100,100,0,1.0,0,0,1.25,1.0,-0.041666666666666664,0.0,-0.25,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,3,8,80,80,0,1.0,0,0,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.2
constructed_high,high_compressibility,0,24,delivery_aware,3,8,80,81,1,1.0125,11,12,1.0,0.8,0.15625,0.0,-0.0125,0.0,0.19
constructed_high,high_compressibility,0,24,static,3,12,80,95,15,1.1875,55,15,1.0,0.0,0.0,0.0,-0.1875,0.0,0.05
constructed_high,high_compressibility,0,24,capacity_aware,3,12,100,100,0,1.0,0,0,1.25,1.0,-0.05263157894736842,0.0,-0.25,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,3,12,80,80,0,1.0,0,0,1.0,1.0,0.15789473684210525,0.0,0.0,0.0,0.2
constructed_high,high_compressibility,0,24,delivery_aware,3,12,80,81,1,1.0125,15,8,1.0,0.7272727272727273,0.14736842105263157,0.0,-0.0125,0.0,0.19
constructed_high,high_compressibility,0,24,static,4,0,80,94,14,1.175,53,14,1.0,0.0,0.0,0.0,-0.175,0.0,0.010526315789473684
constructed_high,high_compressibility,0,24,capacity_aware,4,0,95,95,0,1.0,0,0,1.1875,1.0,-0.010638297872340425,0.0,-0.1875,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,4,0,80,80,0,1.0,0,0,1.0,1.0,0.14893617021276595,0.0,0.0,0.0,0.15789473684210525
constructed_high,high_compressibility,0,24,delivery_aware,4,0,80,80,0,1.0,0,0,1.0,1.0,0.14893617021276595,0.0,0.0,0.0,0.15789473684210525
constructed_high,high_compressibility,0,24,static,4,4,80,93,13,1.1625,53,13,1.0,0.0,0.0,0.0,-0.1625,0.0,0.021052631578947368
constructed_high,high_compressibility,0,24,capacity_aware,4,4,95,95,0,1.0,0,0,1.1875,1.0,-0.021505376344086023,0.0,-0.1875,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,4,4,80,80,0,1.0,0,0,1.0,1.0,0.13978494623655913,0.0,0.0,0.0,0.15789473684210525
constructed_high,high_compressibility,0,24,delivery_aware,4,4,80,81,1,1.0125,8,5,1.0,0.8490566037735849,0.12903225806451613,0.0,-0.0125,0.0,0.14736842105263157
constructed_high,high_compressibility,0,24,static,4,8,80,92,12,1.15,53,12,1.0,0.0,0.0,0.0,-0.15,0.0,0.031578947368421054
constructed_high,high_compressibility,0,24,capacity_aware,4,8,95,95,0,1.0,0,0,1.1875,1.0,-0.03260869565217391,0.0,-0.1875,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,4,8,80,80,0,1.0,0,0,1.0,1.0,0.13043478260869565,0.0,0.0,0.0,0.15789473684210525
constructed_high,high_compressibility,0,24,delivery_aware,4,8,80,81,1,1.0125,12,6,1.0,0.7735849056603774,0.11956521739130435,0.0,-0.0125,0.0,0.14736842105263157
constructed_high,high_compressibility,0,24,static,4,12,80,91,11,1.1375,53,11,1.0,0.0,0.0,0.0,-0.1375,0.0,0.042105263157894736
