workload,family,seed,n,schedule,B,epsilon,C_star,achieved_slowdown,T_static_at_C_star,T_exe_at_C_star
constructed_low,low_compressibility,0,24,static,8,0.05,1,1.0,110,110
constructed_low,low_compressibility,0,24,capacity_aware,8,0.05,1,1.0,110,110
constructed_low,low_compressibility,0,24,smooth,8,0.05,1,1.0,110,110
constructed_low,low_compressibility,0,24,delivery_aware,8,0.05,1,1.0,110,110
constructed_low,low_compressibility,0,24,static,8,0.1,1,1.0,110,110
constructed_low,low_compressibility,0,24,capacity_aware,8,0.1,1,1.0,110,110
constructed_low,low_compressibility,0,24,smooth,8,0.1,1,1.0,110,110
constructed_low,low_compressibility,0,24,delivery_aware,8,0.1,1,1.0,110,110
constructed_low,low_compressibility,0,24,static,12,0.05,1,1.0,110,110
constructed_low,low_compressibility,0,24,capacity_aware,12,0.05,1,1.0,110,110
constructed_low,low_compressibility,0,24,smooth,12,0.05,1,1.0,110,110
constructed_low,low_compressibility,0,24,delivery_aware,12,0.05,1,1.0,110,110
constructed_low,low_compressibility,0,24,static,12,0.1,1,1.0,110,110
constructed_low,low_compressibility,0,24,capacity_aware,12,0.1,1,1.0,110,110
constructed_low,low_compressibility,0,24,smooth,12,0.1,1,1.0,110,110
constructed_low,low_compressibility,0,24,delivery_aware,12,0.1,1,1.0,110,110
constructed_high,high_compressibility,1,24,static,0,0.05,,,,
constructed_high,high_compressibility,1,24,capacity_aware,0,0.05,1,1.0,133,133
constructed_high,high_compressibility,1,24,smooth,0,0.05,1,1.0,76,76
constructed_high,high_compressibility,1,24,delivery_aware,0,0.05,1,1.0,76,76
constructed_high,high_compressibility,1,24,static,0,0.1,7,1.0921052631578947,76,83
constructed_high,high_compressibility,1,24,capacity_aware,0,0.1,1,1.0,133,133
constructed_high,high_compressibility,1,24,smooth,0,0.1,1,1.0,76,76
constructed_high,high_compressibility,1,24,delivery_aware,0,0.1,1,1.0,76,76
constructed_high,high_compressibility,1,24,static,4,0.05,,,,
constructed_high,high_compressibility,1,24,capacity_aware,4,0.05,1,1.0,133,133
constructed_high,high_compressibility,1,24,smooth,4,0.05,1,1.0,76,76
constructed_high,high_compressibility,1,24,delivery_aware,4,0.05,1,1.013157894736842,76,77
constructed_high,high_compressibility,1,24,static,4,0.1,6,1.0921052631578947,76,83
constructed_high,high_compressibility,1,24,capacity_aware,4,0.1,1,1.0,133,133
constructed_high,high_compressibility,1,24,smooth,4,0.1,1,1.0,76,76
constructed_high,high_compressibility,1,24,delivery_aware,4,0.1,1,1.013157894736842,76,77
constructed_high,high_compressibility,1,24,static,8,0.05,10,1.0394736842105263,76,79
constructed_high,high_compressibility,1,24,capacity_aware,8,0.05,1,1.0,133,133
constructed_high,high_compressibility,1,24,smooth,8,0.05,1,1.0,76,76
constructed_high,high_compressibility,1,24,delivery_aware,8,0.05,1,1.013157894736842,76,77
constructed_high,high_compressibility,1,24,static,8,0.1,6,1.0921052631578947,76,83
constructed_high,high_compressibility,1,24,capacity_aware,8,0.1,1,1.0,133,133
constructed_high,high_compressibility,1,24,smooth,8,0.1,1,1.0,76,76
constructed_high,high_compressibility,1,24,delivery_aware,8,0.1,1,1.013157894736842,76,77
constructed_high,high_compressibility,1,24,static,12,0.05,10,1.0394736842105263,76,79
constructed_high,high_compressibility,1,24,capacity_aware,12,0.05,1,1.0,133,133
constructed_high,high_compressibility,1,24,smooth,12,0.05,1,1.0,76,76
constructed_high,high_compressibility,1,24,delivery_aware,12,0.05,1,1.013157894736842,76,77
constructed_high,high_compressibility,1,24,static,12,0.1,6,1.0789473684210527,76,82
constructed_high,high_compressibility,1,24,capacity_aware,12,0.1,1,1.0,133,133
constructed_high,high_compressibility,1,24,smooth,12,0.1,1,1.0,76,76
constructed_high,high_compressibility,1,24,delivery_aware,12,0.1,1,1.013157894736842,76,77
constructed_medium,medium_compressibility,1,24,static,0,0.05,2,1.0410958904109588,73,76
constructed_medium,medium_compressibility,1,24,capacity_aware,0,0.05,1,1.0,100,100
constructed_medium,medium_compressibility,1,24,smooth,0,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,delivery_aware,0,0.05,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,static,0,0.1,2,1.0410958904109588,73,76
constructed_medium,medium_compressibility,1,24,capacity_aware,0,0.1,1,1.0,100,100
constructed_medium,medium_compressibility,1,24,smooth,0,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,delivery_aware,0,0.1,2,1.0,73,73
constructed_medium,medium_compressibility,1,24,static,4,0.05,2,1.0136986301369864,73,74
constructed_medium,medium_compressibility,1,24,capacity_aware,4,0.05,1,1.0,100,100
