workload,family,seed,n,schedule,C,B,T_static,T_exe,stall_cycles,slowdown_vs_own_static,ratio_to_T_ref_asap,Delta_max,L_backlog,max_backlog,mean_backlog,static_depth_penalty_vs_static,Texe_reduction_vs_static,Texe_reduction_vs_smooth,Texe_reduction_vs_ca,Texe_reduction_vs_DA_v1,Delta_reduction_vs_static,Delta_reduction_vs_smooth,Delta_reduction_vs_ca,Delta_reduction_vs_DA_v1,stall_reduction_vs_static,stall_reduction_vs_smooth,stall_reduction_vs_ca,stall_reduction_vs_DA_v1,Lbacklog_reduction_vs_static,Lbacklog_reduction_vs_smooth,Lbacklog_reduction_vs_ca,Lbacklog_reduction_vs_DA_v1
constructed_high,high_compressibility,0,24,capacity_aware,2,0,110,110,0,1.0,1.375,0,0,0,0.0,1.375,-0.009174311926605505,-0.375,0.0,-0.375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,2,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.26605504587155965,0.0,0.2727272727272727,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,2,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.26605504587155965,0.0,0.2727272727272727,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.26605504587155965,0.0,0.2727272727272727,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,static,2,4,80,107,27,1.3375,1.3375,57,29,53,9.6375,1.0,0.0,-0.3375,0.02727272727272727,-0.32098765432098764,0.0,0.0,0.0,-8.5,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,-0.2608695652173913
constructed_high,high_compressibility,0,24,capacity_aware,2,4,110,110,0,1.0,1.375,0,0,0,0.0,1.375,-0.028037383177570093,-0.375,0.0,-0.35802469135802467,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,2,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.2523364485981308,0.0,0.2727272727272727,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,2,4,80,81,1,1.0125,1.0125,6,23,2,0.55,1.0,0.24299065420560748,-0.0125,0.2636363636363636,0.0,0.8947368421052632,0.0,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.20689655172413793,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.2523364485981308,0.0,0.2727272727272727,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,2,8,80,105,25,1.3125,1.3125,57,26,49,8.25,1.0,0.0,-0.3125,0.045454545454545456,-0.2962962962962963,0.0,0.0,0.0,-4.7,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,-0.23809523809523808
constructed_high,high_compressibility,0,24,capacity_aware,2,8,110,110,0,1.0,1.375,0,0,0,0.0,1.375,-0.047619047619047616,-0.375,0.0,-0.35802469135802467,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,2,8,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.23809523809523808,0.0,0.2727272727272727,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,2,8,80,81,1,1.0125,1.0125,10,21,2,0.525,1.0,0.22857142857142856,-0.0125,0.2636363636363636,0.0,0.8245614035087719,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,8,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.23809523809523808,0.0,0.2727272727272727,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,2,12,80,103,23,1.2875,1.2875,57,24,45,6.975,1.0,0.0,-0.2875,0.06363636363636363,-0.2716049382716049,0.0,0.0,0.0,-3.0714285714285716,0.0,0.0,0.0,-22.0,0.0,0.0,0.0,-0.4117647058823529
constructed_high,high_compressibility,0,24,capacity_aware,2,12,110,110,0,1.0,1.375,0,0,0,0.0,1.375,-0.06796116504854369,-0.375,0.0,-0.35802469135802467,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,2,12,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.22330097087378642,0.0,0.2727272727272727,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,2,12,80,81,1,1.0125,1.0125,14,17,2,0.425,1.0,0.21359223300970873,-0.0125,0.2636363636363636,0.0,0.7543859649122807,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,2,12,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.22330097087378642,0.0,0.2727272727272727,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,3,0,80,99,19,1.2375,1.2375,55,19,55,6.8625,1.0,0.0,-0.2375,0.01,-0.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,capacity_aware,3,0,100,100,0,1.0,1.25,0,0,0,0.0,1.25,-0.010101010101010102,-0.25,0.0,-0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,3,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.1919191919191919,0.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,3,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.1919191919191919,0.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,3,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.1919191919191919,0.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,static,3,4,80,97,17,1.2125,1.2125,55,18,51,5.925,1.0,0.0,-0.2125,0.03,-0.19753086419753085,0.0,0.0,0.0,-6.857142857142857,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,-0.6363636363636364
constructed_high,high_compressibility,0,24,capacity_aware,3,4,100,100,0,1.0,1.25,0,0,0,0.0,1.25,-0.030927835051546393,-0.25,0.0,-0.2345679012345679,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,3,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.17525773195876287,0.0,0.2,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,3,4,80,81,1,1.0125,1.0125,7,11,3,0.3625,1.0,0.16494845360824742,-0.0125,0.19,0.0,0.8727272727272727,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,3,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.17525773195876287,0.0,0.2,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,3,8,80,96,16,1.2,1.2,55,17,47,5.05,1.0,0.0,-0.2,0.04,-0.18518518518518517,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,-0.4166666666666667
constructed_high,high_compressibility,0,24,capacity_aware,3,8,100,100,0,1.0,1.25,0,0,0,0.0,1.25,-0.041666666666666664,-0.25,0.0,-0.2345679012345679,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,3,8,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.16666666666666666,0.0,0.2,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,3,8,80,81,1,1.0125,1.0125,11,12,3,0.4,1.0,0.15625,-0.0125,0.19,0.0,0.8,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,3,8,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.16666666666666666,0.0,0.2,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,3,12,80,95,15,1.1875,1.1875,55,15,43,4.2375,1.0,0.0,-0.1875,0.05,-0.1728395061728395,0.0,0.0,0.0,-2.6666666666666665,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-0.875
constructed_high,high_compressibility,0,24,capacity_aware,3,12,100,100,0,1.0,1.25,0,0,0,0.0,1.25,-0.05263157894736842,-0.25,0.0,-0.2345679012345679,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,3,12,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.15789473684210525,0.0,0.2,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,3,12,80,81,1,1.0125,1.0125,15,8,3,0.275,1.0,0.14736842105263157,-0.0125,0.19,0.0,0.7272727272727273,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,3,12,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.15789473684210525,0.0,0.2,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,4,0,80,94,14,1.175,1.175,53,14,53,4.8125,1.0,0.0,-0.175,0.010526315789473684,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,capacity_aware,4,0,95,95,0,1.0,1.1875,0,0,0,0.0,1.1875,-0.010638297872340425,-0.1875,0.0,-0.1875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,smooth,4,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.14893617021276595,0.0,0.15789473684210525,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,4,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.14893617021276595,0.0,0.15789473684210525,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,4,0,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.14893617021276595,0.0,0.15789473684210525,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,static,4,4,80,93,13,1.1625,1.1625,53,13,49,4.1375,1.0,0.0,-0.1625,0.021052631578947368,-0.14814814814814814,0.0,0.0,0.0,-5.625,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-1.6
constructed_high,high_compressibility,0,24,capacity_aware,4,4,95,95,0,1.0,1.1875,0,0,0,0.0,1.1875,-0.021505376344086023,-0.1875,0.0,-0.1728395061728395,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,4,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.13978494623655913,0.0,0.15789473684210525,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,4,4,80,81,1,1.0125,1.0125,8,5,4,0.15,1.0,0.12903225806451613,-0.0125,0.14736842105263157,0.0,0.8490566037735849,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,4,4,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.13978494623655913,0.0,0.15789473684210525,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,4,8,80,92,12,1.15,1.15,53,12,45,3.5125,1.0,0.0,-0.15,0.031578947368421054,-0.13580246913580246,0.0,0.0,0.0,-3.4166666666666665,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,-1.0
constructed_high,high_compressibility,0,24,capacity_aware,4,8,95,95,0,1.0,1.1875,0,0,0,0.0,1.1875,-0.03260869565217391,-0.1875,0.0,-0.1728395061728395,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,4,8,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.13043478260869565,0.0,0.15789473684210525,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,4,8,80,81,1,1.0125,1.0125,12,6,4,0.25,1.0,0.11956521739130435,-0.0125,0.14736842105263157,0.0,0.7735849056603774,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0
constructed_high,high_compressibility,0,24,delivery_aware_v2,4,8,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.13043478260869565,0.0,0.15789473684210525,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,static,4,12,80,91,11,1.1375,1.1375,53,11,41,2.9375,1.0,0.0,-0.1375,0.042105263157894736,-0.12345679012345678,0.0,0.0,0.0,-2.3125,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,-2.6666666666666665
constructed_high,high_compressibility,0,24,capacity_aware,4,12,95,95,0,1.0,1.1875,0,0,0,0.0,1.1875,-0.04395604395604396,-0.1875,0.0,-0.1728395061728395,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,smooth,4,12,80,80,0,1.0,1.0,0,0,0,0.0,1.0,0.12087912087912088,0.0,0.15789473684210525,0.012345679012345678,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
constructed_high,high_compressibility,0,24,delivery_aware_v1,4,12,80,81,1,1.0125,1.0125,16,3,4,0.1,1.0,0.10989010989010989,-0.0125,0.14736842105263157,0.0,0.6981132075471698,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0
