trial,match_rate,mean_regret,median_regret,p95_regret,nontrivial_match_rate,nontrivial_mean_regret,nontrivial_median_regret,nontrivial_p95_regret,excluding_ties_match_rate,excluding_ties_mean_regret,excluding_ties_median_regret,excluding_ties_p95_regret,num_cases,num_nontrivial_cases,num_unique_best_cases
0,0.8475274725274725,0.8198824686848812,0.0,2.805,0.5452674897119342,2.4557194313497046,0.0,9.88054054054054,0.05405405405405406,10.466211615611021,1.821173780487805,47.70258064516129,1456,486,74
1,0.8461538461538461,0.9348897872978633,0.0,2.9625000000000004,0.5432098765432098,2.799625101926869,0.0,8.994736842105263,0.06756756756756757,12.612600840923728,2.4372207958921694,83.2,1456,486,74
2,0.8461538461538461,0.9430609505098535,0.0,3.121818181818182,0.5432098765432098,2.824193996715813,0.0,11.871428571428572,0.06756756756756757,11.792715695020604,1.7276315789473684,75.1290243902439,1456,486,74
3,0.8509615384615384,0.9206718713144525,0.0,3.195161290322581,0.5555555555555556,2.7576728680341813,0.0,11.3275,0.02702702702702703,11.551839354565761,2.0175986842105265,48.65560975609756,1456,486,74
4,0.8447802197802198,0.8444628042752036,0.0,2.966842105263158,0.5390946502057613,2.5288053117000717,0.0,11.3275,0.05405405405405406,10.215235234044941,1.1697619047619048,75.1290243902439,1456,486,74
5,0.8434065934065934,1.0348524365564782,0.0,3.124210526315789,0.5329218106995884,3.099744684890949,0.0,8.65,0.08108108108108109,14.651066657404343,2.0175986842105265,83.2,1456,486,74
6,0.8509615384615384,0.939155436531498,0.0,2.605,0.5555555555555556,2.8130474996309265,0.0,10.47857142857143,0.08108108108108109,12.555468621110702,0.894736842105263,78.31341463414635,1456,486,74
7,0.8516483516483516,0.7427720394233163,0.0,2.605,0.5596707818930041,2.2241514976582035,0.0,8.957073170731707,0.04054054054054054,9.39926014561103,1.4838709677419355,46.450322580645164,1456,486,74
8,0.8605769230769231,0.9040598609051557,0.0,2.6054794520547944,0.5864197530864198,2.7072621948738185,0.0,10.42,0.05405405405405406,12.19755053139448,1.587826420890937,75.1290243902439,1456,486,74
9,0.8489010989010989,0.9700707212623356,0.0,2.555844155844156,0.5493827160493827,2.9056661304294855,0.0,9.88054054054054,0.013513513513513514,13.371682606691097,1.4838709677419355,83.2,1456,486,74
10,0.8495879120879121,1.0287415252044714,0.0,3.2039024390243904,0.5555555555555556,3.08024012172685,0.0,12.97162162162162,0.05405405405405406,13.745547524374597,2.0406848030018763,72.01463414634148,1456,486,74
11,0.8550824175824175,0.7198432449298814,0.0,2.4573684210526316,0.5720164609053497,2.154816467241658,0.0,7.419677419354839,0.08108108108108109,8.772710288509959,1.4838709677419355,26.989032258064515,1456,486,74
12,0.853021978021978,0.8167691359532797,0.0,2.492857142857143,0.5617283950617284,2.4463032138847227,0.0,7.5875,0.013513513513513514,11.026805214740948,1.4943164362519201,50.28780487804878,1456,486,74
