policy,workload,family,seed,n,C,B,outcome_blind_regime_label,v4_regime_label,chosen_strategy,oracle_strategy,match,unique_best,nontrivial,chosen_score,oracle_score,regret
always_smooth,constructed_high,high_compressibility,0,24,5,12,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,5,16,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,5,24,peak_dominated_smooth_solvable,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,6,0,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,6,2,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,6,4,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,6,8,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,6,12,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,6,16,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,6,24,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,7,0,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,7,2,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,7,4,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,7,8,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,7,12,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,7,16,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,7,24,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,8,0,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,8,2,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,8,4,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,8,8,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,8,12,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,8,16,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_high,high_compressibility,0,24,8,24,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_medium,medium_compressibility,0,24,1,0,peak_dominated_buffer_limited,peak_dominated_buffer_limited,smooth,increase_B,0,0,1,3.311780821917808,1.0,2.311780821917808
always_smooth,constructed_medium,medium_compressibility,0,24,1,2,peak_dominated_buffer_limited,peak_dominated_buffer_limited,smooth,increase_B,0,0,1,2.7043835616438354,1.0,1.7043835616438354
always_smooth,constructed_medium,medium_compressibility,0,24,1,4,peak_dominated_buffer_limited,peak_dominated_buffer_limited,smooth,increase_B,0,0,1,2.1869863013698634,1.0,1.1869863013698634
always_smooth,constructed_medium,medium_compressibility,0,24,1,8,peak_dominated_smooth_solvable,peak_dominated_buffer_limited,smooth,increase_B,0,0,1,1.422191780821918,1.0,0.422191780821918
always_smooth,constructed_medium,medium_compressibility,0,24,1,12,peak_dominated_smooth_solvable,peak_dominated_buffer_limited,smooth,increase_B,0,0,1,1.0573972602739727,1.0,0.05739726027397274
always_smooth,constructed_medium,medium_compressibility,0,24,1,16,peak_dominated_smooth_solvable,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_medium,medium_compressibility,0,24,1,24,peak_dominated_smooth_solvable,no_delivery_bottleneck,smooth,DA_v2,1,0,0,1.0,1.0,0.0
always_smooth,constructed_medium,medium_compressibility,0,24,2,0,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
always_smooth,constructed_medium,medium_compressibility,0,24,2,2,peak_dominated_buffer_limited,peak_dominated_smooth_solvable,smooth,DA_v2,1,0,1,1.0,1.0,0.0
