policy,match_rate,mean_regret,median_regret,p95_regret,nontrivial_match_rate,nontrivial_mean_regret,nontrivial_median_regret,nontrivial_p95_regret,excluding_ties_match_rate,excluding_ties_mean_regret,excluding_ties_median_regret,excluding_ties_p95_regret,num_cases,num_nontrivial_cases,num_unique_best_cases
always_smooth,0.9100274725274725,0.1817051347124487,0.0,0.9606849315068493,0.7366255144032922,0.5426166967137115,0.0,2.9796774193548385,0.0,2.659540758468664,1.5123809523809524,8.957073170731707,1456,486,74
always_increase_B,0.9471153846153846,0.051847987767992716,0.0,0.1578947368421053,0.8477366255144033,0.15357964743155528,0.0,1.0073170731707317,0.0,1.008644711509944,0.6904761904761905,3.2039024390243904,1456,486,74
always_increase_C,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1456,486,74
random,0.8427197802197802,0.5514840529189389,0.0,1.3243835616438355,0.5843621399176955,1.6486556988370433,0.0,4.967894736842106,0.20270270270270271,7.251984936355408,0.6904761904761905,40.7690243902439,1456,486,74
regime_aware,0.989010989010989,0.003614370605799248,0.0,0.0,0.9670781893004116,0.01082823786428746,0.0,0.0,1.0,0.0,0.0,0.0,1456,486,74
oracle,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1456,486,74
