feature_variant,match_rate,mean_regret,median_regret,p95_regret,nontrivial_match_rate,nontrivial_mean_regret,nontrivial_median_regret,nontrivial_p95_regret,excluding_ties_match_rate,excluding_ties_mean_regret,excluding_ties_median_regret,excluding_ties_p95_regret,num_cases,num_nontrivial_cases,num_unique_best_cases
full,0.989010989010989,0.003614370605799248,0.0,0.0,0.9670781893004116,0.01082823786428746,0.0,0.0,1.0,0.0,0.0,0.0,1456,486,74
no_slack,0.989010989010989,0.003614370605799248,0.0,0.0,0.9670781893004116,0.01082823786428746,0.0,0.0,1.0,0.0,0.0,0.0,1456,486,74
no_demand,0.9532967032967034,0.04964805299596721,0.0,0.0,0.8662551440329218,0.14698889634499326,0.0,1.1869863013698634,0.8513513513513513,0.06122844793897426,0.0,0.3125,1456,486,74
no_delivery,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1456,486,74
no_backlog,0.989010989010989,0.003614370605799248,0.0,0.0,0.9670781893004116,0.01082823786428746,0.0,0.0,1.0,0.0,0.0,0.0,1456,486,74
slack_only,0.9100274725274725,0.1817051347124487,0.0,0.9606849315068493,0.7366255144032922,0.5426166967137115,0.0,2.9796774193548385,0.0,2.659540758468664,1.5123809523809524,8.957073170731707,1456,486,74
supply_only,0.7967032967032966,0.3914997736739048,0.0,2.605,0.39094650205761317,1.1728882108419865,0.33921736158578264,4.952500000000001,1.0,0.0,0.0,0.0,1456,486,74
peak_only,0.9471153846153846,0.051847987767992716,0.0,0.1578947368421053,0.8477366255144033,0.15357964743155528,0.0,1.0073170731707317,0.0,1.008644711509944,0.6904761904761905,3.2039024390243904,1456,486,74
buffer_only,0.9093406593406593,0.8061645762849489,0.0,1.6115789473684208,0.7283950617283951,2.415176179158201,0.0,9.386493506493508,0.0,12.430608429310627,1.6763748079877114,72.01463414634148,1456,486,74
