workload,source,family,role,machine,model,tiles,ccz_share,regime,decision_sites,stages,max_stage_width,wide_stage_fraction,consuming_families,mix_drift,alternation_rate,t_rate,ccz_rate,factory_tiles,makespan_fixed_t,makespan_fixed_ccz,makespan_uniform_oracle,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_best_simple,best_simple_policy,makespan_best_non_stateful,best_non_stateful_policy,makespan_stagedp,seconds_stagedp,makespan_oracle,oracle_status,oracle_seconds,oracle_simulations,lower_bound,headroom_vs_best_non_stateful,residual_headroom_vs_stagedp,max_possible_headroom_vs_stagedp,oracle_heterogeneity,stagedp_heterogeneity,oracle_t_stalls,oracle_ccz_stalls,oracle_t_waste,oracle_ccz_waste,stagedp_t_stalls,stagedp_ccz_stalls,stagedp_t_waste,stagedp_ccz_waste,oracle_space_time,stagedp_space_time,policy_seconds_total,model,tiles,regime
qt_qrom16x5,qualtran,lookup,control,C_800_0.5,C,800,0.5,standard,14,14,1,0.0,1,0.0,0.0,2.5455,0.6667,788,168,137,137,137,137,137,137,137,168,137,uniform_min_teq,137,fixed_ccz,137,0.146,137,bounded,31.108,5412,132.0,0.0,0.0,0.0365,0.0,0.0,0,4,0,0,0,4,0,0,107956,107956,0.843,C,800,standard
qb_multiplier_n15,qasmbench,multiplier,target,A_400_0.5,A,400,0.5,standard,18,10,3,0.5,1,0.0,0.0,1.6364,0.5,414,116,91,91,91,91,91,91,91,116,91,uniform_min_teq,91,fixed_ccz,91,0.173,91,bounded,30.231,22959,88.0,0.0,0.0,0.033,0.0,0.0,0,2,101,0,0,2,101,0,37674,37674,0.117,A,400,standard
qb_multiplier_n15,qasmbench,multiplier,target,A_800_0.5,A,800,0.5,standard,18,10,3,0.5,1,0.0,0.0,3.2727,1.0,828,116,91,91,91,91,91,91,91,116,91,uniform_min_teq,91,fixed_ccz,91,0.181,91,bounded,30.289,19583,88.0,0.0,0.0,0.033,0.0,0.0,0,2,234,36,0,2,234,36,75348,75348,0.149,A,800,standard
qb_multiplier_n15,qasmbench,multiplier,target,B_400_0.5,B,400,0.5,standard,18,10,3,0.5,1,0.0,0.0,1.2727,0.3333,386,120,96,96,96,96,96,96,96,120,96,uniform_min_teq,96,fixed_ccz,96,0.222,95,bounded,30.779,8588,88.0,0.0104,0.0104,0.0833,0.0556,0.0,0,6,0,0,0,9,0,0,36670,37056,0.42,B,400,standard
qb_multiplier_n15,qasmbench,multiplier,target,C_400_0.5,C,400,0.5,standard,18,10,3,0.5,1,0.0,0.0,1.2727,0.3333,394,116,96,96,96,96,96,96,96,116,96,uniform_min_teq,96,fixed_ccz,96,0.233,95,bounded,30.756,8458,88.0,0.0104,0.0104,0.0833,0.0556,0.0,0,6,0,0,0,10,0,0,37430,37824,0.42,C,400,standard
qb_multiplier_n15,qasmbench,multiplier,target,C_800_0.5,C,800,0.5,standard,18,10,3,0.5,1,0.0,0.0,2.5455,0.6667,788,116,93,93,93,93,93,93,93,116,93,uniform_min_teq,93,fixed_ccz,93,0.237,93,bounded,31.174,5347,88.0,0.0,0.0,0.0538,0.0,0.0,0,4,0,0,0,4,0,0,73284,73284,0.711,C,800,standard
qmpa_draper16,qmpa,parallel_adder,target,A_400_0.5,A,400,0.5,standard,16,1,16,1.0,1,0.0,0.0,1.6364,0.5,414,54,40,40,40,40,30,40,40,54,30,two_term_descent,30,two_term_descent,30,0.018,30,bounded,30.188,24043,20.0,0.0,0.0,0.3333,0.3125,0.3125,19,23,0,0,19,23,0,0,12420,12420,0.098,A,400,standard
qmpa_draper16,qmpa,parallel_adder,target,A_800_0.5,A,800,0.5,standard,16,1,16,1.0,1,0.0,0.0,3.2727,1.0,828,35,26,26,26,26,22,26,26,35,22,two_term_descent,22,two_term_descent,22,0.02,22,bounded,30.214,21299,14.0,0.0,0.0,0.3636,0.25,0.3125,11,14,0,0,13,13,0,0,18216,18216,0.116,A,800,standard
qmpa_draper16,qmpa,parallel_adder,target,B_400_0.5,B,400,0.5,standard,16,1,16,1.0,1,0.0,0.0,1.2727,0.3333,386,67,57,57,57,57,39,57,57,67,39,two_term_descent,39,two_term_descent,39,0.038,39,bounded,30.528,9107,8.0,0.0,0.0,0.7949,0.375,0.375,29,30,0,0,29,30,0,0,15054,15054,0.291,B,400,standard
qmpa_draper16,qmpa,parallel_adder,target,C_400_0.5,C,400,0.5,standard,16,1,16,1.0,1,0.0,0.0,1.2727,0.3333,394,64,57,57,57,57,42,57,57,64,42,two_term_descent,42,two_term_descent,39,0.037,39,bounded,30.537,8985,8.0,0.0714,0.0,0.7949,0.375,0.375,28,31,0,0,28,31,0,0,15366,15366,0.296,C,400,standard
