workload,source,family,role,machine,model,tiles,ccz_share,regime,decision_sites,stages,max_stage_width,wide_stage_fraction,consuming_families,mix_drift,alternation_rate,t_rate,ccz_rate,factory_tiles,makespan_fixed_t,makespan_fixed_ccz,makespan_uniform_oracle,makespan_uniform_min_teq,makespan_min_weighted_count,makespan_two_term_descent,makespan_local_sim_greedy,makespan_share_aware_greedy,makespan_proportional_split,makespan_sim_descent,makespan_best_simple,best_simple_policy,makespan_best_non_stateful,best_non_stateful_policy,residual_headroom_vs_existing_search,makespan_stagedp,seconds_stagedp,makespan_oracle,oracle_status,oracle_seconds,oracle_simulations,lower_bound,headroom_vs_best_non_stateful,residual_headroom_vs_stagedp,max_possible_headroom_vs_stagedp,oracle_heterogeneity,stagedp_heterogeneity,oracle_t_stalls,oracle_ccz_stalls,oracle_t_waste,oracle_ccz_waste,stagedp_t_stalls,stagedp_ccz_stalls,stagedp_t_waste,stagedp_ccz_waste,oracle_space_time,stagedp_space_time,policy_seconds_total,model,tiles,regime
qb_sqrt_n18,qasmbench,arithmetic,control,C_400_0.75,C,400,0.75,standard,65,65,1,0.0,1,0.0,0.0,0.7273,0.5,376,598,466,466,466,466,466,466,466,466,466,466,uniform_min_teq,466,fixed_ccz,0.0,466,0.321,466,bounded,24.494,2131,462.0,0.0,0.0,0.0086,0.0,0.0,0,3,0,0,0,3,0,0,175216,175216,4.37,C,400,standard
qb_sqrt_n18,qasmbench,arithmetic,control,C_800_0.5,C,800,0.5,standard,65,65,1,0.0,1,0.0,0.0,2.5455,0.6667,788,597,464,464,464,464,464,464,464,597,464,464,uniform_min_teq,464,fixed_ccz,0.0,464,0.191,464,bounded,27.611,1640,462.0,0.0,0.0,0.0043,0.0,0.0,0,1,0,0,0,1,0,0,365632,365632,7.551,C,800,standard
qt_add16,qualtran,serial_adder,control,A_3200_0.5_abundant,A,3200,0.5,abundant,15,15,1,0.0,1,0.0,0.0,13.1818,3.6667,3179,201,166,166,166,166,166,166,166,201,166,166,uniform_min_teq,166,fixed_ccz,0.0,166,0.119,166,bounded,20.711,6203,162.0,0.0,0.0,0.0241,0.0,0.0,0,3,2025,544,0,3,2025,544,527714,527714,0.682,A,3200,abundant
qt_add16,qualtran,serial_adder,control,A_400_0.25,A,400,0.25,standard,15,15,1,0.0,1,0.0,0.0,2.4545,0.1667,369,201,166,166,166,201,166,166,166,201,166,166,uniform_min_teq,166,fixed_ccz,0.0,166,0.05,166,bounded,20.247,11155,162.0,0.0,0.0,0.0241,0.0,0.0,0,3,351,0,0,3,351,0,61254,61254,0.244,A,400,standard
qt_add16,qualtran,serial_adder,control,A_400_0.5,A,400,0.5,standard,15,15,1,0.0,1,0.0,0.0,1.6364,0.5,414,201,166,166,166,166,166,166,166,201,166,166,uniform_min_teq,166,fixed_ccz,0.0,166,0.109,166,bounded,20.241,11332,162.0,0.0,0.0,0.0241,0.0,0.0,0,3,224,34,0,3,224,34,68724,68724,0.296,A,400,standard
qt_add16,qualtran,serial_adder,control,A_400_0.75,A,400,0.75,standard,15,15,1,0.0,1,0.0,0.0,0.8182,0.6667,387,202,166,166,166,166,166,166,166,166,166,166,uniform_min_teq,166,fixed_ccz,0.0,166,0.105,166,bounded,20.229,11628,162.0,0.0,0.0,0.0241,0.0,0.0,0,3,96,61,0,3,96,61,64242,64242,0.222,A,400,standard
qt_add16,qualtran,serial_adder,control,A_800_0.5,A,800,0.5,standard,15,15,1,0.0,1,0.0,0.0,3.2727,1.0,828,201,166,166,166,166,166,166,166,201,166,166,uniform_min_teq,166,fixed_ccz,0.0,166,0.114,166,bounded,20.307,10159,162.0,0.0,0.0,0.0241,0.0,0.0,0,3,479,114,0,3,479,114,137448,137448,0.316,A,800,standard
qt_add16,qualtran,serial_adder,control,B_400_0.25,B,400,0.25,standard,15,15,1,0.0,1,0.0,0.0,1.8182,0.1667,408,204,168,168,168,204,168,168,168,204,168,168,uniform_min_teq,168,fixed_ccz,0.0,168,0.143,168,bounded,21.1,4233,162.0,0.0,0.0,0.0357,0.0,0.0,0,5,0,0,0,5,0,0,68544,68544,1.116,B,400,standard
qt_add16,qualtran,serial_adder,control,B_400_0.5,B,400,0.5,standard,15,15,1,0.0,1,0.0,0.0,1.2727,0.3333,386,205,169,169,169,169,169,169,169,205,169,169,uniform_min_teq,169,fixed_ccz,0.0,169,0.142,169,bounded,20.879,4933,162.0,0.0,0.0,0.0414,0.0,0.0,0,6,0,0,0,6,0,0,65234,65234,0.887,B,400,standard
qt_add16,qualtran,serial_adder,control,B_400_0.5_scarce,B,400,0.5,scarce,15,15,1,0.0,1,0.0,0.0,0.7426,0.1702,370,207,168,168,168,207,168,168,168,207,168,168,uniform_min_teq,168,fixed_ccz,0.0,168,0.134,168,bounded,20.589,6332,162.0,0.0,0.0,0.0357,0.0,0.0,0,5,0,0,0,5,0,0,62160,62160,0.579,B,400,scarce
qt_add16,qualtran,serial_adder,control,B_400_0.75,B,400,0.75,standard,15,15,1,0.0,1,0.0,0.0,0.7273,0.6667,442,206,169,169,169,169,169,169,169,169,169,169,uniform_min_teq,169,fixed_ccz,0.0,169,0.109,169,bounded,20.711,5675,162.0,0.0,0.0,0.0414,0.0,0.0,0,6,0,0,0,6,0,0,74698,74698,0.702,B,400,standard
qt_add16,qualtran,serial_adder,control,B_800_0.5,B,800,0.5,standard,15,15,1,0.0,1,0.0,0.0,2.5455,0.6667,772,203,168,168,168,168,168,168,168,203,168,168,uniform_min_teq,168,fixed_ccz,0.0,168,0.124,168,bounded,21.604,3258,162.0,0.0,0.0,0.0357,0.0,0.0,0,5,0,0,0,5,0,0,129696,129696,1.56,B,800,standard
qt_add16,qualtran,serial_adder,control,C_400_0.25,C,400,0.25,standard,15,15,1,0.0,1,0.0,0.0,1.8182,0.1667,412,202,168,168,168,202,168,168,168,202,168,168,uniform_min_teq,168,fixed_ccz,0.0,168,0.142,168,bounded,21.108,4246,162.0,0.0,0.0,0.0357,0.0,0.0,0,5,0,0,0,5,0,0,69216,69216,1.061,C,400,standard
qt_add16,qualtran,serial_adder,control,C_400_0.5,C,400,0.5,standard,15,15,1,0.0,1,0.0,0.0,1.2727,0.3333,394,201,169,169,169,169,169,169,169,201,169,169,uniform_min_teq,169,fixed_ccz,0.0,169,0.14,169,bounded,20.874,4873,162.0,0.0,0.0,0.0414,0.0,0.0,0,6,0,0,0,6,0,0,66586,66586,0.862,C,400,standard
qt_add16,qualtran,serial_adder,control,C_400_0.5_scarce,C,400,0.5,scarce,15,15,1,0.0,1,0.0,0.0,0.7426,0.1702,378,202,168,168,168,202,168,168,168,202,168,168,uniform_min_teq,168,fixed_ccz,0.0,168,0.126,168,bounded,20.58,6147,162.0,0.0,0.0,0.0357,0.0,0.0,0,5,0,0,0,5,0,0,63504,63504,0.571,C,400,scarce
qt_add16,qualtran,serial_adder,control,C_400_0.75,C,400,0.75,standard,15,15,1,0.0,1,0.0,0.0,0.7273,0.5,376,202,170,170,170,170,170,170,170,170,170,170,uniform_min_teq,170,fixed_ccz,0.0,170,0.131,170,bounded,20.665,5804,162.0,0.0,0.0,0.0471,0.0,0.0,0,7,0,0,0,7,0,0,63920,63920,0.659,C,400,standard
qt_add16,qualtran,serial_adder,control,C_800_0.5,C,800,0.5,standard,15,15,1,0.0,1,0.0,0.0,2.5455,0.6667,788,201,168,168,168,168,168,168,168,201,168,168,uniform_min_teq,168,fixed_ccz,0.0,168,0.13,168,bounded,21.573,3235,162.0,0.0,0.0,0.0357,0.0,0.0,0,5,0,0,0,5,0,0,132384,132384,1.525,C,800,standard
