workload,family,seed,n,C,B,regime_label,regime_reason,recommended_strategy,slack_ratio,supply_tightness,peak_demand_over_C,mean_demand_over_C,smooth_L_backlog,smooth_BacklogArea
constructed_high,high_compressibility,1,24,5,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,1,0,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.84,0.684931506849315,7.0,0.684931506849315,35,263
constructed_medium,medium_compressibility,1,24,1,4,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.84,0.6493506493506493,7.0,0.684931506849315,25,138
constructed_medium,medium_compressibility,1,24,1,8,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.84,0.6172839506172839,7.0,0.684931506849315,14,56
constructed_medium,medium_compressibility,1,24,1,12,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.84,0.5882352941176471,7.0,0.684931506849315,5,15
constructed_medium,medium_compressibility,1,24,2,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,2,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,2,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,2,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,3,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,3,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,3,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,3,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,4,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,4,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,4,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,4,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,5,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,5,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,5,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,1,24,5,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,1,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,1,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,1,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,1,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,2,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,2,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,2,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,2,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,3,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,3,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,3,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,3,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,4,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,4,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,4,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,4,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,5,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,5,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,5,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,1,24,5,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,1,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,1,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,1,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,1,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,2,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,2,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,2,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,2,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,3,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,3,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,3,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,3,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,4,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,4,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,4,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,4,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,5,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,5,4,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,5,8,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_high,high_compressibility,2,24,5,12,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,1,0,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.8461538461538461,0.7123287671232876,9.0,0.7123287671232876,35,288
constructed_medium,medium_compressibility,2,24,1,4,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.8461538461538461,0.6753246753246753,9.0,0.7123287671232876,24,163
constructed_medium,medium_compressibility,2,24,1,8,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.8461538461538461,0.6419753086419753,9.0,0.7123287671232876,15,81
constructed_medium,medium_compressibility,2,24,1,12,peak_dominated_buffer_limited,smoothing reduces peaks but buffer remains too small,increase_buffer,0.8461538461538461,0.611764705882353,9.0,0.7123287671232876,8,29
constructed_medium,medium_compressibility,2,24,2,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,2,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,2,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,2,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,3,0,peak_dominated_smooth_solvable,smooth is sufficient in this setting,smooth,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,3,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,3,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,3,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,4,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,4,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,4,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,4,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,5,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,5,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,5,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_medium,medium_compressibility,2,24,5,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,1,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,1,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,1,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,1,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,2,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,2,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,2,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,2,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,3,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,3,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,3,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,3,12,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,4,0,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,4,4,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
constructed_low,low_compressibility,2,24,4,8,no_delivery_bottleneck,static schedule has no delivery bottleneck,none,0.0,0.0,0.0,0.0,0,0.0
