workload,family,seed,n,schedule,C_nominal,eta,C_eff,B,T_ref_asap,T_static,T_exe,ratio_to_T_ref,stall_cycles,Delta_max,BacklogArea,L_backlog,max_backlog,target_violation_5pct,degradation_vs_eta_1
multiplier_n8,semi_real_multiplier,0,8,robust_smooth,2,0.9,1,4,42,71,76,1.8095238095238095,5,9,17,6,5,1,0.07042253521126761
multiplier_n8,semi_real_multiplier,0,8,robust_smooth,2,0.75,1,4,42,71,76,1.8095238095238095,5,9,17,6,5,1,0.07042253521126761
multiplier_n8,semi_real_multiplier,0,8,robust_smooth,2,0.5,1,4,42,71,76,1.8095238095238095,5,9,17,6,5,1,0.07042253521126761
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,1.0,2,4,26,29,29,1.1153846153846154,0,0,0,0,0,1,0.0
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,0.9,1,4,26,29,37,1.4230769230769231,8,12,73,17,8,1,0.27586206896551724
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,0.75,1,4,26,29,37,1.4230769230769231,8,12,73,17,8,1,0.27586206896551724
exact_qft_n8,semi_real_qft,0,8,capacity_aware,2,0.5,1,4,26,29,37,1.4230769230769231,8,12,73,17,8,1,0.27586206896551724
exact_qft_n8,semi_real_qft,0,8,smooth,2,1.0,2,4,26,26,26,1.0,0,0,0,0,0,0,0.0
exact_qft_n8,semi_real_qft,0,8,smooth,2,0.9,1,4,26,26,35,1.3461538461538463,9,13,102,19,9,1,0.34615384615384615
exact_qft_n8,semi_real_qft,0,8,smooth,2,0.75,1,4,26,26,35,1.3461538461538463,9,13,102,19,9,1,0.34615384615384615
exact_qft_n8,semi_real_qft,0,8,smooth,2,0.5,1,4,26,26,35,1.3461538461538463,9,13,102,19,9,1,0.34615384615384615
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,1.0,2,4,26,26,26,1.0,0,1,0,0,0,0,0.0
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,0.9,1,4,26,26,36,1.3846153846153846,10,14,117,20,10,1,0.38461538461538464
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,0.75,1,4,26,26,36,1.3846153846153846,10,14,117,20,10,1,0.38461538461538464
exact_qft_n8,semi_real_qft,0,8,delivery_aware_v2,2,0.5,1,4,26,26,36,1.3846153846153846,10,14,117,20,10,1,0.38461538461538464
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,1.0,2,4,26,33,33,1.2692307692307692,0,0,0,0,0,1,0.0
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,0.9,1,4,26,33,35,1.3461538461538463,2,6,8,6,2,1,0.06060606060606061
exact_qft_n8,semi_real_qft,0,8,robust_smooth,2,0.75,1,4,26,33,35,1.3461538461538463,2,6,8,6,2,1,0.06060606060606061
