schedule,mean_gap_Texe,median_gap_Texe,max_gap_Texe,fraction_within_0cycle,fraction_within_1cycle,fraction_within_5percent
capacity_aware,5.666666666666667,5.5,15.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
delivery_aware_v1,0.3333333333333333,0.0,3.0,0.8333333333333334,0.9166666666666666,0.9166666666666666
delivery_aware_v2,0.25,0.0,2.0,0.8333333333333334,0.9166666666666666,0.9166666666666666
optimal_or_near_optimal,0.0,0.0,0.0,1.0,1.0,1.0
smooth,0.3333333333333333,0.0,3.0,0.8333333333333334,0.9166666666666666,0.9166666666666666
static,4.0,3.0,14.0,0.4166666666666667,0.5,0.4166666666666667
