workload,family,seed,n,schedule,C,B,p_acc,num_trials,T_ref_asap,mean_T_exe,median_T_exe,p90_T_exe,p95_T_exe,p99_T_exe,std_T_exe,mean_ratio_to_T_ref,p95_ratio_to_T_ref,p99_ratio_to_T_ref,mean_stall_cycles,p95_stall_cycles,stall_probability,target_violation_prob_5pct,target_violation_prob_10pct,mean_BacklogArea,p95_BacklogArea,mean_L_backlog,p95_L_backlog
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,2,4,0.995,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,robust_smooth,2,4,0.995,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,capacity_aware,2,4,0.99,200,73,81.0,81.0,81.0,81.0,81.0,0.0,1.1095890410958904,1.1095890410958904,1.1095890410958904,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,2,4,0.99,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,2,4,0.99,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,robust_smooth,2,4,0.99,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,capacity_aware,2,4,0.95,200,73,81.0,81.0,81.0,81.0,81.0,0.0,1.1095890410958904,1.1095890410958904,1.1095890410958904,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,smooth,2,4,0.95,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constructed_medium,medium_compressibility,0,24,delivery_aware_v2,2,4,0.95,200,73,73.005,73.0,73.0,73.0,73.0,0.07053367989832943,1.000068493150685,1.0,1.0,0.005,0.0,0.005,0.0,0.0,0.005,0.0,0.005,0.0
constructed_medium,medium_compressibility,0,24,robust_smooth,2,4,0.95,200,73,73.0,73.0,73.0,73.0,73.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
